iso_time_utc,elapsed_s,step_idx,rover_pos_x,rover_pos_y,rover_pos_z,heading,pitch,roll,lidar_00_front_left_wheel_hub_yaw_p30_yaw_30_pitch_0_cm,lidar_01_front_left_frame_yaw_p20_pitch_n20_yaw_20_pitch_-20_cm,lidar_02_front_center_frame_forward_yaw_0_pitch_0_cm,lidar_03_front_right_frame_yaw_n20_pitch_n20_yaw_-20_pitch_-20_cm,lidar_04_front_right_wheel_hub_yaw_n30_yaw_-30_pitch_0_cm,lidar_05_front_left_frame_pitch_n25_yaw_0_pitch_-25_cm,lidar_06_front_right_frame_pitch_n25_yaw_0_pitch_-25_cm,lidar_07_left_mid_frame_left_pitch_n20_yaw_90_pitch_-20_cm,lidar_08_right_mid_frame_right_pitch_n20_yaw_-90_pitch_-20_cm,lidar_09_rear_left_wheel_hub_back_yaw_p40_yaw_140_pitch_0_cm,lidar_10_rear_left_frame_backward_yaw_180_pitch_0_cm,lidar_11_rear_right_frame_backward_yaw_180_pitch_0_cm,lidar_12_rear_right_wheel_hub_back_yaw_n40_yaw_-140_pitch_0_cm,lidar_13_front_left_frame_yaw_p20_pitch_n10_yaw_20_pitch_-10_cm,lidar_14_front_right_frame_yaw_n20_pitch_n10_yaw_-20_pitch_-10_cm,lidar_15_front_left_wheel_hub_yaw_p15_yaw_15_pitch_0_cm,lidar_16_front_right_wheel_hub_yaw_n15_yaw_-15_pitch_0_cm
2026-03-22T16:24:54Z,283.706,808,-5691.800293,-10079.299805,1441.300049,256.200012,-0.5,5.2,0,-1,-1,-1,512.55,-1,384.38,464.42,430.39,823.25,404.44,443.15,-1,-1,-1,-1,-1
2026-03-22T16:24:54Z,284.076,809,-5691.800293,-10079.299805,1441.300049,256.200012,-0.5,5.2,0,-1,-1,-1,512.55,-1,384.38,464.42,430.39,823.25,404.44,443.15,-1,-1,-1,-1,-1
2026-03-22T16:24:55Z,284.557,810,-5692.600098,-10079.600586,1441.300049,255.300003,-0.2,5.4,0,-1,-1,-1,-1,-1,-1,456.82,429.07,-1,354.8,392.79,-1,-1,-1,-1,-1
2026-03-22T16:24:55Z,284.891,811,-5692.600098,-10079.600586,1441.300049,255.300003,-0.2,5.4,0,-1,-1,-1,-1,-1,-1,456.82,429.07,-1,354.8,392.79,-1,-1,-1,-1,-1
2026-03-22T16:24:55Z,285.256,812,-5693.200195,-10079.700195,1441.300049,253.699997,0.2,6,0,523.88,-1,477.91,608.66,407.52,395.99,437.65,445.83,767.42,304.34,346.2,-1,-1,-1,-1,595.69
2026-03-22T16:24:56Z,285.547,813,-5693.200195,-10079.700195,1441.300049,253.699997,0.2,6,0,523.88,-1,477.91,608.66,407.52,395.99,437.65,445.83,767.42,304.34,346.2,-1,-1,-1,-1,595.69
2026-03-22T16:24:56Z,285.833,814,-5693.200195,-10079.700195,1441.300049,253.699997,0.2,6,0,523.88,-1,477.91,608.66,407.52,395.99,437.65,445.83,767.42,304.34,346.2,-1,-1,-1,-1,595.69
2026-03-22T16:24:56Z,286.137,815,-5693.800293,-10080,1441.400024,249.600006,0.8,7.3,0,507.97,-1,495.09,791.4,407.48,401.9,398.11,502.62,667.2,250.54,311.86,-1,-1,-1,-1,730.64
2026-03-22T16:24:57Z,286.511,816,-5693.800293,-10080,1441.400024,249.600006,0.8,7.3,0,507.97,-1,495.09,791.4,407.48,401.9,398.11,502.62,667.2,250.54,311.86,-1,-1,-1,-1,730.64
2026-03-22T16:24:57Z,286.832,817,-5693.800293,-10080,1441.400024,249.600006,0.8,7.3,0,507.97,-1,495.09,791.4,407.48,401.9,398.11,502.62,667.2,250.54,311.86,-1,-1,-1,-1,730.64
2026-03-22T16:24:57Z,287.135,818,-5694.5,-10080.5,1441.400024,242,1.8,8.1,0,502.92,-1,518.62,-1,407.18,402.53,377.6,558.27,610.14,220.95,271.13,-1,920.72,-1,-1,889.33
2026-03-22T16:24:58Z,287.455,819,-5694.5,-10080.5,1441.400024,242,1.8,8.1,0,502.92,-1,518.62,-1,407.18,402.53,377.6,558.27,610.14,220.95,271.13,-1,920.72,-1,-1,889.33
2026-03-22T16:24:58Z,287.830,820,-5694.5,-10080.5,1441.400024,242,1.8,8.1,0,502.92,-1,518.62,-1,407.18,402.53,377.6,558.27,610.14,220.95,271.13,-1,920.72,-1,-1,889.33
2026-03-22T16:24:58Z,288.152,821,-5695.100098,-10081.100586,1441.400024,233.5,3.1,7.8,0,520.23,-1,567.96,-1,411.03,409.13,381.42,574.23,614.78,210.39,243.02,-1,803.97,-1,844.26,-1
2026-03-22T16:24:59Z,288.465,822,-5695.100098,-10081.100586,1441.400024,233.5,3.1,7.8,0,520.23,-1,567.96,-1,411.03,409.13,381.42,574.23,614.78,210.39,243.02,-1,803.97,-1,844.26,-1
2026-03-22T16:24:59Z,288.818,823,-5695.100098,-10081.100586,1441.400024,233.5,3.1,7.8,0,520.23,-1,567.96,-1,411.03,409.13,381.42,574.23,614.78,210.39,243.02,-1,803.97,-1,844.26,-1
2026-03-22T16:24:59Z,289.142,824,-5695.5,-10081.700195,1441.5,224.400009,4.4,6.7,-660793871826944,544.75,-1,610.7,1131.37,430.9,444.2,403.04,552.3,671.09,214.89,220.25,-1,-1,-1,-1,-1
2026-03-22T16:24:59Z,289.441,825,-5695.5,-10081.700195,1441.5,224.400009,4.4,6.7,-660793871826944,544.75,-1,610.7,1131.37,430.9,444.2,403.04,552.3,671.09,214.89,220.25,-1,-1,-1,-1,-1
2026-03-22T16:25:00Z,289.747,826,-5695.5,-10081.700195,1441.5,224.400009,4.4,6.7,-660793871826944,544.75,-1,610.7,1131.37,430.9,444.2,403.04,552.3,671.09,214.89,220.25,-1,-1,-1,-1,-1
2026-03-22T16:25:00Z,290.114,827,-5695.899902,-10082.5,1441.599976,215.400009,5.6,5.8,0,601.61,-1,1277.67,1322.9,466.86,477.58,415.12,545.25,-1,224.98,223.15,-1,-1,1330.63,-1,1250.24
2026-03-22T16:25:00Z,290.430,828,-5695.899902,-10082.5,1441.599976,215.400009,5.6,5.8,0,601.61,-1,1277.67,1322.9,466.86,477.58,415.12,545.25,-1,224.98,223.15,-1,-1,1330.63,-1,1250.24
2026-03-22T16:25:01Z,290.760,829,-5695.899902,-10082.5,1441.599976,215.400009,5.6,5.8,0,601.61,-1,1277.67,1322.9,466.86,477.58,415.12,545.25,-1,224.98,223.15,-1,-1,1330.63,-1,1250.24
2026-03-22T16:25:02Z,291.622,830,-5696.100098,-10083.200195,1441.700073,206.699997,6.5,4.9,0,648.34,-1,1042.12,-1,499.43,-1,419.57,544.23,969.23,230.35,230.4,1012.74,-1,1033.33,-1,1013.78
2026-03-22T16:25:02Z,291.914,831,-5696.300293,-10083.799805,1441.800049,199.400009,7.1,3.7,0,707.4,-1,-1,-1,527.28,549.85,440.87,525.8,799.06,233.61,237.88,-1,-1,1127.54,-1,-1
2026-03-22T16:25:02Z,292.181,832,-5696.300293,-10083.799805,1441.800049,199.400009,7.1,3.7,0,707.4,-1,-1,-1,527.28,549.85,440.87,525.8,799.06,233.61,237.88,-1,-1,1127.54,-1,-1
2026-03-22T16:25:02Z,292.481,833,-5696.300293,-10083.799805,1441.800049,199.400009,7.1,3.7,0,707.4,-1,-1,-1,527.28,549.85,440.87,525.8,799.06,233.61,237.88,-1,-1,1127.54,-1,-1
2026-03-22T16:25:03Z,292.747,834,-5696.300293,-10083.799805,1441.800049,199.400009,7.1,3.7,0,707.4,-1,-1,-1,527.28,549.85,440.87,525.8,799.06,233.61,237.88,-1,-1,1127.54,-1,-1
2026-03-22T16:25:03Z,293.137,835,-5696.300293,-10084.600586,1441.900024,191.199997,6.9,2.2,0,729.65,-1,-1,-1,545.44,561.43,469.06,494.92,914.73,274.74,271.36,766.77,-1,-1,-1,-1
2026-03-22T16:25:03Z,293.429,836,-5696.300293,-10084.600586,1441.900024,191.199997,6.9,2.2,0,729.65,-1,-1,-1,545.44,561.43,469.06,494.92,914.73,274.74,271.36,766.77,-1,-1,-1,-1
2026-03-22T16:25:04Z,293.709,837,-5696.300293,-10084.600586,1441.900024,191.199997,6.9,2.2,0,729.65,-1,-1,-1,545.44,561.43,469.06,494.92,914.73,274.74,271.36,766.77,-1,-1,-1,-1
2026-03-22T16:25:04Z,293.985,838,-5696.300293,-10084.600586,1441.900024,191.199997,6.9,2.2,0,729.65,-1,-1,-1,545.44,561.43,469.06,494.92,914.73,274.74,271.36,766.77,-1,-1,-1,-1
2026-03-22T16:25:04Z,294.296,839,-5696.200195,-10085.299805,1441.900024,183.199997,5.6,1.2,0,-1,-1,-1,-1,512.37,516.67,460.47,484.05,884.84,373.02,366.11,831.59,1727.78,-1,-1,-1
2026-03-22T16:25:05Z,294.553,840,-5696.200195,-10085.299805,1441.900024,183.199997,5.6,1.2,0,-1,-1,-1,-1,512.37,516.67,460.47,484.05,884.84,373.02,366.11,831.59,1727.78,-1,-1,-1
2026-03-22T16:25:05Z,294.804,841,-5696.200195,-10085.299805,1441.900024,183.199997,5.6,1.2,0,-1,-1,-1,-1,512.37,516.67,460.47,484.05,884.84,373.02,366.11,831.59,1727.78,-1,-1,-1
2026-03-22T16:25:05Z,295.062,842,-5696,-10085.900391,1442,175.800003,4.2,0.8,0,753.29,-1,-1,1921.29,469.88,468.85,445.06,488.22,786.18,513.42,482.53,957.26,739.33,-1,-1,-1
2026-03-22T16:25:05Z,295.323,843,-5696,-10085.900391,1442,175.800003,4.2,0.8,0,753.29,-1,-1,1921.29,469.88,468.85,445.06,488.22,786.18,513.42,482.53,957.26,739.33,-1,-1,-1
2026-03-22T16:25:06Z,295.570,844,-5696,-10085.900391,1442,175.800003,4.2,0.8,0,753.29,-1,-1,1921.29,469.88,468.85,445.06,488.22,786.18,513.42,482.53,957.26,739.33,-1,-1,-1
2026-03-22T16:25:06Z,295.848,845,-5696,-10085.900391,1442,175.800003,4.2,0.8,0,753.29,-1,-1,1921.29,469.88,468.85,445.06,488.22,786.18,513.42,482.53,957.26,739.33,-1,-1,-1
2026-03-22T16:25:06Z,296.155,846,-5695.800293,-10086.5,1442,168.5,3.5,0.3,0,859.93,-1,-1,1567.78,448.58,448.49,440.99,483.86,763.71,605.94,579.15,1002.08,742.39,-1,712.73,-1
2026-03-22T16:25:07Z,296.524,847,-5695.800293,-10086.5,1442,168.5,3.5,0.3,0,859.93,-1,-1,1567.78,448.58,448.49,440.99,483.86,763.71,605.94,579.15,1002.08,742.39,-1,712.73,-1
2026-03-22T16:25:07Z,296.817,848,-5695.800293,-10086.5,1442,168.5,3.5,0.3,0,859.93,-1,-1,1567.78,448.58,448.49,440.99,483.86,763.71,605.94,579.15,1002.08,742.39,-1,712.73,-1
2026-03-22T16:25:07Z,297.126,849,-5695.5,-10087.200195,1442.099976,160.400009,3.2,-0.3,49.78,-1,-1,572.68,-1,-1,456.46,439.17,481.55,772.09,608.77,595.71,992.15,-1,1645.71,-1,1572.65
2026-03-22T16:25:07Z,297.361,850,-5695.5,-10087.200195,1442.099976,160.400009,3.2,-0.3,49.78,-1,-1,572.68,-1,-1,456.46,439.17,481.55,772.09,608.77,595.71,992.15,-1,1645.71,-1,1572.65
