timestep,x_cm,y_cm,z_cm,yaw_deg,teleport_flag,throttle_cmd,steering_cmd,cmd_move_cm,cmd_turn_deg,lidar_cm_0,lidar_cm_1,lidar_cm_2,lidar_cm_3,lidar_cm_4,lidar_cm_5,lidar_cm_6,lidar_cm_7,lidar_cm_8,lidar_cm_9,lidar_cm_10,lidar_cm_11,lidar_cm_12,lidar_cm_13,lidar_cm_14,lidar_cm_15,lidar_cm_16,lidar_class_0,lidar_class_1,lidar_class_2,lidar_class_3,lidar_class_4,lidar_class_5,lidar_class_6,lidar_class_7,lidar_class_8,lidar_class_9,lidar_class_10,lidar_class_11,lidar_class_12,lidar_class_13,lidar_class_14,lidar_class_15,lidar_class_16
0,18762.809,-18562.634,475.855,101.932,1,0.08000,0.12000,9.600,1.080,675.000,350.000,-1,425.000,-1,300.000,325.000,275.000,300.000,-1,-1,-1,-1,575.000,-1,675.000,-1,0,0,2,0,2,0,0,0,0,2,2,2,2,0,2,0,2
2,18750.804,-18516.164,472.025,105.123,0,0.24000,0.17729,28.800,1.596,625.000,350.000,-1,400.000,-1,300.000,325.000,275.000,325.000,-1,-1,-1,-1,550.000,925.000,650.000,-1,0,0,2,0,2,0,0,0,0,2,2,2,2,0,0,0,2
4,18724.673,-18433.819,464.199,108.315,0,0.40000,0.17729,48.000,1.596,575.000,325.000,-1,400.000,-1,300.000,300.000,275.000,325.000,-1,-1,-1,-1,525.000,825.000,575.000,-1,0,0,2,0,2,0,0,0,0,2,2,2,2,0,0,0,2
6,18680.423,-18317.140,452.019,111.506,0,0.56000,0.17729,67.200,1.596,575.000,325.000,-1,375.000,-1,275.000,300.000,325.000,300.000,-1,-1,425.000,-1,525.000,750.000,575.000,-1,0,0,2,0,2,0,0,0,0,2,2,0,2,0,0,0,2
8,18614.190,-18168.002,435.963,114.697,0,0.72000,0.17729,86.400,1.596,475.000,300.000,-1,350.000,-1,275.000,275.000,325.000,325.000,-1,500.000,275.000,-1,475.000,650.000,475.000,-1,0,0,2,0,2,0,0,0,0,2,0,0,2,0,0,0,2
10,18522.272,-17988.598,416.583,117.888,0,0.88000,0.17729,105.600,1.596,425.000,300.000,-1,350.000,-1,250.000,275.000,300.000,400.000,-1,75.000,25.000,-1,450.000,675.000,425.000,-1,0,0,2,0,2,0,0,0,0,2,0,0,2,0,0,0,2
12,18411.199,-17798.379,402.128,121.079,0,0.91790,0.17729,110.148,1.596,750.000,300.000,-1,375.000,-1,250.000,275.000,325.000,425.000,-1,50.000,0.000,-1,550.000,700.000,850.000,-1,0,0,2,0,2,0,0,0,0,2,0,0,2,0,0,0,2
14,18289.708,-17614.638,394.406,124.271,0,0.91790,0.17729,110.148,1.596,-1,375.000,-1,400.000,-1,300.000,300.000,325.000,425.000,-1,50.000,0.000,-1,750.000,-1,-1,-1,2,0,2,0,2,0,0,0,0,2,0,0,2,0,2,2,2
16,18158.178,-17437.945,394.065,127.462,0,0.91790,0.17729,110.148,1.596,-1,500.000,-1,500.000,-1,400.000,400.000,325.000,475.000,-1,50.000,0.000,-1,-1,-1,-1,-1,2,0,2,0,2,0,0,0,0,2,0,0,2,2,2,2,2
18,18017.016,-17268.849,392.624,130.653,0,0.91790,0.17729,110.148,1.596,-1,400.000,-1,425.000,-1,325.000,325.000,325.000,475.000,-1,750.000,725.000,-1,750.000,975.000,-1,-1,2,0,2,0,2,0,0,0,0,2,0,0,2,0,0,2,2
20,17866.659,-17107.873,381.555,133.844,0,0.91790,0.17729,110.148,1.596,-1,400.000,-1,450.000,-1,325.000,325.000,300.000,450.000,-1,950.000,925.000,-1,725.000,875.000,-1,-1,2,0,2,0,2,0,0,0,0,2,0,0,2,0,0,2,2
22,17723.750,-16980.561,369.972,140.275,0,0.75790,0.41729,90.948,3.756,-1,375.000,-1,425.000,-1,325.000,325.000,300.000,450.000,-1,-1,-1,-1,700.000,800.000,-1,-1,2,0,2,0,2,0,0,0,0,2,2,2,2,0,0,2,2
24,17582.332,-16892.429,356.978,151.027,0,0.69523,0.65729,83.427,5.916,-1,375.000,-1,400.000,-1,300.000,325.000,300.000,450.000,-1,-1,-1,-1,650.000,700.000,-1,-1,2,0,2,0,2,0,0,0,0,2,2,2,2,0,0,2,2
26,17424.190,-16840.346,340.586,165.520,0,0.69523,0.83306,83.427,7.498,-1,350.000,-1,350.000,-1,300.000,300.000,300.000,375.000,-1,-1,-1,-1,625.000,650.000,-1,-1,2,0,2,0,2,0,0,0,0,2,2,2,2,0,0,2,2
28,17257.957,-16830.954,323.713,180.515,0,0.69523,0.83306,83.427,7.498,-1,375.000,-1,375.000,-1,325.000,325.000,300.000,325.000,-1,400.000,400.000,-1,700.000,725.000,-1,-1,2,0,2,0,2,0,0,0,0,2,0,0,2,0,0,2,2
30,17094.955,-16864.892,306.096,195.510,0,0.69523,0.83306,83.427,7.498,-1,375.000,-1,350.000,-1,300.000,300.000,300.000,300.000,-1,-1,-1,-1,725.000,625.000,-1,-1,2,0,2,0,2,0,0,0,0,2,2,2,2,0,0,2,2
32,16946.284,-16939.849,288.052,210.505,0,0.69523,0.83306,83.427,7.498,-1,375.000,-1,350.000,-1,300.000,300.000,300.000,300.000,-1,-1,-1,-1,825.000,650.000,-1,-1,2,0,2,0,2,0,0,0,0,2,2,2,2,0,0,2,2
34,16821.510,-17051.159,270.627,225.441,0,0.70092,0.82666,84.111,7.440,-1,400.000,-1,350.000,-1,325.000,300.000,300.000,275.000,-1,-1,-1,-1,900.000,700.000,-1,-1,2,0,2,0,2,0,0,0,0,2,2,2,2,0,0,2,2
36,16728.373,-17191.673,254.891,240.111,0,0.70392,0.81093,84.470,7.298,-1,400.000,-1,400.000,-1,325.000,325.000,300.000,250.000,-1,-1,-1,-1,925.000,850.000,-1,-1,2,0,2,0,2,0,0,0,0,2,2,2,2,0,0,2,2
38,16673.662,-17350.168,243.541,254.577,0,0.69823,0.80270,83.787,7.224,-1,400.000,-1,475.000,-1,325.000,350.000,275.000,300.000,-1,-1,-1,-1,975.000,-1,-1,-1,2,0,2,0,2,0,0,0,0,2,2,2,2,0,2,2,2
40,16660.422,-17515.463,234.628,269.055,0,0.69053,0.80561,82.863,7.250,-1,425.000,-1,450.000,-1,325.000,350.000,300.000,300.000,-1,-1,-1,-1,950.000,-1,-1,-1,2,0,2,0,2,0,0,0,0,2,2,2,2,0,2,2,2
42,16689.124,-17677.839,230.015,283.700,0,0.68852,0.81695,82.622,7.353,-1,450.000,-1,475.000,-1,350.000,375.000,325.000,325.000,-1,650.000,350.000,-1,1000.000,-1,-1,-1,2,0,2,0,2,0,0,0,0,2,0,0,2,0,2,2,2
44,16763.396,-17855.551,230.437,295.165,0,0.83820,0.57695,100.584,5.193,-1,450.000,-1,500.000,-1,375.000,375.000,300.000,400.000,-1,650.000,550.000,-1,875.000,-1,-1,-1,2,0,2,0,2,0,0,0,0,2,0,0,2,0,2,2,2
46,16866.350,-18028.296,232.730,302.311,0,0.83820,0.33695,100.584,3.033,-1,450.000,-1,525.000,-1,375.000,400.000,300.000,425.000,-1,900.000,825.000,-1,825.000,-1,-1,-1,2,0,2,0,2,0,0,0,0,2,0,0,2,0,2,2,2
48,16981.027,-18193.567,226.815,305.248,0,0.83820,0.10944,100.584,0.985,975.000,350.000,-1,375.000,-1,300.000,300.000,350.000,325.000,-1,-1,-1,-1,625.000,700.000,925.000,-1,0,0,2,0,2,0,0,0,0,2,2,2,2,0,0,0,2
50,17101.318,-18354.799,223.133,307.218,0,0.83820,0.10944,100.584,0.985,850.000,350.000,-1,375.000,-1,300.000,300.000,350.000,325.000,-1,-1,-1,-1,600.000,675.000,825.000,-1,0,0,2,0,2,0,0,0,0,2,2,2,2,0,0,0,2
52,17227.080,-18511.801,222.402,309.188,0,0.83820,0.10944,100.584,0.985,750.000,350.000,-1,375.000,-1,275.000,300.000,350.000,325.000,-1,-1,325.000,-1,550.000,-1,700.000,-1,0,0,2,0,2,0,0,0,0,2,2,0,2,0,2,0,2
54,17358.165,-18664.386,224.667,311.158,0,0.83820,0.10944,100.584,0.985,600.000,325.000,-1,325.000,-1,275.000,275.000,350.000,350.000,-1,350.000,325.000,-1,500.000,-1,575.000,-1,0,0,2,0,2,0,0,0,0,2,0,0,2,0,2,0,2
56,17494.418,-18812.375,231.728,313.128,0,0.83820,0.10944,100.584,0.985,650.000,325.000,-1,-1,-1,275.000,275.000,375.000,325.000,-1,125.000,100.000,-1,500.000,-1,600.000,-1,0,0,2,2,2,0,0,0,0,2,0,0,2,0,2,0,2
58,17635.678,-18898.500,248.631,315.098,0,0.83820,0.10944,100.584,0.985,675.000,325.000,-1,-1,-1,275.000,-1,350.000,350.000,-1,75.000,75.000,-1,500.000,-1,600.000,-1,0,0,2,2,2,0,2,0,0,2,0,0,2,0,2,0,2
60,17776.460,-18898.500,271.678,313.828,0,0.83820,-0.13056,100.584,-1.175,575.000,300.000,-1,-1,-1,250.000,-1,300.000,375.000,-1,75.000,75.000,-1,500.000,-1,550.000,-1,0,0,2,2,2,0,2,0,0,2,0,0,2,0,2,0,2
62,17901.051,-18898.500,292.076,309.047,0,0.75820,-0.32559,90.984,-2.930,500.000,300.000,-1,-1,-1,250.000,-1,275.000,375.000,-1,75.000,50.000,-1,-1,-1,500.000,-1,0,0,2,2,2,0,2,0,0,2,0,0,2,2,2,0,2
64,17996.080,-18898.500,307.634,306.427,0,0.64314,-0.08559,77.177,-0.770,425.000,300.000,-1,-1,-1,250.000,-1,250.000,375.000,-1,75.000,50.000,-1,-1,-1,475.000,-1,0,0,2,2,2,0,2,0,0,2,0,0,2,2,2,0,2
66,18092.475,-18898.500,327.070,305.552,0,0.72314,-0.10859,86.777,-0.977,-1,375.000,-1,-1,-1,300.000,-1,300.000,275.000,-1,25.000,0.000,525.000,-1,-1,-1,-1,2,0,2,2,2,0,2,0,0,2,0,0,0,2,2,2,2
68,18210.255,-18898.500,354.214,306.837,0,0.85623,0.13141,102.748,1.183,-1,375.000,-1,-1,-1,300.000,-1,300.000,300.000,-1,175.000,50.000,650.000,-1,-1,-1,-1,2,0,2,2,2,0,2,0,0,2,0,0,0,2,2,2,2
70,18335.281,-18898.500,383.026,310.283,0,0.77623,0.13141,93.148,1.183,-1,375.000,-1,-1,-1,300.000,-1,300.000,300.000,-1,300.000,200.000,800.000,-1,-1,-1,-1,2,0,2,2,2,0,2,0,0,2,0,0,0,2,2,2,2
72,18454.314,-18898.500,410.462,309.408,0,0.77329,-0.10859,92.794,-0.977,-1,375.000,-1,-1,-1,300.000,-1,300.000,325.000,-1,375.000,325.000,875.000,-1,-1,-1,-1,2,0,2,2,2,0,2,0,0,2,0,0,0,2,2,2,2
74,18565.800,-18898.500,436.162,305.568,0,0.79067,-0.19804,94.880,-1.782,-1,375.000,-1,-1,-1,300.000,-1,300.000,325.000,-1,425.000,400.000,925.000,-1,-1,-1,-1,2,0,2,2,2,0,2,0,0,2,0,0,0,2,2,2,2
76,18671.830,-18898.500,460.602,303.083,0,0.79067,-0.19804,94.880,-1.782,-1,375.000,-1,-1,-1,-1,-1,300.000,325.000,-1,500.000,450.000,975.000,-1,-1,-1,-1,2,0,2,2,2,2,2,0,0,2,0,0,0,2,2,2,2
78,18769.342,-18898.500,484.022,298.439,0,0.87067,-0.19804,104.480,-1.782,-1,-1,-1,-1,-1,-1,-1,300.000,300.000,-1,550.000,425.000,925.000,-1,-1,-1,-1,2,2,2,2,2,2,2,0,0,2,0,0,0,2,2,2,2
80,18861.674,-18898.500,506.454,291.634,0,0.97381,-0.43804,116.858,-3.942,-1,-1,-1,-1,-1,-1,-1,-1,300.000,-1,800.000,675.000,1000.000,-1,-1,-1,-1,2,2,2,2,2,2,2,2,0,2,0,0,0,2,2,2,2
82,18898.500,-18898.500,515.405,282.669,0,0.89381,-0.43804,107.258,-3.942,-1,-1,-1,-1,-1,-1,-1,-1,300.000,-1,-1,1000.000,-1,-1,-1,-1,-1,2,2,2,2,2,2,2,2,0,2,2,0,2,2,2,2,2
84,18898.500,-18898.500,515.408,278.024,0,0.75321,-0.19804,90.385,-1.782,-1,-1,-1,-1,-1,-1,-1,-1,300.000,-1,-1,-1,-1,-1,-1,-1,-1,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2
86,18898.500,-18898.500,515.408,277.700,0,0.81232,0.04196,97.478,0.378,-1,-1,-1,-1,-1,-1,-1,-1,300.000,-1,-1,-1,-1,-1,-1,-1,-1,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2
88,18898.500,-18898.500,515.407,279.797,0,0.81232,0.07105,97.478,0.639,-1,-1,-1,-1,-1,-1,-1,-1,300.000,-1,-1,-1,-1,-1,-1,-1,-1,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2
90,18898.500,-18898.500,515.406,280.903,0,0.84502,0.00143,101.402,0.013,-1,-1,-1,-1,-1,-1,-1,-1,300.000,-1,-1,-1,-1,-1,-1,-1,-1,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2
92,18898.500,-18898.500,515.408,277.688,0,0.84502,-0.23857,101.402,-2.147,-1,-1,-1,-1,-1,-1,-1,-1,300.000,-1,-1,-1,-1,-1,-1,-1,-1,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2
94,18898.500,-18898.500,515.408,272.314,0,0.83157,-0.23857,99.789,-2.147,-1,-1,-1,-1,-1,-1,-1,-1,300.000,-1,-1,-1,-1,-1,-1,-1,-1,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2
96,18898.500,-18898.500,515.408,271.260,0,0.83157,0.00143,99.789,0.013,-1,-1,-1,-1,-1,-1,-1,-1,300.000,-1,-1,-1,-1,-1,-1,-1,-1,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2
98,18898.500,-18898.500,515.408,273.187,0,0.79401,0.16707,95.281,1.504,-1,-1,-1,-1,-1,-1,-1,-1,300.000,-1,-1,-1,-1,-1,-1,-1,-1,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2
100,18898.500,-18898.500,515.408,278.306,0,0.79401,0.28170,95.281,2.535,-1,-1,-1,-1,-1,-1,-1,-1,300.000,-1,-1,-1,-1,-1,-1,-1,-1,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2
102,18898.500,-18898.500,515.405,282.635,0,0.87401,0.18047,104.881,1.624,-1,-1,-1,-1,-1,-1,-1,-1,300.000,-1,-1,1000.000,-1,-1,-1,-1,-1,2,2,2,2,2,2,2,2,0,2,2,0,2,2,2,2,2
104,18898.500,-18898.500,515.400,289.123,0,0.99007,0.42047,118.808,3.784,-1,-1,-1,-1,-1,-1,-1,-1,300.000,-1,950.000,750.000,-1,-1,-1,-1,-1,2,2,2,2,2,2,2,2,0,2,0,0,2,2,2,2,2
106,18898.500,-18898.500,515.395,293.452,0,0.91007,0.18047,109.208,1.624,-1,-1,-1,-1,-1,-1,-1,-1,300.000,-1,800.000,675.000,-1,-1,-1,-1,-1,2,2,2,2,2,2,2,2,0,2,0,0,2,2,2,2,2
108,18898.500,-18898.500,515.393,294.705,0,0.75007,0.07879,90.008,0.709,-1,-1,-1,-1,-1,-1,-1,-1,300.000,-1,775.000,675.000,-1,-1,-1,-1,-1,2,2,2,2,2,2,2,2,0,2,0,0,2,2,2,2,2
110,18898.500,-18898.500,515.387,299.183,0,0.75007,0.29880,90.008,2.689,-1,-1,-1,-1,-1,-1,-1,-1,300.000,-1,700.000,600.000,-1,-1,-1,-1,-1,2,2,2,2,2,2,2,2,0,2,0,0,2,2,2,2,2
112,18898.500,-18898.500,515.374,307.524,0,0.90035,0.50795,108.043,4.572,-1,-1,-1,-1,-1,325.000,-1,-1,300.000,-1,600.000,500.000,-1,-1,-1,-1,-1,2,2,2,2,2,0,2,2,0,2,0,0,2,2,2,2,2
114,18898.500,-18898.500,515.365,313.427,0,0.82035,0.26795,98.443,2.412,-1,-1,-1,-1,-1,-1,-1,325.000,300.000,-1,525.000,475.000,-1,-1,-1,-1,-1,2,2,2,2,2,2,2,0,0,2,0,0,2,2,2,2,2
