timestep,x_cm,y_cm,z_cm,yaw_deg,basis_xx,basis_xy,basis_xz,basis_yx,basis_yy,basis_yz,basis_zx,basis_zy,basis_zz,teleport_flag,throttle_cmd,steering_cmd,cmd_move_cm,cmd_turn_deg,lidar_cm_0,lidar_cm_1,lidar_cm_2,lidar_cm_3,lidar_cm_4,lidar_cm_5,lidar_cm_6,lidar_cm_7,lidar_cm_8,lidar_cm_9,lidar_cm_10,lidar_cm_11,lidar_cm_12,lidar_cm_13,lidar_cm_14,lidar_cm_15,lidar_cm_16,lidar_class_0,lidar_class_1,lidar_class_2,lidar_class_3,lidar_class_4,lidar_class_5,lidar_class_6,lidar_class_7,lidar_class_8,lidar_class_9,lidar_class_10,lidar_class_11,lidar_class_12,lidar_class_13,lidar_class_14,lidar_class_15,lidar_class_16
0,-1018.631,7916.575,104.543,-159.281,-0.935303,0.353835,-0.002959,-0.353773,-0.935246,-0.012633,-0.007238,-0.010769,0.999916,0,0.33765,-0.94614,0.756,-0.003,-1,552.047,-1,541.052,-1,457.647,452.142,454.974,566.102,-1,-1,-1,-1,902.060,-1,-1,-1,2,0,2,0,2,0,0,0,0,2,2,2,2,0,2,2,2
1,-1019.773,7916.450,104.922,-159.299,-0.935433,0.353503,-0.000502,-0.353487,-0.935401,-0.008481,-0.003468,-0.007756,0.999964,0,0.33765,-0.94614,1.149,-0.018,-1,561.510,-1,547.382,-1,463.899,457.720,460.549,560.403,-1,-1,-1,-1,926.027,-1,-1,-1,2,0,2,0,2,0,0,0,0,2,2,2,2,0,2,2,2
2,-1021.251,7916.258,104.390,-159.336,-0.935669,0.352873,0.002212,-0.352880,-0.935655,-0.005064,0.000283,-0.005519,0.999985,0,0.33765,-0.94614,1.490,-0.037,-1,568.384,-1,551.936,-1,468.232,461.577,463.165,553.787,-1,-1,-1,-1,945.468,-1,-1,-1,2,0,2,0,2,0,0,0,0,2,2,2,2,0,2,2,2
3,-1022.988,7915.946,103.263,-159.391,-0.936001,0.351975,0.004031,-0.351989,-0.935998,-0.003462,0.002555,-0.004660,0.999986,0,0.33765,-0.94614,1.765,-0.054,-1,570.122,-1,552.904,-1,469.025,462.237,462.432,548.498,-1,-1,-1,995.539,952.875,-1,-1,-1,2,0,2,0,2,0,0,0,0,2,2,2,0,0,2,2,2
4,-1024.996,7915.481,101.806,-159.466,-0.936461,0.350743,0.004465,-0.350761,-0.936455,-0.004279,0.002680,-0.005574,0.999981,0,0.33765,-0.94614,2.061,-0.075,-1,565.705,-1,549.806,-1,465.722,459.261,458.287,546.197,-1,-1,-1,990.717,944.754,-1,-1,-1,2,0,2,0,2,0,0,0,0,2,2,2,0,0,2,2,2
5,-1027.290,7914.863,100.223,-159.565,-0.937066,0.349134,0.003394,-0.349151,-0.937035,-0.007697,0.000493,-0.008398,0.999965,0,0.33765,-0.94614,2.376,-0.099,-1,555.289,-1,542.915,-1,458.487,452.859,451.023,547.851,1004.285,-1,-1,-1,921.211,-1,-1,-1,2,0,2,0,2,0,0,0,0,0,2,2,2,0,2,2,2
6,-1029.889,7914.103,98.639,-159.687,-0.937805,0.347162,0.001016,-0.347143,-0.937717,-0.013368,-0.003688,-0.012889,0.999910,0,0.33765,-0.94614,2.708,-0.123,-1,540.211,-1,533.118,-1,448.176,443.825,441.411,553.456,961.441,-1,-1,-1,886.019,-1,-1,-1,2,0,2,0,2,0,0,0,0,0,2,2,2,0,2,2,2
7,-1032.853,7913.256,97.228,-159.836,-0.938676,0.344796,-0.001765,-0.344697,-0.938507,-0.019731,-0.008459,-0.017912,0.999804,0,0.33765,-0.94614,3.082,-0.149,-1,524.372,-1,522.991,-1,437.361,434.447,431.633,561.122,935.899,-1,-1,-1,849.451,-1,-1,-1,2,0,2,0,2,0,0,0,0,0,2,2,2,0,2,2,2
8,-1036.227,7912.544,96.297,-160.020,-0.939749,0.341846,-0.003494,-0.341666,-0.939504,-0.024413,-0.011628,-0.021749,0.999696,0,0.33765,-0.94614,3.448,-0.184,-1,513.327,-1,516.492,-1,429.846,428.147,424.875,567.789,907.602,-1,-1,-1,824.710,-1,-1,-1,2,0,2,0,2,0,0,0,0,0,2,2,2,0,2,2,2
9,-1039.958,7912.064,95.954,-160.240,-0.941046,0.338258,-0.003681,-0.338048,-0.940753,-0.026603,-0.012462,-0.023790,0.999639,0,0.33765,-0.94614,3.762,-0.220,-1,508.665,-1,514.844,-1,426.795,425.960,422.112,572.160,879.234,-1,-1,-1,815.032,-1,-1,-1,2,0,2,0,2,0,0,0,0,0,2,2,2,0,2,2,2
10,-1044.046,7911.736,96.143,-160.480,-0.942469,0.334285,-0.002488,-0.334107,-0.942165,-0.026389,-0.011166,-0.024039,0.999649,0,0.33765,-0.94614,4.101,-0.240,-1,509.777,-1,517.482,-1,427.785,427.448,423.127,573.922,858.498,-1,-1,-1,818.799,-1,-1,-1,2,0,2,0,2,0,0,0,0,0,2,2,2,0,2,2,2
11,-1048.468,7911.460,96.697,-160.726,-0.943917,0.330181,-0.000577,-0.330067,-0.943635,-0.024657,-0.008686,-0.023083,0.999696,0,0.33765,-0.94614,4.431,-0.246,-1,514.369,-1,522.557,-1,431.175,431.082,426.659,573.925,851.211,-1,-1,-1,830.703,-1,-1,-1,2,0,2,0,2,0,0,0,0,0,2,2,2,0,2,2,2
12,-1053.207,7911.118,97.418,-160.966,-0.945308,0.326175,0.001413,-0.326123,-0.945063,-0.022348,-0.005954,-0.021586,0.999749,0,0.33765,-0.94614,4.751,-0.240,-1,520.078,-1,528.203,-1,435.282,435.303,431.330,573.164,847.014,-1,-1,-1,845.336,-1,-1,-1,2,0,2,0,2,0,0,0,0,0,2,2,2,0,2,2,2
13,-1058.217,7910.734,98.125,-161.213,-0.946716,0.322056,0.002970,-0.322047,-0.946501,-0.020536,-0.003803,-0.020398,0.999785,0,0.33765,-0.94614,5.025,-0.247,-1,524.524,-1,532.873,-1,438.491,438.708,435.583,573.127,844.464,-1,-1,-1,857.049,-1,-1,-1,2,0,2,0,2,0,0,0,0,0,2,2,2,0,2,2,2
14,-1063.454,7910.329,98.663,-161.477,-0.948193,0.317670,0.003857,-0.317683,-0.947992,-0.019700,-0.002602,-0.019905,0.999798,0,0.33765,-0.94614,5.253,-0.264,-1,526.422,-1,535.614,-1,440.027,440.505,438.410,574.226,842.356,-1,-1,-1,862.756,-1,-1,-1,2,0,2,0,2,0,0,0,0,0,2,2,2,0,2,2,2
15,-1068.910,7909.881,98.938,-161.754,-0.949718,0.313078,0.004154,-0.313098,-0.949515,-0.019756,-0.002241,-0.020063,0.999796,0,0.33765,-0.94614,5.474,-0.277,-1,525.769,-1,536.951,-1,439.795,440.641,439.690,576.042,839.693,-1,-1,-1,863.762,-1,-1,-1,2,0,2,0,2,0,0,0,0,0,2,2,2,0,2,2,2
16,-1074.559,7909.398,98.937,-162.041,-0.951273,0.308325,0.003968,-0.308341,-0.951059,-0.020339,-0.002497,-0.020572,0.999785,0,0.33765,-0.94614,5.670,-0.287,-1,523.116,-1,536.514,-1,438.067,439.353,439.838,577.766,836.788,-1,-1,-1,860.183,-1,-1,-1,2,0,2,0,2,0,0,0,0,0,2,2,2,0,2,2,2
17,-1080.353,7909.005,98.722,-162.348,-0.952913,0.303224,0.003471,-0.303227,-0.952677,-0.021460,-0.003200,-0.021502,0.999764,0,0.33765,-0.94614,5.807,-0.308,-1,518.883,-1,534.839,-1,435.207,436.964,438.937,579.812,832.657,-1,-1,-1,852.456,-1,-1,-1,2,0,2,0,2,0,0,0,0,0,2,2,2,0,2,2,2
18,-1086.213,7908.806,98.377,-162.690,-0.954699,0.297561,0.002839,-0.297546,-0.954432,-0.022920,-0.004110,-0.022727,0.999733,0,0.33765,-0.94614,5.863,-0.341,-1,513.787,-1,532.622,-1,431.750,434.139,437.401,582.133,827.098,-1,-1,-1,842.567,-1,-1,-1,2,0,2,0,2,0,0,0,0,0,2,2,2,0,2,2,2
19,-1092.134,7908.732,97.968,-163.044,-0.956516,0.291669,0.002306,-0.291640,-0.956230,-0.023903,-0.004767,-0.023536,0.999712,0,0.33765,-0.94614,5.922,-0.354,-1,509.218,-1,530.522,-1,428.576,431.685,436.383,583.148,821.998,-1,-1,-1,834.478,-1,-1,-1,2,0,2,0,2,0,0,0,0,0,2,2,2,0,2,2,2
20,-1098.160,7908.768,97.559,-163.418,-0.958403,0.285411,0.002057,-0.285376,-0.958108,-0.024281,-0.004959,-0.023858,0.999703,0,0.33765,-0.94614,6.026,-0.375,-1,505.685,-1,529.119,-1,426.091,429.734,436.150,582.896,819.632,-1,-1,-1,829.601,-1,-1,-1,2,0,2,0,2,0,0,0,0,0,2,2,2,0,2,2,2
21,-1104.438,7908.689,97.237,-163.771,-0.960145,0.279489,0.002629,-0.279471,-0.959863,-0.023639,-0.004083,-0.023432,0.999717,0,0.33765,-0.94614,6.278,-0.353,-1,504.597,-1,529.677,-1,425.311,429.260,437.246,581.166,818.917,-1,-1,-1,831.854,-1,-1,-1,2,0,2,0,2,0,0,0,0,0,2,2,2,0,2,2,2
22,-1110.970,7908.499,97.084,-164.104,-0.961758,0.273873,0.003951,-0.273891,-0.961493,-0.022694,-0.002417,-0.022908,0.999735,0,0.33765,-0.94614,6.536,-0.333,-1,505.318,-1,532.284,-1,425.922,430.191,438.926,579.962,816.659,-1,-1,-1,839.552,-1,-1,-1,2,0,2,0,2,0,0,0,0,0,2,2,2,0,2,2,2
23,-1117.732,7908.226,97.082,-164.420,-0.963255,0.268529,0.005663,-0.268589,-0.963001,-0.022123,-0.000488,-0.022831,0.999739,0,0.29690,-0.87594,6.767,-0.316,-1,506.641,-1,536.152,-1,427.097,431.836,440.457,580.582,812.835,-1,-1,-1,849.391,-1,-1,-1,2,0,2,0,2,0,0,0,0,0,2,2,2,0,2,2,2
24,-1124.577,7908.062,97.186,-164.745,-0.964763,0.263022,0.007243,-0.263120,-0.964494,-0.022775,0.000995,-0.023878,0.999714,0,0.29690,-0.87594,6.847,-0.325,-1,506.782,-1,540.163,-1,427.614,433.232,440.896,585.070,807.410,-1,-1,-1,855.500,-1,-1,-1,2,0,2,0,2,0,0,0,0,0,2,2,2,0,2,2,2
25,-1131.371,7908.025,97.368,-165.098,-0.966365,0.257051,0.008022,-0.257171,-0.966066,-0.024062,0.001564,-0.025316,0.999678,0,0.29690,-0.87594,6.794,-0.353,-1,505.247,-1,543.205,-1,427.114,433.551,440.931,591.134,804.245,-1,-1,-1,856.383,-1,-1,-1,2,0,2,0,2,0,0,0,0,0,2,2,2,0,2,2,2
26,-1138.195,7907.962,97.556,-165.448,-0.967918,0.251133,0.008146,-0.251259,-0.967603,-0.024745,0.001668,-0.025998,0.999661,0,0.29690,-0.87594,6.824,-0.350,-1,503.328,-1,544.804,-1,426.145,433.101,441.991,594.869,805.322,-1,-1,-1,856.109,-1,-1,-1,2,0,2,0,2,0,0,0,0,0,2,2,2,0,2,2,2
27,-1145.095,7907.974,97.743,-165.812,-0.969497,0.244969,0.008099,-0.245097,-0.969173,-0.025127,0.001694,-0.026346,0.999651,0,0.29690,-0.87594,6.900,-0.364,-1,501.420,-1,546.011,-1,425.066,432.479,443.558,597.535,807.844,-1,-1,-1,857.316,-1,-1,-1,2,0,2,0,2,0,0,0,0,0,2,2,2,0,2,2,2
28,-1151.970,7908.217,97.970,-166.199,-0.971130,0.238413,0.008165,-0.238546,-0.970785,-0.025909,0.001750,-0.027109,0.999631,0,0.29690,-0.87594,6.879,-0.387,-1,499.422,-1,547.794,-1,424.034,432.133,444.359,601.591,809.063,-1,-1,-1,858.536,-1,-1,-1,2,0,2,0,2,0,0,0,0,0,2,2,2,0,2,2,2
29,-1158.786,7908.585,98.230,-166.582,-0.972702,0.231904,0.008457,-0.232048,-0.972349,-0.026270,0.002131,-0.027515,0.999619,0,0.29690,-0.87594,6.827,-0.383,-1,498.293,-1,550.194,-1,423.591,432.607,445.767,604.731,810.570,-1,-1,-1,864.566,-1,-1,-1,2,0,2,0,2,0,0,0,0,0,2,2,2,0,2,2,2
30,-1165.526,7909.057,98.514,-166.970,-0.974248,0.225301,0.008979,-0.225461,-0.973906,-0.025963,0.002896,-0.027319,0.999623,0,0.29690,-0.87594,6.756,-0.388,-1,498.236,-1,553.160,-1,423.837,433.623,448.168,606.116,812.894,-1,-1,-1,875.132,-1,-1,-1,2,0,2,0,2,0,0,0,0,0,2,2,2,0,2,2,2
31,-1172.165,7909.604,98.816,-167.363,-0.975768,0.218606,0.009420,-0.218778,-0.975451,-0.025115,0.003699,-0.026568,0.999640,0,0.29690,-0.87594,6.661,-0.393,-1,498.616,-1,558.154,-1,424.281,434.677,451.452,605.807,817.575,-1,-1,-1,887.413,-1,-1,-1,2,0,2,0,2,0,0,0,0,0,2,2,2,0,2,2,2
32,-1178.894,7909.990,99.094,-167.718,-0.977101,0.212537,0.010097,-0.212721,-0.976834,-0.023368,0.004897,-0.024980,0.999676,0,0.29690,-0.87594,6.740,-0.355,-1,500.124,-1,563.631,-1,425.349,436.095,455.933,603.033,824.005,-1,-1,-1,904.002,-1,-1,-1,2,0,2,0,2,0,0,0,0,0,2,2,2,0,2,2,2
33,-1185.677,7910.482,99.331,-168.101,-0.978494,0.205989,0.010841,-0.206188,-0.978252,-0.022582,0.005953,-0.024331,0.999686,0,0.29690,-0.87594,6.801,-0.383,-1,500.743,-1,570.505,-1,425.994,437.643,458.985,602.906,827.935,-1,-1,-1,917.275,-1,-1,-1,2,0,2,0,2,0,0,0,0,0,2,2,2,0,2,2,2
34,-1192.507,7911.034,99.470,-168.501,-0.979905,0.199137,0.011465,-0.199352,-0.979671,-0.022462,0.006759,-0.024296,0.999682,0,0.29690,-0.87594,6.852,-0.400,-1,500.333,-1,576.941,-1,426.323,438.766,461.090,604.190,830.467,-1,-1,-1,928.295,-1,-1,-1,2,0,2,0,2,0,0,0,0,0,2,2,2,0,2,2,2
35,-1199.392,7911.671,99.512,-168.921,-0.981336,0.191926,0.011992,-0.192158,-0.981100,-0.022749,0.007399,-0.024629,0.999669,0,0.29690,-0.87594,6.915,-0.420,-1,499.529,-1,582.740,-1,426.228,439.509,462.683,606.151,832.121,-1,-1,-1,938.865,-1,-1,-1,2,0,2,0,2,0,0,0,0,0,2,2,2,0,2,2,2
36,-1206.344,7912.382,99.491,-169.349,-0.982738,0.184580,0.012478,-0.184828,-0.982500,-0.023066,0.008002,-0.024974,0.999656,0,0.29690,-0.87594,6.988,-0.428,-1,498.767,-1,588.024,-1,425.949,440.069,464.149,607.547,833.743,-1,-1,-1,949.008,-1,-1,-1,2,0,2,0,2,0,0,0,0,0,2,2,2,0,2,2,2
37,-1213.248,7913.275,99.490,-169.794,-0.984143,0.176914,0.012801,-0.177175,-0.983902,-0.023374,0.008460,-0.025272,0.999645,0,0.29690,-0.87594,6.962,-0.446,-1,497.924,-1,592.939,-1,425.538,440.794,465.777,608.724,836.146,-1,-1,-1,958.697,-1,-1,-1,2,0,2,0,2,0,0,0,0,0,2,2,2,0,2,2,2
38,-1220.121,7914.196,99.565,-170.227,-0.985450,0.169462,0.013070,-0.169730,-0.985217,-0.023214,0.008943,-0.025095,0.999645,0,0.29690,-0.87594,6.935,-0.433,-1,497.692,-1,598.039,-1,425.673,441.802,468.289,608.892,840.278,-1,-1,-1,970.154,-1,-1,-1,2,0,2,0,2,0,0,0,0,0,2,2,2,0,2,2,2
39,-1227.018,7915.031,99.762,-170.622,-0.986589,0.162655,0.013653,-0.162932,-0.986382,-0.022454,0.009815,-0.024377,0.999655,0,0.29690,-0.87594,6.948,-0.395,-1,498.794,-1,605.242,-1,426.730,443.557,471.884,608.190,845.333,-1,-1,-1,986.318,-1,-1,-1,2,0,2,0,2,0,0,0,0,0,2,2,2,0,2,2,2
40,-1233.836,7915.993,100.101,-171.028,-0.987705,0.155656,0.014464,-0.155947,-0.987525,-0.021785,0.010893,-0.023773,0.999658,0,0.29690,-0.87594,6.885,-0.405,-1,500.588,-1,615.052,-1,428.409,446.026,475.700,608.259,849.934,-1,-1,-1,1005.462,-1,-1,-1,2,0,2,0,2,0,0,0,0,0,2,2,2,0,2,2,2
