step_idx	elapsed_s	sensor_idx	sensor_label	sensor_enabled	raw_cm	raw_is_zero	valid_range_gt0	valid_range_ge0	mask_hit	pitch_scale	planar_hit_cm	hit_world_z_cm	low_clearance_hit	chunk_name	chunk_hit_count	chunk_threshold_met	hit_dist_from_rover_cm	within_local_radius	usable_for_mark	placed	usable_reason	map_origin	sensor_local_x_cm	sensor_local_y_cm	sensor_yaw_deg	sensor_pitch_deg	sensor_world_x_cm	sensor_world_y_cm	sensor_cell_x	sensor_cell_y	hit_world_x_cm	hit_world_y_cm	hit_cell_x	hit_cell_y	center_hit_world_x_cm	center_hit_world_y_cm	center_hit_cell_x	center_hit_cell_y
0	0.002	0	front_left_wheel_hub_yaw_p30	1	0.000	1	0	1	1	1.000	0.000	49.994	0	front	1	1	0.000	1	1	0	inside_rover_bbox	center	250.000	245.000	30.000	0.000	545.436	930.408	108	99	300.000	1179.980	104	104	300.000	1179.980	104	104
0	0.002	1	front_left_frame_yaw_p20_pitch_n20	0	513.930	0	1	1	0	0.940	482.936	-125.780	1	front	1	1	nan	0	0	0	sensor_disabled	center	325.000	75.000	20.000	-20.000	375.567	855.112	105	97	nan	nan	-1	-1	465.966	726.458	107	94
0	0.002	2	front_center_frame_forward	1	-1.000	0	0	0	0	1.000	nan	nan	0	front	1	1	nan	0	0	0	invalid_range	center	325.000	0.000	0.000	0.000	300.567	854.981	104	97	nan	nan	-1	-1	nan	nan	-1	-1
0	0.002	3	front_right_frame_yaw_n20_pitch_n20	0	561.370	0	1	1	0	0.940	527.515	-142.006	1	front	1	1	nan	0	0	0	sensor_disabled	center	325.000	-75.000	-20.000	-20.000	225.567	854.850	102	97	nan	nan	-1	-1	120.445	683.964	100	94
0	0.002	4	front_right_wheel_hub_yaw_n30	1	865.320	0	1	1	0	1.000	865.320	49.994	0	front	1	1	nan	0	0	0	masked_non_contact	center	250.000	-245.000	-30.000	0.000	55.437	929.553	99	98	nan	nan	-1	-1	-131.352	429.837	95	88
0	0.002	5	front_left_frame_pitch_n25	0	426.890	0	1	1	0	0.906	386.894	-130.418	1	front	1	1	nan	0	0	0	sensor_disabled	center	325.000	75.000	0.000	-25.000	375.567	855.112	105	97	nan	nan	-1	-1	300.675	793.087	104	96
0	0.002	6	front_right_frame_pitch_n25	0	438.290	0	1	1	0	0.906	397.226	-135.235	1	front	1	1	nan	0	0	0	sensor_disabled	center	325.000	-75.000	0.000	-25.000	225.567	854.850	102	97	nan	nan	-1	-1	300.693	782.755	104	96
0	0.002	7	left_mid_frame_left_pitch_n20	0	414.600	0	1	1	0	0.940	389.597	-91.808	1	left	0	0	nan	0	0	0	sensor_disabled	center	40.000	235.000	90.000	-20.000	535.069	1140.391	108	103	nan	nan	-1	-1	689.596	1180.660	111	104
0	0.002	8	right_mid_frame_right_pitch_n20	0	414.170	0	1	1	0	0.940	389.193	-91.660	1	right	0	0	nan	0	0	0	sensor_disabled	center	40.000	-235.000	-90.000	-20.000	65.070	1139.570	99	103	nan	nan	-1	-1	-89.192	1179.301	96	103
0	0.002	9	rear_left_wheel_hub_back_yaw_p40	1	650.800	0	1	1	0	1.000	650.800	49.994	0	rear	0	0	nan	0	0	0	masked_non_contact	center	-215.000	270.000	140.000	0.000	569.624	1395.451	109	108	nan	nan	-1	-1	717.455	1679.251	112	113
0	0.002	10	rear_left_frame_backward	1	363.080	0	1	1	0	1.000	363.080	49.994	0	rear	0	0	nan	0	0	0	masked_non_contact	center	-320.000	80.000	180.000	0.000	379.441	1500.120	105	110	nan	nan	-1	-1	299.366	1543.060	103	111
0	0.002	11	rear_right_frame_backward	1	353.660	0	1	1	0	1.000	353.660	49.994	0	rear	0	0	nan	0	0	0	masked_non_contact	center	-320.000	-50.000	180.000	0.000	249.442	1499.893	102	110	nan	nan	-1	-1	299.383	1533.640	103	111
