step_idx	elapsed_s	attempted	raw_path_points	follow_path_points	status
0	0.002	0	0	0	Running
1	0.343	0	0	0	Running
2	0.679	0	0	0	Running
3	0.948	0	0	0	Running
4	1.273	0	0	0	Running
5	1.545	0	0	0	Running
6	1.844	0	0	0	Running
7	2.138	0	0	0	Running
8	2.488	0	0	0	Running
9	2.766	0	0	0	Running
10	3.061	0	0	0	Running
11	3.332	0	0	0	Running
12	3.598	0	0	0	Running
13	3.877	0	0	0	Running
14	4.152	0	0	0	Running
15	4.416	0	0	0	Running
16	4.712	0	0	0	Running
17	5.005	0	0	0	Running
18	5.291	0	0	0	Running
19	5.608	0	0	0	Running
20	5.889	0	0	0	Running
21	6.165	0	0	0	Running
22	6.439	0	0	0	Running
23	6.717	0	0	0	Running
24	6.990	0	0	0	Running
25	7.248	0	0	0	Running
26	7.511	0	0	0	Running
27	7.835	0	0	0	Running
28	8.103	0	0	0	Running
29	8.365	0	0	0	Running
30	8.615	0	0	0	Running
31	8.867	0	0	0	Running
32	9.134	0	0	0	Running
33	9.406	0	0	0	Running
34	9.660	0	0	0	Running
35	9.911	0	0	0	Running
36	10.176	0	0	0	Running
37	10.430	0	0	0	Running
38	10.692	0	0	0	Running
39	10.960	0	0	0	Running
40	11.212	0	0	0	Running
41	11.479	0	0	0	Running
42	11.737	0	0	0	Running
43	11.988	0	0	0	Running
44	12.241	0	0	0	Running
45	12.491	0	0	0	Running
46	12.775	0	0	0	Running
47	13.030	0	0	0	Running
48	13.285	0	0	0	Running
49	13.547	0	0	0	Running
50	13.815	0	0	0	Running
51	14.093	0	0	0	Running
52	14.348	0	0	0	Running
53	14.597	0	0	0	Running
54	14.865	0	0	0	Running
55	15.150	0	0	0	Running
56	15.402	0	0	0	Running
57	15.661	0	0	0	Running
58	15.911	0	0	0	Running
59	16.171	0	0	0	Running
60	16.450	0	0	0	Running
61	16.705	0	0	0	Running
62	16.956	0	0	0	Running
63	17.206	0	0	0	Running
64	17.462	0	0	0	Running
65	17.719	0	0	0	Running
66	17.969	0	0	0	Running
67	18.224	0	0	0	Running
68	18.488	0	0	0	Running
69	18.757	0	0	0	Running
70	19.013	0	0	0	Running
71	19.306	0	0	0	Running
72	19.561	0	0	0	Running
73	19.829	0	0	0	Running
74	20.087	0	0	0	Running
75	20.348	0	0	0	Running
76	20.602	0	0	0	Running
77	20.852	0	0	0	Running
78	21.114	0	0	0	Running
79	21.375	0	0	0	Running
80	21.635	0	0	0	Running
81	21.927	0	0	0	Running
82	22.184	0	0	0	Running
83	22.441	0	0	0	Running
84	22.694	0	0	0	Running
85	22.952	0	0	0	Running
86	23.217	0	0	0	Running
87	23.471	0	0	0	Running
88	23.724	0	0	0	Running
89	23.977	0	0	0	Running
90	24.224	0	0	0	Running
91	24.478	0	0	0	Running
92	24.729	0	0	0	Running
93	24.982	0	0	0	Running
94	25.240	0	0	0	Running
95	25.496	0	0	0	Running
96	25.746	0	0	0	Running
97	26.000	0	0	0	Running
98	26.253	0	0	0	Running
99	26.545	0	0	0	Running
100	26.801	0	0	0	Running
101	27.053	0	0	0	Running
102	27.308	0	0	0	Running
103	27.567	0	0	0	Running
104	27.816	0	0	0	Running
105	28.083	0	0	0	Running
106	28.339	0	0	0	Running
107	28.592	0	0	0	Running
108	28.846	0	0	0	Running
109	29.101	0	0	0	Running
110	29.364	0	0	0	Running
111	29.615	0	0	0	Running
112	29.865	0	0	0	Running
113	30.129	0	0	0	Running
114	30.385	0	0	0	Running
115	30.657	0	0	0	Running
116	30.937	0	0	0	Running
117	31.208	0	0	0	Running
118	31.472	0	0	0	Running
119	31.736	0	0	0	Running
120	32.031	0	0	0	Running
121	32.281	0	0	0	Running
122	32.537	0	0	0	Running
123	32.792	0	0	0	Running
124	33.044	0	0	0	Running
125	33.298	0	0	0	Running
126	33.558	0	0	0	Running
