step_idx	elapsed_s	status	rover_x_cm	rover_y_cm	rover_z_cm	rover_heading_deg	goal_dist_cm	next_waypoint_dist_cm	next_waypoint_avg_cm	target_x_cm	target_y_cm	waypoint_idx	path_len	throttle_cmd	steering_cmd	telemetry_throttle	telemetry_steering	telemetry_speed	telemetry_brakes	telemetry_distance_traveled	new_obstacles	obstacle_total	rover_cell_x	rover_cell_y	target_cell_x	target_cell_y	viewer_scale_x	viewer_scale_y	closest_usable_lidar_cm	closest_raw_positive_lidar_cm	zero_lidar_sensor_count	usable_lidar_sensor_count
0	0.002	Running	300.000	1179.980	49.994	-89.900	5656.854	429.289	429.289	-3.553	876.427	57	649	50	-1.000	0.000	0.000	0.100	0	131.200	0	0	104	104	97	97	6.450	6.605	0.000	353.660	1	1
1	0.343	Running	300.000	1179.980	49.994	-89.900	5656.854	429.289	429.289	-3.553	876.427	57	649	50	-1.000	50.000	1.000	0.100	0	131.200	0	0	104	104	97	97	6.450	6.605	0.000	353.660	1	1
2	0.679	Running	300.000	1179.980	49.994	-90.000	5656.854	429.289	429.289	-3.553	876.427	57	649	50	-1.000	50.000	1.000	0.000	0	131.300	0	0	104	104	97	97	6.450	6.605	0.000	402.230	1	1
3	0.948	Running	300.000	1179.980	49.994	-90.000	5656.854	429.289	429.289	-3.553	876.427	57	649	50	-1.000	50.000	1.000	0.000	0	131.300	0	0	104	104	97	97	6.450	6.605	0.000	402.230	1	1
4	1.273	Running	300.000	1179.980	49.994	-90.000	5656.854	429.289	429.289	-3.553	876.427	57	649	50	-1.000	50.000	1.000	0.000	0	131.300	0	0	104	104	97	97	6.450	6.605	0.000	402.230	1	1
5	1.545	Running	300.000	1179.980	49.994	-90.000	5656.854	429.289	429.289	-3.553	876.427	57	649	50	-1.000	50.000	1.000	0.400	0	131.300	0	0	104	104	97	97	6.450	6.605	0.000	351.610	1	1
6	1.844	Running	300.000	1179.980	49.994	-90.000	5656.854	429.289	429.289	-3.553	876.427	57	649	50	-1.000	50.000	1.000	0.400	0	131.300	0	0	104	104	97	97	6.450	6.605	0.000	351.610	1	1
7	2.138	Running	300.000	1179.980	49.994	-90.000	5656.854	429.289	429.289	-3.553	876.427	57	649	50	-1.000	50.000	1.000	0.400	0	131.300	0	0	104	104	97	97	6.450	6.605	0.000	351.610	1	1
8	2.488	Running	300.000	1179.980	49.994	-90.000	5656.854	429.289	429.289	-3.553	876.427	57	649	50	-1.000	50.000	1.000	0.400	1	131.300	0	0	104	104	97	97	6.450	6.605	0.000	351.610	1	1
9	2.766	Running	300.000	1170.020	39.996	-90.900	5649.815	493.007	435.661	-53.553	826.427	58	642	50	-1.000	50.000	1.000	1.500	1	131.400	0	0	104	103	96	96	6.450	6.605	0.000	235.610	1	1
10	3.061	Running	300.000	1170.020	39.996	-90.900	5649.815	493.007	440.874	-53.553	826.427	58	642	50	-1.000	50.000	1.000	1.500	1	131.400	0	0	104	103	96	96	6.450	6.605	0.000	235.610	1	1
11	3.332	Running	300.000	1170.020	39.996	-90.900	5649.815	493.007	445.219	-53.553	826.427	58	642	50	-1.000	50.000	1.000	1.500	1	131.400	0	0	104	103	96	96	6.450	6.605	0.000	235.610	1	1
12	3.598	Running	300.000	1160.058	39.996	-91.800	5642.785	486.117	448.365	-53.553	826.427	57	641	50	-1.000	50.000	1.000	0.800	0	131.500	0	0	104	103	96	96	6.450	6.605	nan	240.660	0	0
13	3.877	Running	300.000	1160.058	39.996	-91.800	5642.785	486.117	451.061	-53.553	826.427	57	641	50	-1.000	50.000	1.000	0.800	0	131.500	0	0	104	103	96	96	6.450	6.605	nan	240.660	0	0
14	4.152	Running	300.000	1160.058	39.996	-91.800	5642.785	486.117	453.398	-53.553	826.427	57	641	50	-1.000	50.000	1.000	0.800	0	131.500	0	0	104	103	96	96	6.450	6.605	nan	240.660	0	0
15	4.416	Running	300.000	1160.058	39.996	-92.300	5642.785	486.117	455.443	-53.553	826.427	57	641	50	-1.000	50.000	1.000	0.800	0	131.600	0	0	104	103	96	96	6.450	6.605	0.000	334.630	1	1
16	4.712	Running	300.000	1160.058	39.996	-92.300	5642.785	486.117	457.248	-53.553	826.427	57	641	50	-1.000	50.000	1.000	0.800	0	131.600	0	0	104	103	96	96	6.450	6.605	0.000	334.630	1	1
17	5.005	Running	300.000	1160.058	39.996	-92.300	5642.785	486.117	458.852	-53.553	826.427	57	641	50	-1.000	50.000	1.000	0.800	0	131.600	0	0	104	103	96	96	6.450	6.605	0.000	334.630	1	1
18	5.291	Running	300.000	1160.058	39.996	-92.300	5642.785	486.117	460.287	-53.553	826.427	57	641	50	-1.000	50.000	1.000	0.800	0	131.600	0	0	104	103	96	96	6.450	6.605	0.000	334.630	1	1
19	5.608	Running	300.000	1160.058	39.996	-92.300	5642.785	486.117	461.578	-53.553	826.427	57	641	50	-1.000	50.000	1.000	0.800	1	131.600	0	0	104	103	96	96	6.450	6.605	0.000	334.630	1	1
20	5.889	Running	289.990	1150.000	39.996	-93.700	5628.595	486.084	462.745	-63.563	816.417	57	639	50	-1.000	50.000	1.000	1.800	1	131.700	0	0	103	103	96	96	6.450	6.605	nan	261.390	0	0
