step_idx	elapsed_s	sensor_idx	sensor_label	raw_cm	mask_hit	sensor_world_x_cm	sensor_world_y_cm	sensor_cell_x	sensor_cell_y	rover_x_cm	rover_y_cm	rover_heading_deg
0	0.002	0	front_left_wheel_hub_yaw_p30	0.000	1	545.436	930.408	108	99	300.000	1179.980	-89.900
1	0.343	0	front_left_wheel_hub_yaw_p30	0.000	1	545.436	930.408	108	99	300.000	1179.980	-89.900
2	0.679	0	front_left_wheel_hub_yaw_p30	0.000	1	545.000	929.980	108	99	300.000	1179.980	-90.000
3	0.948	0	front_left_wheel_hub_yaw_p30	0.000	1	545.000	929.980	108	99	300.000	1179.980	-90.000
4	1.273	0	front_left_wheel_hub_yaw_p30	0.000	1	545.000	929.980	108	99	300.000	1179.980	-90.000
5	1.545	0	front_left_wheel_hub_yaw_p30	0.000	1	545.000	929.980	108	99	300.000	1179.980	-90.000
6	1.844	0	front_left_wheel_hub_yaw_p30	0.000	1	545.000	929.980	108	99	300.000	1179.980	-90.000
7	2.138	0	front_left_wheel_hub_yaw_p30	0.000	1	545.000	929.980	108	99	300.000	1179.980	-90.000
8	2.488	0	front_left_wheel_hub_yaw_p30	0.000	1	545.000	929.980	108	99	300.000	1179.980	-90.000
9	2.766	0	front_left_wheel_hub_yaw_p30	0.000	1	541.043	916.202	108	98	300.000	1170.020	-90.900
10	3.061	0	front_left_wheel_hub_yaw_p30	0.000	1	541.043	916.202	108	98	300.000	1170.020	-90.900
11	3.332	0	front_left_wheel_hub_yaw_p30	0.000	1	541.043	916.202	108	98	300.000	1170.020	-90.900
15	4.416	0	front_left_wheel_hub_yaw_p30	0.000	1	534.770	900.428	108	98	300.000	1160.058	-92.300
16	4.712	0	front_left_wheel_hub_yaw_p30	0.000	1	534.770	900.428	108	98	300.000	1160.058	-92.300
17	5.005	0	front_left_wheel_hub_yaw_p30	0.000	1	534.770	900.428	108	98	300.000	1160.058	-92.300
18	5.291	0	front_left_wheel_hub_yaw_p30	0.000	1	534.770	900.428	108	98	300.000	1160.058	-92.300
19	5.608	0	front_left_wheel_hub_yaw_p30	0.000	1	534.770	900.428	108	98	300.000	1160.058	-92.300
23	6.717	0	front_left_wheel_hub_yaw_p30	0.000	1	510.850	868.477	108	97	289.990	1140.039	-95.300
24	6.990	0	front_left_wheel_hub_yaw_p30	0.000	1	510.850	868.477	108	97	289.990	1140.039	-95.300
25	7.248	0	front_left_wheel_hub_yaw_p30	0.000	1	510.850	868.477	108	97	289.990	1140.039	-95.300
26	7.511	0	front_left_wheel_hub_yaw_p30	0.000	1	506.557	854.983	108	97	289.990	1129.980	-96.200
27	7.835	0	front_left_wheel_hub_yaw_p30	0.000	1	506.557	854.983	108	97	289.990	1129.980	-96.200
28	8.103	0	front_left_wheel_hub_yaw_p30	0.000	1	506.557	854.983	108	97	289.990	1129.980	-96.200
29	8.365	0	front_left_wheel_hub_yaw_p30	0.000	1	506.557	854.983	108	97	289.990	1129.980	-96.200
30	8.615	0	front_left_wheel_hub_yaw_p30	0.000	1	487.803	838.355	107	97	279.980	1120.020	-98.000
31	8.867	0	front_left_wheel_hub_yaw_p30	0.000	1	487.803	838.355	107	97	279.980	1120.020	-98.000
32	9.134	0	front_left_wheel_hub_yaw_p30	0.000	1	487.803	838.355	107	97	279.980	1120.020	-98.000
33	9.406	0	front_left_wheel_hub_yaw_p30	0.000	1	487.803	838.355	107	97	279.980	1120.020	-98.000
49	13.547	0	front_left_wheel_hub_yaw_p30	0.000	0	422.479	765.428	106	95	250.000	1070.020	-104.900
50	13.815	0	front_left_wheel_hub_yaw_p30	0.000	0	422.479	765.428	106	95	250.000	1070.020	-104.900
51	14.093	0	front_left_wheel_hub_yaw_p30	0.000	0	422.479	765.428	106	95	250.000	1070.020	-104.900
52	14.348	0	front_left_wheel_hub_yaw_p30	0.000	0	422.479	765.428	106	95	250.000	1070.020	-104.900
53	14.597	0	front_left_wheel_hub_yaw_p30	0.000	0	402.276	739.857	106	95	239.990	1050.000	-106.800
54	14.865	0	front_left_wheel_hub_yaw_p30	0.000	0	402.276	739.857	106	95	239.990	1050.000	-106.800
55	15.150	0	front_left_wheel_hub_yaw_p30	0.000	0	402.276	739.857	106	95	239.990	1050.000	-106.800
56	15.402	0	front_left_wheel_hub_yaw_p30	0.000	0	402.276	739.857	106	95	239.990	1050.000	-106.800
57	15.661	0	front_left_wheel_hub_yaw_p30	0.000	0	382.994	715.160	105	94	229.980	1029.980	-108.500
58	15.911	0	front_left_wheel_hub_yaw_p30	0.000	0	382.994	715.160	105	94	229.980	1029.980	-108.500
59	16.171	0	front_left_wheel_hub_yaw_p30	0.000	0	382.994	715.160	105	94	229.980	1029.980	-108.500
76	20.602	0	front_left_wheel_hub_yaw_p30	0.000	0	322.707	662.216	104	93	200.000	990.039	-113.900
77	20.852	0	front_left_wheel_hub_yaw_p30	0.000	0	322.707	662.216	104	93	200.000	990.039	-113.900
78	21.114	0	front_left_wheel_hub_yaw_p30	0.000	0	322.707	662.216	104	93	200.000	990.039	-113.900
79	21.375	0	front_left_wheel_hub_yaw_p30	0.000	0	322.707	662.216	104	93	200.000	990.039	-113.900
80	21.635	0	front_left_wheel_hub_yaw_p30	0.000	0	320.415	651.309	104	93	200.000	979.980	-114.300
81	21.927	0	front_left_wheel_hub_yaw_p30	0.000	0	320.415	651.309	104	93	200.000	979.980	-114.300
82	22.184	0	front_left_wheel_hub_yaw_p30	0.000	0	320.415	651.309	104	93	200.000	979.980	-114.300
83	22.441	0	front_left_wheel_hub_yaw_p30	0.000	0	320.415	651.309	104	93	200.000	979.980	-114.300
96	25.746	0	front_left_wheel_hub_yaw_p30	0.000	0	237.768	591.127	102	92	150.000	929.980	-119.900
97	26.000	0	front_left_wheel_hub_yaw_p30	0.000	0	237.768	591.127	102	92	150.000	929.980	-119.900
98	26.253	0	front_left_wheel_hub_yaw_p30	0.000	0	237.768	591.127	102	92	150.000	929.980	-119.900
99	26.545	0	front_left_wheel_hub_yaw_p30	0.000	0	237.768	591.127	102	92	150.000	929.980	-119.900
115	30.657	0	front_left_wheel_hub_yaw_p30	0.000	0	131.243	483.719	100	90	79.980	829.980	-126.000
116	30.937	0	front_left_wheel_hub_yaw_p30	0.000	0	131.243	483.719	100	90	79.980	829.980	-126.000
117	31.208	0	front_left_wheel_hub_yaw_p30	0.000	0	131.243	483.719	100	90	79.980	829.980	-126.000
134	35.579	0	front_left_wheel_hub_yaw_p30	0.000	0	24.547	400.826	98	88	0.000	750.000	-130.400
135	35.829	0	front_left_wheel_hub_yaw_p30	0.000	0	24.547	400.826	98	88	0.000	750.000	-130.400
136	36.079	0	front_left_wheel_hub_yaw_p30	0.000	0	24.547	400.826	98	88	0.000	750.000	-130.400
137	36.340	0	front_left_wheel_hub_yaw_p30	0.000	0	24.547	400.826	98	88	0.000	750.000	-130.400
146	38.715	0	front_left_wheel_hub_yaw_p30	0.000	0	-27.456	360.032	97	87	-30.029	710.058	-134.000
147	38.968	0	front_left_wheel_hub_yaw_p30	0.000	0	-27.456	360.032	97	87	-30.029	710.058	-134.000
148	39.219	0	front_left_wheel_hub_yaw_p30	0.000	0	-27.456	360.032	97	87	-30.029	710.058	-134.000
153	40.497	0	front_left_wheel_hub_yaw_p30	0.000	0	-29.288	360.024	97	87	-30.029	710.058	-134.300
154	40.749	0	front_left_wheel_hub_yaw_p30	0.000	0	-29.288	360.024	97	87	-30.029	710.058	-134.300
155	41.010	0	front_left_wheel_hub_yaw_p30	0.000	0	-29.288	360.024	97	87	-30.029	710.058	-134.300
156	41.302	0	front_left_wheel_hub_yaw_p30	0.000	0	-29.288	360.024	97	87	-30.029	710.058	-134.300
157	41.562	0	front_left_wheel_hub_yaw_p30	0.000	0	-31.732	360.027	97	87	-30.029	710.058	-134.700
158	41.821	0	front_left_wheel_hub_yaw_p30	0.000	0	-31.732	360.027	97	87	-30.029	710.058	-134.700
159	42.094	0	front_left_wheel_hub_yaw_p30	0.000	0	-31.732	360.027	97	87	-30.029	710.058	-134.700
160	42.356	0	front_left_wheel_hub_yaw_p30	0.000	0	-31.732	360.027	97	87	-30.029	710.058	-134.700
161	42.618	0	front_left_wheel_hub_yaw_p30	0.000	0	-32.343	360.030	97	87	-30.029	710.058	-134.800
162	42.888	0	front_left_wheel_hub_yaw_p30	0.000	0	-32.343	360.030	97	87	-30.029	710.058	-134.800
163	43.147	0	front_left_wheel_hub_yaw_p30	0.000	0	-32.343	360.030	97	87	-30.029	710.058	-134.800
164	43.402	0	front_left_wheel_hub_yaw_p30	0.000	0	-32.954	360.035	97	87	-30.029	710.058	-134.900
165	43.662	0	front_left_wheel_hub_yaw_p30	0.000	0	-32.954	360.035	97	87	-30.029	710.058	-134.900
166	43.944	0	front_left_wheel_hub_yaw_p30	0.000	0	-32.954	360.035	97	87	-30.029	710.058	-134.900
167	44.201	0	front_left_wheel_hub_yaw_p30	0.000	0	-32.954	360.035	97	87	-30.029	710.058	-134.900
168	44.452	0	front_left_wheel_hub_yaw_p30	0.000	0	-32.954	360.035	97	87	-30.029	710.058	-134.900
172	45.469	0	front_left_wheel_hub_yaw_p30	0.000	0	-35.397	360.064	97	87	-30.029	710.058	-135.300
173	45.735	0	front_left_wheel_hub_yaw_p30	0.000	0	-35.397	360.064	97	87	-30.029	710.058	-135.300
174	45.991	0	front_left_wheel_hub_yaw_p30	0.000	0	-35.397	360.064	97	87	-30.029	710.058	-135.300
175	46.247	0	front_left_wheel_hub_yaw_p30	0.000	0	-35.397	360.064	97	87	-30.029	710.058	-135.300
187	49.456	0	front_left_wheel_hub_yaw_p30	0.000	0	-40.284	350.114	97	87	-30.029	700.000	-136.100
188	49.724	0	front_left_wheel_hub_yaw_p30	0.000	0	-40.284	350.114	97	87	-30.029	700.000	-136.100
