timestep,x_cm,y_cm,z_cm,yaw_deg,basis_xx,basis_xy,basis_xz,basis_yx,basis_yy,basis_yz,basis_zx,basis_zy,basis_zz,teleport_flag,throttle_cmd,steering_cmd,cmd_move_cm,cmd_turn_deg,lidar_cm_0,lidar_cm_1,lidar_cm_2,lidar_cm_3,lidar_cm_4,lidar_cm_5,lidar_cm_6,lidar_cm_7,lidar_cm_8,lidar_cm_9,lidar_cm_10,lidar_cm_11,lidar_cm_12,lidar_cm_13,lidar_cm_14,lidar_cm_15,lidar_cm_16,lidar_class_0,lidar_class_1,lidar_class_2,lidar_class_3,lidar_class_4,lidar_class_5,lidar_class_6,lidar_class_7,lidar_class_8,lidar_class_9,lidar_class_10,lidar_class_11,lidar_class_12,lidar_class_13,lidar_class_14,lidar_class_15,lidar_class_16
0,8203.852,-7542.192,75.586,11.211,0.979063,-0.193301,-0.063799,0.184621,0.975251,-0.121661,0.085737,0.107336,0.990519,1,0.08000,0.12000,4.800,0.240,200.000,275.000,650.000,425.000,600.000,275.000,375.000,475.000,250.000,-1,300.000,150.000,525.000,350.000,525.000,200.000,575.000,1,1,1,1,1,1,1,0,0,2,0,0,0,1,1,1,1
1,8213.251,-7540.242,76.470,11.691,0.977360,-0.201409,-0.064822,0.192281,0.973331,-0.125121,0.088294,0.109825,0.990022,0,0.16000,0.24000,9.600,0.480,200.000,275.000,650.000,425.000,600.000,275.000,375.000,475.000,250.000,-1,300.000,125.000,525.000,350.000,525.000,200.000,550.000,1,1,1,1,1,1,1,0,0,2,0,0,0,1,1,1,1
2,8227.313,-7537.140,77.819,12.411,0.974685,-0.213531,-0.066282,0.203698,0.970300,-0.130476,0.092175,0.113672,0.989233,0,0.24000,0.36000,14.400,0.720,200.000,250.000,650.000,400.000,575.000,275.000,350.000,500.000,250.000,-1,275.000,125.000,500.000,350.000,500.000,200.000,550.000,1,1,1,1,1,1,1,0,0,2,0,0,0,1,1,1,1
3,8245.989,-7532.689,79.661,13.371,0.970898,-0.229614,-0.068077,0.218779,0.965978,-0.137921,0.097430,0.119014,0.988101,0,0.32000,0.48000,19.200,0.960,200.000,250.000,625.000,400.000,550.000,250.000,350.000,525.000,250.000,-1,275.000,125.000,450.000,325.000,500.000,200.000,525.000,1,1,1,1,1,1,1,0,0,2,0,0,0,1,1,1,1
4,8269.213,-7526.637,82.032,14.571,0.965818,-0.249575,-0.070053,0.237388,0.960119,-0.147713,0.104125,0.126034,0.986546,0,0.40000,0.60000,24.000,1.200,175.000,250.000,625.000,400.000,500.000,250.000,325.000,550.000,250.000,-1,250.000,100.000,425.000,325.000,475.000,175.000,500.000,1,1,1,1,1,1,1,0,0,2,0,0,0,1,1,1,1
5,8296.889,-7518.674,84.974,16.011,0.959231,-0.273300,-0.071988,0.259337,0.952413,-0.160169,0.112336,0.134970,0.984461,0,0.48000,0.72000,28.800,1.440,175.000,250.000,600.000,375.000,475.000,250.000,300.000,600.000,225.000,-1,250.000,100.000,375.000,300.000,450.000,175.000,475.000,1,1,1,1,1,1,1,0,0,2,0,0,0,1,1,1,1
6,8328.890,-7508.438,88.543,17.691,0.950901,-0.300624,-0.073569,0.284373,0.942485,-0.175656,0.122143,0.146110,0.981699,0,0.56000,0.84000,33.600,1.680,175.000,225.000,575.000,350.000,425.000,225.000,300.000,650.000,225.000,-1,225.000,75.000,325.000,300.000,425.000,175.000,425.000,1,1,1,1,1,1,1,0,0,2,0,0,0,1,1,1,1
7,4263.552,6231.360,-73.509,156.752,-0.915838,-0.394703,0.073821,0.392815,-0.918783,-0.039168,0.083285,-0.006873,0.996502,1,0.00000,0.00000,38.400,1.920,-1,425.000,-1,425.000,-1,325.000,325.000,325.000,325.000,-1,-1,-1,-1,-1,-1,-1,-1,2,0,2,0,2,0,0,0,0,2,2,2,2,2,2,2,2
8,4259.134,6233.236,-73.146,156.992,-0.917508,-0.390850,0.073593,0.388969,-0.920427,-0.038963,0.082965,-0.007123,0.996527,0,0.08000,0.12000,4.800,0.240,-1,425.000,-1,425.000,-1,325.000,325.000,325.000,325.000,-1,-1,-1,-1,-1,-1,-1,-1,2,0,2,0,2,0,0,0,0,2,2,2,2,2,2,2,2
9,4250.266,6236.915,-72.416,157.472,-0.920798,-0.383124,0.073119,0.381255,-0.923665,-0.038566,0.082313,-0.007634,0.996577,0,0.16000,0.24000,9.600,0.480,-1,425.000,-1,400.000,-1,325.000,325.000,325.000,325.000,-1,-1,-1,-1,-1,-1,-1,-1,2,0,2,0,2,0,0,0,0,2,2,2,2,2,2,2,2
10,4236.897,6242.264,-71.317,158.192,-0.925614,-0.371485,0.072369,0.369632,-0.928401,-0.038003,0.081305,-0.008426,0.996654,0,0.24000,0.36000,14.400,0.720,-1,425.000,-1,400.000,-1,325.000,325.000,325.000,325.000,-1,-1,-1,-1,-1,-1,-1,-1,2,0,2,0,2,0,0,0,0,2,2,2,2,2,2,2,2
