sensor_idx,sensor_label,total_readings,zero_count,neg1_count,positive_count,zero_pct,neg1_pct
0,front_left_wheel_hub_yaw_p30,9652,7779,1749,124,80.59469539991711,18.120596767509326
1,front_left_frame_yaw_p20_pitch_n20,9652,0,1039,8613,0.0,10.764608371322005
2,front_center_frame_forward,9652,0,6657,2995,0.0,68.97016162453377
3,front_right_frame_yaw_n20_pitch_n20,9652,0,1124,8528,0.0,11.645254869457107
4,front_right_wheel_hub_yaw_n30,9652,0,3265,6387,0.0,33.827186075424784
5,front_left_frame_pitch_n25,9652,0,513,9139,0.0,5.31496062992126
6,front_right_frame_pitch_n25,9652,0,507,9145,0.0,5.252797347699959
7,left_mid_frame_left_pitch_n20,9652,0,52,9600,0.0,0.5387484459179445
8,right_mid_frame_right_pitch_n20,9652,0,71,9581,0.0,0.7355988396187318
9,rear_left_wheel_hub_back_yaw_p40,9652,0,615,9037,0.0,6.371736427683381
10,rear_left_frame_backward,9652,0,315,9337,0.0,3.2635723166183173
11,rear_right_frame_backward,9652,0,368,9284,0.0,3.8126813095731453
12,rear_right_wheel_hub_back_yaw_n40,9652,0,2628,7024,0.0,27.22751761292996
13,front_left_frame_yaw_p20_pitch_n10,9652,0,5505,4147,0.0,57.03481143804393
14,front_right_frame_yaw_n20_pitch_n10,9652,0,5306,4346,0.0,54.973062577704106
15,front_left_wheel_hub_yaw_p15,9652,0,6069,3583,0.0,62.87815996684625
16,front_right_wheel_hub_yaw_n15,9652,0,3134,6518,0.0,32.46995441359304
