step_idx	elapsed_s	sensor_idx	sensor_label	sensor_enabled	raw_cm	raw_is_zero	valid_range_gt0	valid_range_ge0	mask_hit	pitch_scale	planar_hit_cm	hit_world_z_cm	low_clearance_hit	chunk_name	chunk_hit_count	chunk_threshold_met	hit_dist_from_rover_cm	within_local_radius	usable_for_mark	placed	usable_reason	map_origin	sensor_local_x_cm	sensor_local_y_cm	sensor_yaw_deg	sensor_pitch_deg	sensor_world_x_cm	sensor_world_y_cm	sensor_cell_x	sensor_cell_y	hit_world_x_cm	hit_world_y_cm	hit_cell_x	hit_cell_y	center_hit_world_x_cm	center_hit_world_y_cm	center_hit_cell_x	center_hit_cell_y
0	0.002	0	front_left_wheel_hub_yaw_p30	1	-1.000	0	0	0	0	1.000	nan	nan	0	front	0	0	nan	0	0	0	invalid_range	center	250.000	245.000	30.000	0.000	-23.280	1491.755	108	99	nan	nan	-1	-1	nan	nan	-1	-1
0	0.002	1	front_left_frame_yaw_p20_pitch_n20	0	523.140	0	1	1	0	0.940	491.591	-148.926	1	front	0	0	nan	0	0	0	sensor_disabled	center	325.000	75.000	20.000	-20.000	-192.752	1415.571	105	97	nan	nan	-1	-1	-98.665	1279.280	107	94
0	0.002	2	front_center_frame_forward	1	-1.000	0	0	0	0	1.000	nan	nan	0	front	0	0	nan	0	0	0	invalid_range	center	325.000	0.000	0.000	0.000	-267.751	1415.047	104	97	nan	nan	-1	-1	nan	nan	-1	-1
0	0.002	3	front_right_frame_yaw_n20_pitch_n20	0	527.870	0	1	1	0	0.940	496.036	-150.543	1	front	0	0	nan	0	0	0	sensor_disabled	center	325.000	-75.000	-20.000	-20.000	-342.749	1414.523	102	97	nan	nan	-1	-1	-436.415	1272.745	100	94
0	0.002	4	front_right_wheel_hub_yaw_n30	1	736.560	0	1	1	0	1.000	736.560	29.999	0	front	0	0	nan	0	0	0	masked_non_contact	center	250.000	-245.000	-30.000	0.000	-513.268	1488.335	99	98	nan	nan	-1	-1	-633.837	1099.604	96	91
0	0.002	5	front_left_frame_pitch_n25	0	420.480	0	1	1	0	0.906	381.084	-147.704	1	front	0	0	nan	0	0	0	sensor_disabled	center	325.000	75.000	0.000	-25.000	-192.752	1415.571	105	97	nan	nan	-1	-1	-267.359	1358.964	104	96
0	0.002	6	front_right_frame_pitch_n25	0	423.720	0	1	1	0	0.906	384.021	-149.073	1	front	0	0	nan	0	0	0	sensor_disabled	center	325.000	-75.000	0.000	-25.000	-342.749	1414.523	102	97	nan	nan	-1	-1	-267.339	1356.028	104	96
0	0.002	7	left_mid_frame_left_pitch_n20	0	405.280	0	1	1	0	0.940	380.839	-108.615	1	left	0	0	nan	0	0	0	sensor_disabled	center	40.000	235.000	90.000	-20.000	-34.746	1701.681	108	103	nan	nan	-1	-1	110.810	1742.698	111	104
0	0.002	8	right_mid_frame_right_pitch_n20	0	390.460	0	1	1	0	0.940	366.912	-103.546	1	right	0	0	nan	0	0	0	sensor_disabled	center	40.000	-235.000	-90.000	-20.000	-504.735	1698.399	99	103	nan	nan	-1	-1	-636.923	1737.478	96	103
0	0.002	9	rear_left_wheel_hub_back_yaw_p40	1	652.280	0	1	1	0	1.000	652.280	29.999	0	rear	0	0	nan	0	0	0	masked_non_contact	center	-215.000	270.000	140.000	0.000	-1.527	1956.919	109	108	nan	nan	-1	-1	145.759	2242.629	112	114
0	0.002	10	rear_left_frame_backward	1	322.870	0	1	1	0	1.000	322.870	29.999	0	rear	0	0	nan	0	0	0	masked_non_contact	center	-320.000	80.000	180.000	0.000	-192.255	2060.590	105	110	nan	nan	-1	-1	-272.274	2062.901	103	110
