step_idx	elapsed_s	attempted	raw_path_points	follow_path_points	status
0	0.002	0	0	0	Running
1	0.659	0	0	0	Running
2	1.111	0	0	0	Running
3	1.491	0	0	0	Running
4	1.803	0	0	0	Running
5	2.102	0	0	0	Running
6	2.467	0	0	0	Running
7	2.819	0	0	0	Running
8	3.164	0	0	0	Running
9	3.439	0	0	0	Running
10	3.729	0	0	0	Running
11	4.021	0	0	0	Running
12	4.323	0	0	0	Running
13	4.683	1	82	640	Replanned (640 pts)
14	5.062	0	0	0	Running
15	5.376	0	0	0	Running
16	5.673	0	0	0	Running
17	5.998	0	0	0	Running
18	6.278	0	0	0	Running
19	6.567	0	0	0	Running
20	6.866	0	0	0	Running
21	7.151	0	0	0	Running
22	7.437	0	0	0	Running
23	7.719	0	0	0	Running
24	8.003	0	0	0	Running
25	8.281	0	0	0	Running
26	8.631	0	0	0	Running
27	8.958	0	0	0	Running
28	9.324	0	0	0	Running
29	9.669	0	0	0	Running
30	9.982	1	82	634	Replanned (634 pts)
31	10.275	0	0	0	Running
32	10.559	0	0	0	Running
33	10.884	0	0	0	Running
34	11.236	0	0	0	Running
35	11.606	0	0	0	Running
36	11.934	0	0	0	Running
37	12.285	0	0	0	Running
38	12.642	0	0	0	Running
39	12.976	0	0	0	Running
40	13.274	0	0	0	Running
41	13.586	0	0	0	Running
42	13.916	0	0	0	Running
43	14.225	0	0	0	Running
44	14.589	0	0	0	Running
45	14.943	0	0	0	Running
46	15.356	0	0	0	Running
47	15.733	0	0	0	Running
48	16.063	0	0	0	Running
49	16.426	0	0	0	Running
50	16.777	0	0	0	Running
51	17.082	0	0	0	Running
52	17.420	0	0	0	Running
53	17.779	0	0	0	Running
54	18.108	0	0	0	Running
55	18.420	0	0	0	Running
56	18.716	0	0	0	Running
57	19.043	1	73	559	Replanned (559 pts)
58	19.358	0	0	0	Running
59	19.677	1	72	551	Replanned (551 pts)
60	20.007	0	0	0	Running
61	20.373	0	0	0	Running
62	20.725	1	72	551	Replanned (551 pts)
63	21.061	0	0	0	Running
64	21.387	0	0	0	Running
65	21.721	0	0	0	Running
66	22.016	0	0	0	Running
67	22.303	1	82	567	Replanned (567 pts)
68	22.678	0	0	0	Obstacle hits: +1
69	23.041	0	0	0	Running
70	23.547	0	0	0	Running
71	23.859	0	0	0	Running
72	24.160	0	0	0	Running
73	24.476	1	83	567	Replanned (567 pts)
74	24.813	0	0	0	Running
75	25.145	0	0	0	Running
76	25.455	0	0	0	Running
77	25.791	0	0	0	Running
78	26.143	0	0	0	Running
79	26.462	0	0	0	Running
80	26.770	0	0	0	Running
81	27.122	0	0	0	Running
82	27.452	1	82	561	Replanned (561 pts)
83	27.820	0	0	0	Running
84	28.174	0	0	0	Running
85	28.475	0	0	0	Running
86	28.791	0	0	0	Running
87	29.104	0	0	0	Running
88	29.534	0	0	0	Running
89	29.889	0	0	0	Running
90	30.241	0	0	0	Running
91	30.601	0	0	0	Running
