step_idx	elapsed_s	status	rover_x_cm	rover_y_cm	rover_z_cm	rover_heading_deg	goal_dist_cm	next_waypoint_dist_cm	next_waypoint_avg_cm	target_x_cm	target_y_cm	waypoint_idx	path_len	throttle_cmd	steering_cmd	telemetry_throttle	telemetry_steering	telemetry_speed	telemetry_brakes	telemetry_distance_traveled	new_obstacles	obstacle_total	rover_cell_x	rover_cell_y	target_cell_x	target_cell_y	viewer_scale_x	viewer_scale_y	closest_usable_lidar_cm	closest_raw_positive_lidar_cm	zero_lidar_sensor_count	usable_lidar_sensor_count
0	0.002	Running	-270.020	1740.039	29.999	-89.600	5656.854	429.289	429.289	-573.573	1436.486	57	649	50	-1.000	0.000	0.000	0.000	0	0.800	0	0	104	104	97	97	6.450	6.605	nan	318.750	0	0
1	0.659	Running	-270.020	1740.039	29.999	-89.600	5656.854	429.289	429.289	-573.573	1436.486	57	649	50	-1.000	50.000	1.000	0.000	0	0.800	0	0	104	104	97	97	6.450	6.605	nan	318.750	0	0
2	1.111	Running	-270.020	1740.039	29.999	-89.600	5656.854	429.289	429.289	-573.573	1436.486	57	649	50	-1.000	50.000	1.000	0.000	0	0.800	0	0	104	104	97	97	6.450	6.605	nan	318.750	0	0
3	1.491	Running	-270.020	1740.039	29.999	-89.600	5656.854	429.289	429.289	-573.573	1436.486	57	649	50	-1.000	50.000	1.000	0.200	0	0.800	0	0	104	104	97	97	6.450	6.605	nan	312.450	0	0
4	1.803	Running	-270.020	1740.039	29.999	-89.600	5656.854	429.289	429.289	-573.573	1436.486	57	649	50	-1.000	50.000	1.000	0.200	0	0.800	0	0	104	104	97	97	6.450	6.605	nan	312.450	0	0
5	2.102	Running	-270.020	1740.039	29.999	-89.600	5656.854	429.289	429.289	-573.573	1436.486	57	649	50	-1.000	50.000	1.000	0.200	0	0.800	0	0	104	104	97	97	6.450	6.605	nan	312.450	0	0
6	2.467	Running	-270.020	1740.039	29.999	-89.600	5656.854	429.289	429.289	-573.573	1436.486	57	649	50	-1.000	50.000	1.000	0.200	0	0.800	0	0	104	104	97	97	6.450	6.605	nan	312.450	0	0
7	2.819	Running	-280.029	1720.020	29.999	-90.700	5635.625	492.973	437.250	-633.583	1376.476	58	640	50	-1.000	50.000	1.000	1.600	1	1.000	0	0	103	103	96	96	6.450	6.605	0.000	241.570	1	1
8	3.164	Running	-280.029	1720.020	29.999	-90.700	5635.625	492.973	443.441	-633.583	1376.476	58	640	50	-1.000	50.000	1.000	1.600	1	1.000	0	0	103	103	96	96	6.450	6.605	0.000	241.570	1	1
9	3.439	Running	-280.029	1720.020	29.999	-90.700	5635.625	492.973	448.394	-633.583	1376.476	58	640	50	-1.000	50.000	1.000	1.600	1	1.000	0	0	103	103	96	96	6.450	6.605	0.000	241.570	1	1
10	3.729	Running	-280.029	1700.000	29.999	-93.300	5621.504	479.237	451.198	-633.583	1376.476	56	638	50	-1.000	50.000	1.000	2.000	0	1.200	0	0	103	103	96	96	6.450	6.605	0.000	278.840	1	1
11	4.021	Running	-280.029	1700.000	29.999	-93.300	5621.504	479.237	453.535	-633.583	1376.476	56	638	50	-1.000	50.000	1.000	2.000	0	1.200	0	0	103	103	96	96	6.450	6.605	0.000	278.840	1	1
12	4.323	Running	-280.029	1700.000	29.999	-93.300	5621.504	479.237	455.512	-633.583	1376.476	56	638	50	-1.000	50.000	1.000	2.000	0	1.200	0	0	103	103	96	96	6.450	6.605	0.000	278.840	1	1
13	4.683	Replanned (640 pts)	-280.029	1700.000	29.999	-94.000	5621.504	479.202	457.204	-633.558	1376.500	58	640	50	-1.000	50.000	1.000	0.400	0	1.200	1	1	103	103	96	96	6.450	6.605	0.000	357.070	1	2
14	5.062	Running	-280.029	1700.000	29.999	-94.000	5621.504	479.202	458.671	-633.558	1376.500	58	640	50	-1.000	50.000	1.000	0.400	0	1.200	0	1	103	103	96	96	6.450	6.605	0.000	357.070	1	2
15	5.376	Running	-280.029	1700.000	29.999	-94.000	5621.504	479.202	459.954	-633.558	1376.500	58	640	50	-1.000	50.000	1.000	0.400	0	1.200	0	1	103	103	96	96	6.450	6.605	0.000	357.070	1	2
16	5.673	Running	-289.990	1690.039	29.999	-95.100	5607.418	451.058	459.430	-623.597	1386.461	57	641	50	-1.000	50.000	1.000	1.200	1	1.300	0	1	103	103	96	96	6.450	6.605	0.000	305.480	1	1
17	5.998	Running	-289.990	1690.039	29.999	-95.100	5607.418	451.058	458.965	-623.597	1386.461	57	641	50	-1.000	50.000	1.000	1.200	1	1.300	0	1	103	103	96	96	6.450	6.605	0.000	305.480	1	1
18	6.278	Running	-289.990	1690.039	29.999	-95.100	5607.418	451.058	458.549	-623.597	1386.461	57	641	50	-1.000	50.000	1.000	1.200	1	1.300	0	1	103	103	96	96	6.450	6.605	0.000	305.480	1	1
19	6.567	Running	-289.990	1690.039	29.999	-95.100	5607.418	451.058	458.175	-623.597	1386.461	57	641	50	-1.000	50.000	1.000	1.200	1	1.300	0	1	103	103	96	96	6.450	6.605	0.000	305.480	1	1
20	6.866	Running	-300.000	1670.020	29.999	-97.000	5586.215	472.537	458.859	-653.553	1356.505	55	634	50	-1.000	50.000	1.000	2.100	0	1.500	0	1	103	102	96	96	6.450	6.605	0.000	195.140	1	1
21	7.151	Running	-300.000	1670.020	29.999	-97.000	5586.215	472.537	459.480	-653.553	1356.505	55	634	50	-1.000	50.000	1.000	2.100	0	1.500	0	1	103	102	96	96	6.450	6.605	0.000	195.140	1	1
22	7.437	Running	-300.000	1670.020	29.999	-97.000	5586.215	472.537	460.048	-653.553	1356.505	55	634	50	-1.000	50.000	1.000	2.100	0	1.500	0	1	103	102	96	96	6.450	6.605	0.000	195.140	1	1
23	7.719	Running	-300.000	1660.058	29.999	-97.900	5579.212	465.988	460.295	-653.553	1356.505	55	634	50	-1.000	50.000	1.000	0.500	0	1.600	0	1	103	102	96	96	6.450	6.605	0.000	353.310	1	1
24	8.003	Running	-300.000	1660.058	29.999	-97.900	5579.212	465.988	460.523	-653.553	1356.505	55	634	50	-1.000	50.000	1.000	0.500	0	1.600	0	1	103	102	96	96	6.450	6.605	0.000	353.310	1	1
25	8.281	Running	-300.000	1660.058	29.999	-97.900	5579.212	465.988	460.733	-653.553	1356.505	55	634	50	-1.000	50.000	1.000	0.500	0	1.600	0	1	103	102	96	96	6.450	6.605	0.000	353.310	1	1
26	8.631	Running	-300.000	1650.000	29.999	-99.400	5572.149	459.499	460.688	-653.553	1356.505	54	633	50	-1.000	50.000	1.000	1.500	0	1.800	0	1	103	102	96	96	6.450	6.605	0.000	260.350	1	1
27	8.958	Running	-300.000	1650.000	29.999	-99.400	5572.149	459.499	460.645	-653.553	1356.505	54	633	50	-1.000	50.000	1.000	1.500	1	1.800	0	1	103	102	96	96	6.450	6.605	0.000	260.350	1	1
28	9.324	Running	-300.000	1650.000	29.999	-99.400	5572.149	459.499	460.606	-653.553	1356.505	54	633	50	-1.000	50.000	1.000	1.500	1	1.800	0	1	103	102	96	96	6.450	6.605	0.000	260.350	1	1
29	9.669	Running	-310.010	1629.980	29.999	-101.300	5550.975	453.171	460.358	-663.563	1346.495	52	630	50	-1.000	50.000	1.000	2.400	0	2.000	0	1	103	101	96	96	6.450	6.605	0.000	181.790	1	1
30	9.982	Replanned (634 pts)	-310.010	1629.980	29.999	-101.300	5550.975	479.268	460.968	-633.607	1276.451	58	634	50	-0.891	50.000	1.000	2.400	0	2.000	1	2	103	101	96	94	6.450	6.605	0.000	181.790	1	2
31	10.275	Running	-310.010	1629.980	29.999	-101.300	5550.975	479.268	461.540	-633.607	1276.451	58	634	50	-0.891	50.000	0.891	2.400	0	2.000	0	2	103	101	96	94	6.450	6.605	0.000	181.790	1	2
32	10.559	Running	-330.029	1600.000	39.996	-105.200	5515.689	486.084	462.283	-663.612	1246.447	56	628	50	-0.804	50.000	0.891	3.800	0	2.300	0	2	102	101	96	94	6.450	6.605	0.000	258.650	1	1
33	10.884	Running	-330.029	1600.000	39.996	-105.200	5515.689	486.084	462.983	-663.612	1246.447	56	628	50	-0.804	50.000	0.804	3.800	0	2.300	0	2	102	101	96	94	6.450	6.605	0.000	258.650	1	1
34	11.236	Running	-330.029	1600.000	39.996	-105.200	5515.689	486.084	463.643	-663.612	1246.447	56	628	50	-0.804	50.000	0.804	3.800	0	2.300	0	2	102	101	96	94	6.450	6.605	0.000	258.650	1	1
35	11.606	Running	-350.000	1570.020	39.996	-109.400	5480.447	493.007	464.459	-693.592	1216.466	57	624	50	-0.708	50.000	0.804	5.500	0	2.700	0	2	102	100	95	93	6.450	6.605	0.000	242.790	1	1
