step_idx	elapsed_s	sensor_idx	sensor_label	raw_cm	mask_hit	sensor_world_x_cm	sensor_world_y_cm	sensor_cell_x	sensor_cell_y	rover_x_cm	rover_y_cm	rover_heading_deg
7	2.819	0	front_left_wheel_hub_yaw_p30	0.000	0	-38.102	1467.045	108	98	-280.029	1720.020	-90.700
8	3.164	0	front_left_wheel_hub_yaw_p30	0.000	0	-38.102	1467.045	108	98	-280.029	1720.020	-90.700
9	3.439	0	front_left_wheel_hub_yaw_p30	0.000	0	-38.102	1467.045	108	98	-280.029	1720.020	-90.700
10	3.729	0	front_left_wheel_hub_yaw_p30	0.000	0	-49.827	1436.311	108	97	-280.029	1700.000	-93.300
11	4.021	0	front_left_wheel_hub_yaw_p30	0.000	0	-49.827	1436.311	108	97	-280.029	1700.000	-93.300
12	4.323	0	front_left_wheel_hub_yaw_p30	0.000	0	-49.827	1436.311	108	97	-280.029	1700.000	-93.300
13	4.683	0	front_left_wheel_hub_yaw_p30	0.000	0	-53.065	1433.519	108	97	-280.029	1700.000	-94.000
14	5.062	0	front_left_wheel_hub_yaw_p30	0.000	0	-53.065	1433.519	108	97	-280.029	1700.000	-94.000
15	5.376	0	front_left_wheel_hub_yaw_p30	0.000	0	-53.065	1433.519	108	97	-280.029	1700.000	-94.000
16	5.673	0	front_left_wheel_hub_yaw_p30	0.000	0	-68.184	1419.250	108	97	-289.990	1690.039	-95.100
17	5.998	0	front_left_wheel_hub_yaw_p30	0.000	0	-68.184	1419.250	108	97	-289.990	1690.039	-95.100
18	6.278	0	front_left_wheel_hub_yaw_p30	0.000	0	-68.184	1419.250	108	97	-289.990	1690.039	-95.100
19	6.567	0	front_left_wheel_hub_yaw_p30	0.000	0	-68.184	1419.250	108	97	-289.990	1690.039	-95.100
20	6.866	0	front_left_wheel_hub_yaw_p30	0.000	0	-87.294	1392.025	107	97	-300.000	1670.020	-97.000
21	7.151	0	front_left_wheel_hub_yaw_p30	0.000	0	-87.294	1392.025	107	97	-300.000	1670.020	-97.000
22	7.437	0	front_left_wheel_hub_yaw_p30	0.000	0	-87.294	1392.025	107	97	-300.000	1670.020	-97.000
23	7.719	0	front_left_wheel_hub_yaw_p30	0.000	0	-91.686	1378.757	107	96	-300.000	1660.058	-97.900
24	8.003	0	front_left_wheel_hub_yaw_p30	0.000	0	-91.686	1378.757	107	96	-300.000	1660.058	-97.900
25	8.281	0	front_left_wheel_hub_yaw_p30	0.000	0	-91.686	1378.757	107	96	-300.000	1660.058	-97.900
26	8.631	0	front_left_wheel_hub_yaw_p30	0.000	0	-99.121	1363.342	107	96	-300.000	1650.000	-99.400
27	8.958	0	front_left_wheel_hub_yaw_p30	0.000	0	-99.121	1363.342	107	96	-300.000	1650.000	-99.400
28	9.324	0	front_left_wheel_hub_yaw_p30	0.000	0	-99.121	1363.342	107	96	-300.000	1650.000	-99.400
29	9.669	0	front_left_wheel_hub_yaw_p30	0.000	0	-118.746	1336.820	107	95	-310.010	1629.980	-101.300
30	9.982	0	front_left_wheel_hub_yaw_p30	0.000	0	-118.746	1336.820	107	95	-310.010	1629.980	-101.300
31	10.275	0	front_left_wheel_hub_yaw_p30	0.000	0	-118.746	1336.820	107	95	-310.010	1629.980	-101.300
32	10.559	0	front_left_wheel_hub_yaw_p30	0.000	0	-159.148	1294.509	106	95	-330.029	1600.000	-105.200
33	10.884	0	front_left_wheel_hub_yaw_p30	0.000	0	-159.148	1294.509	106	95	-330.029	1600.000	-105.200
34	11.236	0	front_left_wheel_hub_yaw_p30	0.000	0	-159.148	1294.509	106	95	-330.029	1600.000	-105.200
35	11.606	0	front_left_wheel_hub_yaw_p30	0.000	0	-201.951	1252.834	105	94	-350.000	1570.020	-109.400
36	11.934	0	front_left_wheel_hub_yaw_p30	0.000	0	-201.951	1252.834	105	94	-350.000	1570.020	-109.400
37	12.285	0	front_left_wheel_hub_yaw_p30	0.000	0	-201.951	1252.834	105	94	-350.000	1570.020	-109.400
38	12.642	0	front_left_wheel_hub_yaw_p30	0.000	0	-257.323	1192.196	104	93	-380.029	1520.020	-113.900
39	12.976	0	front_left_wheel_hub_yaw_p30	0.000	0	-257.323	1192.196	104	93	-380.029	1520.020	-113.900
40	13.274	0	front_left_wheel_hub_yaw_p30	0.000	0	-257.323	1192.196	104	93	-380.029	1520.020	-113.900
41	13.586	0	front_left_wheel_hub_yaw_p30	0.000	0	-308.714	1134.961	103	91	-410.010	1470.020	-117.600
42	13.916	0	front_left_wheel_hub_yaw_p30	0.000	0	-308.714	1134.961	103	91	-410.010	1470.020	-117.600
43	14.225	0	front_left_wheel_hub_yaw_p30	0.000	0	-308.714	1134.961	103	91	-410.010	1470.020	-117.600
44	14.589	0	front_left_wheel_hub_yaw_p30	0.000	0	-392.939	1048.596	101	90	-470.020	1390.039	-121.700
45	14.943	0	front_left_wheel_hub_yaw_p30	0.000	0	-392.939	1048.596	101	90	-470.020	1390.039	-121.700
46	15.356	0	front_left_wheel_hub_yaw_p30	0.000	0	-392.939	1048.596	101	90	-470.020	1390.039	-121.700
47	15.733	0	front_left_wheel_hub_yaw_p30	0.000	0	-490.541	943.514	99	88	-539.990	1290.039	-126.300
48	16.063	0	front_left_wheel_hub_yaw_p30	0.000	0	-490.541	943.514	99	88	-539.990	1290.039	-126.300
49	16.426	0	front_left_wheel_hub_yaw_p30	0.000	0	-490.541	943.514	99	88	-539.990	1290.039	-126.300
50	16.777	0	front_left_wheel_hub_yaw_p30	0.000	0	-567.538	881.453	98	86	-600.000	1229.980	-129.100
51	17.082	0	front_left_wheel_hub_yaw_p30	0.000	0	-567.538	881.453	98	86	-600.000	1229.980	-129.100
52	17.420	0	front_left_wheel_hub_yaw_p30	0.000	0	-567.538	881.453	98	86	-600.000	1229.980	-129.100
53	17.779	0	front_left_wheel_hub_yaw_p30	0.000	0	-652.791	800.388	96	85	-670.020	1150.000	-131.600
54	18.108	0	front_left_wheel_hub_yaw_p30	0.000	0	-652.791	800.388	96	85	-670.020	1150.000	-131.600
55	18.420	0	front_left_wheel_hub_yaw_p30	0.000	1	-652.791	800.388	96	85	-670.020	1150.000	-131.600
56	18.716	0	front_left_wheel_hub_yaw_p30	0.000	1	-722.569	740.083	94	84	-730.029	1090.039	-133.200
57	19.043	0	front_left_wheel_hub_yaw_p30	0.000	1	-722.569	740.083	94	84	-730.029	1090.039	-133.200
58	19.358	0	front_left_wheel_hub_yaw_p30	0.000	1	-722.569	740.083	94	84	-730.029	1090.039	-133.200
59	19.677	0	front_left_wheel_hub_yaw_p30	0.000	1	-779.288	690.004	93	82	-780.029	1040.039	-134.300
60	20.007	0	front_left_wheel_hub_yaw_p30	0.000	1	-779.288	690.004	93	82	-780.029	1040.039	-134.300
61	20.373	0	front_left_wheel_hub_yaw_p30	0.000	1	-779.288	690.004	93	82	-780.029	1040.039	-134.300
62	20.725	0	front_left_wheel_hub_yaw_p30	0.000	1	-784.517	701.769	93	83	-820.020	1050.000	-128.600
63	21.061	0	front_left_wheel_hub_yaw_p30	0.000	1	-784.517	701.769	93	83	-820.020	1050.000	-128.600
64	21.387	0	front_left_wheel_hub_yaw_p30	0.000	1	-784.517	701.769	93	83	-820.020	1050.000	-128.600
65	21.721	0	front_left_wheel_hub_yaw_p30	0.000	1	-768.754	709.524	94	83	-850.000	1050.000	-121.000
66	22.016	0	front_left_wheel_hub_yaw_p30	0.000	1	-768.754	709.524	94	83	-850.000	1050.000	-121.000
67	22.303	0	front_left_wheel_hub_yaw_p30	0.000	1	-768.754	709.524	94	83	-850.000	1050.000	-121.000
68	22.678	0	front_left_wheel_hub_yaw_p30	0.000	1	-774.017	720.750	93	83	-860.010	1060.058	-120.200
69	23.041	0	front_left_wheel_hub_yaw_p30	0.000	1	-774.017	720.750	93	83	-860.010	1060.058	-120.200
70	23.547	0	front_left_wheel_hub_yaw_p30	0.000	1	-794.037	690.672	93	83	-880.029	1029.980	-120.200
71	23.859	0	front_left_wheel_hub_yaw_p30	0.000	1	-794.037	690.672	93	83	-880.029	1029.980	-120.200
72	24.160	0	front_left_wheel_hub_yaw_p30	0.000	1	-794.037	690.672	93	83	-880.029	1029.980	-120.200
73	24.476	0	front_left_wheel_hub_yaw_p30	0.000	1	-785.184	703.098	93	83	-880.029	1040.039	-118.700
74	24.813	0	front_left_wheel_hub_yaw_p30	0.000	1	-785.184	703.098	93	83	-880.029	1040.039	-118.700
75	25.145	0	front_left_wheel_hub_yaw_p30	0.000	1	-785.184	703.098	93	83	-880.029	1040.039	-118.700
76	25.455	0	front_left_wheel_hub_yaw_p30	0.000	1	-784.596	703.264	93	83	-880.029	1040.039	-118.600
77	25.791	0	front_left_wheel_hub_yaw_p30	0.000	1	-784.596	703.264	93	83	-880.029	1040.039	-118.600
78	26.143	0	front_left_wheel_hub_yaw_p30	0.000	1	-784.596	703.264	93	83	-880.029	1040.039	-118.600
79	26.462	0	front_left_wheel_hub_yaw_p30	0.000	1	-792.209	693.880	93	83	-889.990	1029.980	-118.200
80	26.770	0	front_left_wheel_hub_yaw_p30	0.000	1	-792.209	693.880	93	83	-889.990	1029.980	-118.200
81	27.122	0	front_left_wheel_hub_yaw_p30	0.000	1	-792.209	693.880	93	83	-889.990	1029.980	-118.200
82	27.452	0	front_left_wheel_hub_yaw_p30	0.000	1	-788.694	694.922	93	83	-889.990	1029.980	-117.600
83	27.820	0	front_left_wheel_hub_yaw_p30	0.000	1	-788.694	694.922	93	83	-889.990	1029.980	-117.600
84	28.174	0	front_left_wheel_hub_yaw_p30	0.000	1	-788.694	694.922	93	83	-889.990	1029.980	-117.600
85	28.475	0	front_left_wheel_hub_yaw_p30	0.000	1	-788.110	695.099	93	83	-889.990	1029.980	-117.500
86	28.791	0	front_left_wheel_hub_yaw_p30	0.000	1	-788.110	695.099	93	83	-889.990	1029.980	-117.500
87	29.104	0	front_left_wheel_hub_yaw_p30	0.000	1	-788.110	695.099	93	83	-889.990	1029.980	-117.500
88	29.534	0	front_left_wheel_hub_yaw_p30	0.000	1	-786.941	705.516	93	83	-889.990	1040.039	-117.300
89	29.889	0	front_left_wheel_hub_yaw_p30	0.000	1	-786.941	705.516	93	83	-889.990	1040.039	-117.300
90	30.241	0	front_left_wheel_hub_yaw_p30	0.000	1	-786.941	705.516	93	83	-889.990	1040.039	-117.300
91	30.601	0	front_left_wheel_hub_yaw_p30	0.000	1	-785.191	696.001	93	83	-889.990	1029.980	-117.000
