step_idx	elapsed_s	stuck_x_cm	stuck_y_cm	stuck_z_cm	hist_x_cm	hist_y_cm	hist_z_cm	hist_heading_deg	dist_from_stuck_cm	contact_side	contact_min_lidar_cm	bumper_sample_idx	bumper_lateral_offset_cm	obstacle_x_cm	obstacle_y_cm	obstacle_cell_x	obstacle_cell_y	placed
166	38.627	79.980	590.039	79.999	60.010	629.980	79.999	-143.700	44.656	front	0.000	0	-160.000	-205.972	633.126	92	93	1
166	38.627	79.980	590.039	79.999	60.010	629.980	79.999	-143.700	44.656	front	0.000	1	-106.667	-174.398	590.143	92	92	1
166	38.627	79.980	590.039	79.999	60.010	629.980	79.999	-143.700	44.656	front	0.000	2	-53.333	-142.824	547.160	93	91	1
166	38.627	79.980	590.039	79.999	60.010	629.980	79.999	-143.700	44.656	front	0.000	3	0.000	-111.250	504.178	94	90	1
166	38.627	79.980	590.039	79.999	60.010	629.980	79.999	-143.700	44.656	front	0.000	4	53.333	-79.676	461.195	94	89	1
166	38.627	79.980	590.039	79.999	60.010	629.980	79.999	-143.700	44.656	front	0.000	5	106.667	-48.102	418.212	95	88	1
166	38.627	79.980	590.039	79.999	60.010	629.980	79.999	-143.700	44.656	front	0.000	6	160.000	-16.528	375.229	96	88	1
166	38.627	79.980	590.039	79.999	60.010	629.980	79.999	-143.700	44.656	front	0.000	0	-160.000	-205.972	633.126	92	93	0
166	38.627	79.980	590.039	79.999	60.010	629.980	79.999	-143.700	44.656	front	0.000	1	-106.667	-174.398	590.143	92	92	0
166	38.627	79.980	590.039	79.999	60.010	629.980	79.999	-143.700	44.656	front	0.000	2	-53.333	-142.824	547.160	93	91	0
166	38.627	79.980	590.039	79.999	60.010	629.980	79.999	-143.700	44.656	front	0.000	3	0.000	-111.250	504.178	94	90	0
166	38.627	79.980	590.039	79.999	60.010	629.980	79.999	-143.700	44.656	front	0.000	4	53.333	-79.676	461.195	94	89	0
166	38.627	79.980	590.039	79.999	60.010	629.980	79.999	-143.700	44.656	front	0.000	5	106.667	-48.102	418.212	95	88	0
166	38.627	79.980	590.039	79.999	60.010	629.980	79.999	-143.700	44.656	front	0.000	6	160.000	-16.528	375.229	96	88	0
166	38.627	79.980	590.039	79.999	60.010	629.980	79.999	-143.700	44.656	front	0.000	0	-160.000	-205.972	633.126	92	93	0
166	38.627	79.980	590.039	79.999	60.010	629.980	79.999	-143.700	44.656	front	0.000	1	-106.667	-174.398	590.143	92	92	0
166	38.627	79.980	590.039	79.999	60.010	629.980	79.999	-143.700	44.656	front	0.000	2	-53.333	-142.824	547.160	93	91	0
166	38.627	79.980	590.039	79.999	60.010	629.980	79.999	-143.700	44.656	front	0.000	3	0.000	-111.250	504.178	94	90	0
166	38.627	79.980	590.039	79.999	60.010	629.980	79.999	-143.700	44.656	front	0.000	4	53.333	-79.676	461.195	94	89	0
