step_idx	elapsed_s	status	reverse_active	obstacle_added	stuck_detection_armed	raw_rover_x	raw_rover_y	raw_rover_z	raw_heading_deg	rover_x_cm	rover_y_cm	rover_z_cm	rover_heading_deg	raw_pose_delta	pose_delta_cm	telemetry_speed	telemetry_distance_traveled	distance_traveled_delta	moved_since_anchor_cm	stationary_elapsed_s	goal_dist_cm	goal_x_cm	goal_y_cm	target_x_cm	target_y_cm	rover_cell_x	rover_cell_y	target_cell_x	target_cell_y	path_len	waypoint_idx	waypoint_distance_cm	goals_reached	throttle_cmd	steering_cmd	obstacle_total
0	0.000	Running | Goals: 0	0	0	0	-5663.200	-10080.200	1440.400	190.600	379.980	1170.020	39.996	-100.600	0.000	0.000	0.000	84.000	0.000	0.000	0.000	5656.854	-3620.020	-2829.980	76.427	866.466	104	104	97	97	649	57	429.289	0	20.000	-0.983	0
1	0.270	Running | Goals: 0	0	0	0	-5663.200	-10080.200	1440.400	190.600	379.980	1170.020	39.996	-100.600	0.000	0.000	0.000	84.000	0.000	0.000	0.270	5656.854	-3620.020	-2829.980	76.427	866.466	104	104	97	97	649	57	429.289	0	20.000	-0.983	0
2	0.487	Running | Goals: 0	0	0	0	-5663.200	-10080.200	1440.400	190.600	379.980	1170.020	39.996	-100.600	0.000	0.000	0.000	84.000	0.000	0.000	0.487	5656.854	-3620.020	-2829.980	76.427	866.466	104	104	97	97	649	57	429.289	0	20.000	-0.983	0
3	0.733	Running | Goals: 0	0	0	0	-5663.200	-10080.200	1440.400	190.600	379.980	1170.020	39.996	-100.600	0.000	0.000	0.000	84.000	0.000	0.000	0.733	5656.854	-3620.020	-2829.980	76.427	866.466	104	104	97	97	649	57	429.289	0	20.000	-0.983	0
4	0.955	Running | Goals: 0	0	0	0	-5663.200	-10080.200	1440.400	190.600	379.980	1170.020	39.996	-100.600	0.000	0.000	0.000	84.000	0.000	0.000	0.955	5656.854	-3620.020	-2829.980	76.427	866.466	104	104	97	97	649	57	429.289	0	20.000	-0.983	0
5	1.194	Running | Goals: 0	0	0	0	-5663.200	-10080.200	1440.400	190.600	379.980	1170.020	39.996	-100.600	0.000	0.000	0.000	84.000	0.000	0.000	1.194	5656.854	-3620.020	-2829.980	76.427	866.466	104	104	97	97	649	57	429.289	0	20.000	-0.983	0
6	1.429	Running | Goals: 0	0	0	1	-5663.200	-10080.200	1440.400	190.700	379.980	1170.020	39.996	-100.700	0.000	0.000	0.200	84.000	0.000	0.000	0.000	5656.854	-3620.020	-2829.980	76.427	866.466	104	104	97	97	649	57	429.289	0	20.000	-0.980	0
7	1.650	Running | Goals: 0	0	0	1	-5663.200	-10080.200	1440.400	190.700	379.980	1170.020	39.996	-100.700	0.000	0.000	0.200	84.000	0.000	0.000	0.000	5656.854	-3620.020	-2829.980	76.427	866.466	104	104	97	97	649	57	429.289	0	20.000	-0.980	0
8	1.867	Running | Goals: 0	0	0	1	-5663.200	-10080.200	1440.400	190.700	379.980	1170.020	39.996	-100.700	0.000	0.000	0.200	84.000	0.000	0.000	0.000	5656.854	-3620.020	-2829.980	76.427	866.466	104	104	97	97	649	57	429.289	0	20.000	-0.980	0
9	2.108	Running | Goals: 0	0	0	1	-5663.200	-10080.200	1440.400	190.700	379.980	1170.020	39.996	-100.700	0.000	0.000	0.200	84.000	0.000	0.000	0.000	5656.854	-3620.020	-2829.980	76.427	866.466	104	104	97	97	649	57	429.289	0	20.000	-0.980	0
10	2.353	Running | Goals: 0	0	0	1	-5663.200	-10080.200	1440.400	190.700	379.980	1170.020	39.996	-100.700	0.000	0.000	0.200	84.000	0.000	0.000	0.000	5656.854	-3620.020	-2829.980	76.427	866.466	104	104	97	97	649	57	429.289	0	20.000	-0.980	0
11	2.579	Running | Goals: 0	0	0	1	-5663.200	-10080.200	1440.400	191.400	379.980	1170.020	39.996	-101.400	0.000	0.000	0.500	84.100	0.100	0.000	0.000	5656.854	-3620.020	-2829.980	76.427	866.466	104	104	97	97	649	57	429.289	0	20.000	-0.960	0
12	2.799	Running | Goals: 0	0	0	1	-5663.200	-10080.200	1440.400	191.400	379.980	1170.020	39.996	-101.400	0.000	0.000	0.500	84.100	0.000	0.000	0.000	5656.854	-3620.020	-2829.980	76.427	866.466	104	104	97	97	649	57	429.289	0	20.000	-0.960	0
13	3.034	Running | Goals: 0	0	0	1	-5663.200	-10080.200	1440.400	191.400	379.980	1170.020	39.996	-101.400	0.000	0.000	0.500	84.100	0.000	0.000	0.000	5656.854	-3620.020	-2829.980	76.427	866.466	104	104	97	97	649	57	429.289	0	20.000	-0.960	0
14	3.265	Running | Goals: 0	0	0	1	-5663.200	-10080.200	1440.400	191.400	379.980	1170.020	39.996	-101.400	0.000	0.000	0.500	84.100	0.000	0.000	0.000	5656.854	-3620.020	-2829.980	76.427	866.466	104	104	97	97	649	57	429.289	0	20.000	-0.960	0
15	3.494	Running | Goals: 0	0	0	1	-5663.300	-10080.300	1440.400	192.300	369.971	1160.058	39.996	-102.300	0.141	14.122	0.800	84.100	0.000	0.000	0.000	5642.733	-3620.020	-2829.980	16.442	806.481	103	103	96	96	640	58	500.000	0	20.000	-0.934	0
16	3.714	Running | Goals: 0	0	0	1	-5663.300	-10080.300	1440.400	192.300	369.971	1160.058	39.996	-102.300	0.000	0.000	0.800	84.100	0.000	0.000	0.000	5642.733	-3620.020	-2829.980	16.442	806.481	103	103	96	96	640	58	500.000	0	20.000	-0.934	0
17	3.946	Running | Goals: 0	0	0	1	-5663.300	-10080.300	1440.400	192.300	369.971	1160.058	39.996	-102.300	0.000	0.000	0.800	84.100	0.000	0.000	0.000	5642.733	-3620.020	-2829.980	16.442	806.481	103	103	96	96	640	58	500.000	0	20.000	-0.934	0
