sample_idx,sensor_idx,distance_cm,x_cm,y_cm,z_cm
0,1,596.280029,678.443115,228.554901,-153.945786
0,3,649.000000,135.386597,128.531693,-171.977066
0,5,486.750000,479.385132,294.829773,-155.715439
0,6,490.440002,330.427338,276.864044,-157.274902
0,7,409.519989,950.748535,1070.674805,-90.070084
0,8,409.959991,-283.392426,949.666443,-90.220573
0,9,681.880005,962.951416,1852.949463,49.993999
0,10,252.389999,353.743317,1627.464722,49.993999
0,11,247.130005,224.877029,1609.544067,49.993999
0,12,602.510010,-335.450562,1664.547729,49.993999
0,15,906.500000,917.151245,-23.437201,49.993999
1,1,596.280029,678.443115,228.554901,-153.945786
1,3,649.000000,135.386597,128.531693,-171.977066
1,5,486.750000,479.385132,294.829773,-155.715439
1,6,490.440002,330.427338,276.864044,-157.274902
1,7,409.519989,950.748535,1070.674805,-90.070084
1,8,409.959991,-283.392426,949.666443,-90.220573
1,9,681.880005,962.951416,1852.949463,49.993999
1,10,252.389999,353.743317,1627.464722,49.993999
1,11,247.130005,224.877029,1609.544067,49.993999
1,12,602.510010,-335.450562,1664.547729,49.993999
1,15,906.500000,917.151245,-23.437201,49.993999
2,1,596.280029,678.443115,228.554901,-153.945786
2,3,649.000000,135.386597,128.531693,-171.977066
2,5,486.750000,479.385132,294.829773,-155.715439
2,6,490.440002,330.427338,276.864044,-157.274902
2,7,409.519989,950.748535,1070.674805,-90.070084
2,8,409.959991,-283.392426,949.666443,-90.220573
2,9,681.880005,962.951416,1852.949463,49.993999
2,10,252.389999,353.743317,1627.464722,49.993999
2,11,247.130005,224.877029,1609.544067,49.993999
2,12,602.510010,-335.450562,1664.547729,49.993999
2,15,906.500000,917.151245,-23.437201,49.993999
3,1,596.280029,678.443115,228.554901,-153.945786
3,3,649.000000,135.386597,128.531693,-171.977066
3,5,486.750000,479.385132,294.829773,-155.715439
3,6,490.440002,330.427338,276.864044,-157.274902
3,7,409.519989,950.748535,1070.674805,-90.070084
3,8,409.959991,-283.392426,949.666443,-90.220573
3,9,681.880005,962.951416,1852.949463,49.993999
3,10,252.389999,353.743317,1627.464722,49.993999
3,11,247.130005,224.877029,1609.544067,49.993999
3,12,602.510010,-335.450562,1664.547729,49.993999
3,15,906.500000,917.151245,-23.437201,49.993999
4,1,596.280029,678.443115,228.554901,-153.945786
4,3,649.000000,135.386597,128.531693,-171.977066
4,5,486.750000,479.385132,294.829773,-155.715439
4,6,490.440002,330.427338,276.864044,-157.274902
4,7,409.519989,950.748535,1070.674805,-90.070084
4,8,409.959991,-283.392426,949.666443,-90.220573
4,9,681.880005,962.951416,1852.949463,49.993999
4,10,252.389999,353.743317,1627.464722,49.993999
4,11,247.130005,224.877029,1609.544067,49.993999
