sample_idx,sensor_idx,distance_cm,x_cm,y_cm,z_cm,pose_x_cm,pose_y_cm,pose_z_cm,heading_deg
0,1,638.460022,2498.404297,-821.063416,-198.364883,1619.970703,-509.960999,20.001301,-37.000000
0,3,602.739990,2142.869385,-1240.463379,-186.147919,1619.970703,-509.960999,20.001301,-37.000000
0,5,487.859985,2277.781006,-911.746521,-186.177246,1619.970703,-509.960999,20.001301,-37.000000
0,6,483.720001,2184.512207,-1029.283813,-184.427612,1619.970703,-509.960999,20.001301,-37.000000
0,7,405.670013,2022.757568,-41.910313,-118.746017,1619.970703,-509.960999,20.001301,-37.000000
0,8,405.299988,1281.283936,-1025.879150,-118.619461,1619.970703,-509.960999,20.001301,-37.000000
0,9,725.619995,1447.525146,542.083191,20.001301,1619.970703,-509.960999,20.001301,-37.000000
0,10,202.860001,1250.541382,-131.405151,20.001301,1619.970703,-509.960999,20.001301,-37.000000
0,11,198.970001,1175.412109,-237.568832,20.001301,1619.970703,-509.960999,20.001301,-37.000000
0,12,599.679993,720.015686,-583.662231,20.001301,1619.970703,-509.960999,20.001301,-37.000000
1,1,638.460022,2498.404297,-821.063416,-198.364883,1619.970703,-509.960999,20.001301,-37.000000
1,3,602.739990,2142.869385,-1240.463379,-186.147919,1619.970703,-509.960999,20.001301,-37.000000
1,5,487.859985,2277.781006,-911.746521,-186.177246,1619.970703,-509.960999,20.001301,-37.000000
1,6,483.720001,2184.512207,-1029.283813,-184.427612,1619.970703,-509.960999,20.001301,-37.000000
1,7,405.670013,2022.757568,-41.910313,-118.746017,1619.970703,-509.960999,20.001301,-37.000000
1,8,405.299988,1281.283936,-1025.879150,-118.619461,1619.970703,-509.960999,20.001301,-37.000000
1,9,725.619995,1447.525146,542.083191,20.001301,1619.970703,-509.960999,20.001301,-37.000000
1,10,202.860001,1250.541382,-131.405151,20.001301,1619.970703,-509.960999,20.001301,-37.000000
1,11,198.970001,1175.412109,-237.568832,20.001301,1619.970703,-509.960999,20.001301,-37.000000
1,12,599.679993,720.015686,-583.662231,20.001301,1619.970703,-509.960999,20.001301,-37.000000
2,1,588.130005,2500.017334,-845.925110,-181.151001,1669.970703,-539.941528,20.001301,-37.599998
2,3,553.270020,2160.282227,-1236.629639,-169.228195,1669.970703,-539.941528,20.001301,-37.599998
2,5,454.149994,2299.331787,-929.952515,-171.930786,1669.970703,-539.941528,20.001301,-37.599998
2,6,449.559998,2204.514160,-1046.257812,-169.990967,1669.970703,-539.941528,20.001301,-37.599998
