step_idx	elapsed_s	status	reverse_active	forward_hold_active	stuck_detection_armed	planner_rebuilt	replan_attempted	raw_path_points	follow_path_points	active_path_points	raw_rover_x	raw_rover_y	raw_rover_z	raw_heading_deg	rover_x_cm	rover_y_cm	rover_z_cm	rover_heading_deg	raw_pose_delta	pose_delta_cm	telemetry_throttle	telemetry_steering	telemetry_speed	telemetry_brakes	telemetry_distance_traveled	distance_traveled_delta	moved_since_anchor_cm	stationary_elapsed_s	goal_x_cm	goal_y_cm	goal_dist_cm	target_x_cm	target_y_cm	rover_cell_x	rover_cell_y	target_cell_x	target_cell_y	waypoint_idx	waypoint_distance_cm	waypoint_distance_avg_cm	path_heading_error_deg	front_clearance_cm	throttle_cmd	steering_cmd	new_lidar_obstacles	stuck_obstacles_added	obstacle_total
0	0.000	Running	0	0	0	0	0	0	649	649	-5664.000	-10080.101	1440.400	179.900	300.000	1179.980	39.996	-89.900	0.000	0.000	0.000	0.000	0.000	1	10.900	0.000	0.000	0.000	-3700.000	-2820.020	5656.854	-3.553	876.427	104	104	97	97	57	429.289	429.289	-45.100	858.510	18.000	-1.000	0	0	0
1	0.412	Running	0	0	0	0	0	0	649	649	-5664.000	-10080.101	1440.400	179.900	300.000	1179.980	39.996	-89.900	0.000	0.000	18.000	1.000	0.000	0	10.900	0.000	0.000	0.412	-3700.000	-2820.020	5656.854	-3.553	876.427	104	104	97	97	57	429.289	429.289	-45.100	858.510	18.000	-1.000	0	0	0
2	0.742	Running	0	0	0	0	0	0	649	649	-5664.000	-10080.101	1440.400	179.900	300.000	1179.980	39.996	-89.900	0.000	0.000	18.000	1.000	0.000	0	10.900	0.000	0.000	0.742	-3700.000	-2820.020	5656.854	-3.553	876.427	104	104	97	97	57	429.289	429.289	-45.100	858.510	18.000	-1.000	0	0	0
3	1.034	Running	0	0	0	0	0	0	649	649	-5664.000	-10080.101	1440.400	179.900	300.000	1179.980	39.996	-89.900	0.000	0.000	18.000	1.000	0.000	0	10.900	0.000	0.000	1.034	-3700.000	-2820.020	5656.854	-3.553	876.427	104	104	97	97	57	429.289	429.289	-45.100	858.510	18.000	-1.000	0	0	0
4	1.323	Running	0	0	0	0	0	0	649	649	-5664.000	-10080.101	1440.400	179.900	300.000	1179.980	39.996	-89.900	0.000	0.000	18.000	1.000	0.000	0	10.900	0.000	0.000	1.323	-3700.000	-2820.020	5656.854	-3.553	876.427	104	104	97	97	57	429.289	429.289	-45.100	858.510	18.000	-1.000	0	0	0
5	1.604	Running	0	0	0	0	0	0	649	649	-5664.000	-10080.101	1440.400	179.900	300.000	1179.980	39.996	-89.900	0.000	0.000	18.000	1.000	0.000	0	10.900	0.000	0.000	1.604	-3700.000	-2820.020	5656.854	-3.553	876.427	104	104	97	97	57	429.289	429.289	-45.100	858.510	18.000	-1.000	0	0	0
6	1.876	Running	0	0	0	0	0	0	649	649	-5664.000	-10080.101	1440.400	179.900	300.000	1179.980	39.996	-89.900	0.000	0.000	18.000	1.000	0.000	0	10.900	0.000	0.000	1.876	-3700.000	-2820.020	5656.854	-3.553	876.427	104	104	97	97	57	429.289	429.289	-45.100	858.510	18.000	-1.000	0	0	0
7	2.170	Running	0	0	0	0	0	0	649	649	-5664.000	-10080.101	1440.400	179.900	300.000	1179.980	39.996	-89.900	0.000	0.000	18.000	1.000	0.100	0	10.900	0.000	0.000	2.170	-3700.000	-2820.020	5656.854	-3.553	876.427	104	104	97	97	57	429.289	429.289	-45.100	903.550	18.000	-1.000	0	0	0
8	2.476	Running	0	0	0	0	0	0	649	649	-5664.000	-10080.101	1440.400	179.900	300.000	1179.980	39.996	-89.900	0.000	0.000	18.000	1.000	0.100	0	10.900	0.000	0.000	2.476	-3700.000	-2820.020	5656.854	-3.553	876.427	104	104	97	97	57	429.289	429.289	-45.100	903.550	18.000	-1.000	0	0	0
9	2.760	Running	0	0	0	0	0	0	649	649	-5664.000	-10080.101	1440.400	179.900	300.000	1179.980	39.996	-89.900	0.000	0.000	18.000	1.000	0.100	0	10.900	0.000	0.000	2.760	-3700.000	-2820.020	5656.854	-3.553	876.427	104	104	97	97	57	429.289	429.289	-45.100	903.550	18.000	-1.000	0	0	0
10	3.065	Running	0	0	1	0	0	0	649	649	-5664.000	-10080.101	1440.400	180.100	300.000	1179.980	39.996	-90.100	0.000	0.000	18.000	1.000	0.200	0	10.900	0.000	0.000	0.000	-3700.000	-2820.020	5656.854	-3.553	876.427	104	104	97	97	57	429.289	429.289	-44.900	inf	18.000	-1.000	0	0	0
11	3.343	Running	0	0	1	0	0	0	649	649	-5664.000	-10080.101	1440.400	180.100	300.000	1179.980	39.996	-90.100	0.000	0.000	18.000	1.000	0.200	0	10.900	0.000	0.000	0.000	-3700.000	-2820.020	5656.854	-3.553	876.427	104	104	97	97	57	429.289	429.289	-44.900	inf	18.000	-1.000	0	0	0
12	3.636	Running	0	0	1	0	0	0	649	649	-5664.000	-10080.101	1440.400	180.100	300.000	1179.980	39.996	-90.100	0.000	0.000	18.000	1.000	0.200	0	10.900	0.000	0.000	0.000	-3700.000	-2820.020	5656.854	-3.553	876.427	104	104	97	97	57	429.289	429.289	-44.900	inf	18.000	-1.000	0	0	0
13	3.918	Running	0	0	1	0	0	0	649	649	-5664.000	-10080.101	1440.400	180.100	300.000	1179.980	39.996	-90.100	0.000	0.000	18.000	1.000	0.200	0	10.900	0.000	0.000	0.000	-3700.000	-2820.020	5656.854	-3.553	876.427	104	104	97	97	57	429.289	429.289	-44.900	inf	18.000	-1.000	0	0	0
14	4.206	Running	0	0	1	0	0	0	649	649	-5664.000	-10080.101	1440.400	180.500	300.000	1179.980	39.996	-90.500	0.000	0.000	18.000	1.000	0.400	0	11.000	0.100	0.000	0.000	-3700.000	-2820.020	5656.854	-3.553	876.427	104	104	97	97	57	429.289	429.289	-44.500	inf	18.000	-1.000	0	0	0
15	4.527	Running	0	0	1	0	0	0	649	649	-5664.000	-10080.101	1440.400	180.500	300.000	1179.980	39.996	-90.500	0.000	0.000	18.000	1.000	0.400	0	11.000	0.000	0.000	0.000	-3700.000	-2820.020	5656.854	-3.553	876.427	104	104	97	97	57	429.289	429.289	-44.500	inf	18.000	-1.000	0	0	0
16	4.884	Running	0	0	1	0	0	0	649	649	-5664.000	-10080.101	1440.400	180.500	300.000	1179.980	39.996	-90.500	0.000	0.000	18.000	1.000	0.400	0	11.000	0.000	0.000	0.000	-3700.000	-2820.020	5656.854	-3.553	876.427	104	104	97	97	57	429.289	429.289	-44.500	inf	18.000	-1.000	0	0	0
17	5.155	Running	0	0	1	0	0	0	649	642	-5664.000	-10080.200	1440.400	181.100	300.000	1170.020	39.996	-91.100	0.100	9.961	18.000	1.000	0.600	0	11.000	0.000	9.961	0.000	-3700.000	-2820.020	5649.815	-53.553	826.427	104	103	96	96	58	493.007	432.829	-44.719	inf	18.000	-1.000	0	0	0
18	5.431	Running	0	0	1	0	0	0	649	642	-5664.000	-10080.200	1440.400	181.100	300.000	1170.020	39.996	-91.100	0.000	0.000	18.000	1.000	0.600	0	11.000	0.000	0.000	0.000	-3700.000	-2820.020	5649.815	-53.553	826.427	104	103	96	96	58	493.007	435.996	-44.719	inf	18.000	-1.000	0	0	0
19	5.771	Running	0	0	1	0	0	0	649	642	-5664.000	-10080.200	1440.400	181.100	300.000	1170.020	39.996	-91.100	0.000	0.000	18.000	1.000	0.600	0	11.000	0.000	0.000	0.000	-3700.000	-2820.020	5649.815	-53.553	826.427	104	103	96	96	58	493.007	438.847	-44.719	inf	18.000	-1.000	0	0	0
20	6.106	Running	0	0	1	0	0	0	649	642	-5664.000	-10080.200	1440.400	181.900	300.000	1170.020	39.996	-91.900	0.000	0.000	18.000	1.000	0.800	0	11.100	0.100	0.000	0.000	-3700.000	-2820.020	5649.815	-53.553	826.427	104	103	96	96	58	493.007	441.426	-43.919	847.290	18.000	-1.000	0	0	0
21	6.404	Running	0	0	1	0	0	0	649	642	-5664.000	-10080.200	1440.400	181.900	300.000	1170.020	39.996	-91.900	0.000	0.000	18.000	1.000	0.800	0	11.100	0.000	0.000	0.000	-3700.000	-2820.020	5649.815	-53.553	826.427	104	103	96	96	58	493.007	443.771	-43.919	847.290	18.000	-1.000	0	0	0
22	6.687	Running	0	0	1	0	0	0	649	642	-5664.000	-10080.200	1440.400	181.900	300.000	1170.020	39.996	-91.900	0.000	0.000	18.000	1.000	0.800	0	11.100	0.000	0.000	0.000	-3700.000	-2820.020	5649.815	-53.553	826.427	104	103	96	96	58	493.007	445.911	-43.919	847.290	18.000	-1.000	0	0	0
23	6.969	Running	0	0	1	0	0	0	649	642	-5664.000	-10080.200	1440.400	181.900	300.000	1170.020	39.996	-91.900	0.000	0.000	18.000	1.000	0.800	0	11.100	0.000	0.000	0.000	-3700.000	-2820.020	5649.815	-53.553	826.427	104	103	96	96	58	493.007	447.874	-43.919	847.290	18.000	-1.000	0	0	0
24	7.254	Running	0	0	1	0	0	0	649	641	-5664.000	-10080.300	1440.400	182.900	300.000	1160.058	39.996	-92.900	0.100	9.961	18.000	1.000	0.900	0	11.200	0.100	9.961	0.000	-3700.000	-2820.020	5642.785	-53.553	826.427	104	103	96	96	57	486.117	449.403	-43.761	785.140	18.000	-1.000	0	0	0
25	7.531	Running	0	0	1	0	0	0	649	641	-5664.000	-10080.300	1440.400	182.900	300.000	1160.058	39.996	-92.900	0.000	0.000	18.000	1.000	0.900	0	11.200	0.000	0.000	0.000	-3700.000	-2820.020	5642.785	-53.553	826.427	104	103	96	96	57	486.117	450.815	-43.761	785.140	18.000	-1.000	0	0	0
26	7.806	Running	0	0	1	0	0	0	649	641	-5664.000	-10080.300	1440.400	182.900	300.000	1160.058	39.996	-92.900	0.000	0.000	18.000	1.000	0.900	0	11.200	0.000	0.000	0.000	-3700.000	-2820.020	5642.785	-53.553	826.427	104	103	96	96	57	486.117	452.123	-43.761	785.140	18.000	-1.000	0	0	0
27	8.085	Running	0	0	1	0	0	0	649	641	-5664.000	-10080.300	1440.400	182.900	300.000	1160.058	39.996	-92.900	0.000	0.000	18.000	1.000	0.900	0	11.200	0.000	0.000	0.000	-3700.000	-2820.020	5642.785	-53.553	826.427	104	103	96	96	57	486.117	453.337	-43.761	785.140	18.000	-1.000	0	0	0
28	8.371	Running	0	0	1	0	0	0	649	639	-5664.100	-10080.400	1440.400	184.000	289.990	1150.000	39.996	-94.000	0.142	14.191	18.000	1.000	1.100	0	11.200	0.000	14.191	0.000	-3700.000	-2820.020	5628.595	-63.563	816.417	103	103	96	96	57	486.084	454.466	-42.665	745.120	18.000	-1.000	0	0	0
29	8.645	Running	0	0	1	0	0	0	649	639	-5664.100	-10080.400	1440.400	184.000	289.990	1150.000	39.996	-94.000	0.000	0.000	18.000	1.000	1.100	0	11.200	0.000	0.000	0.000	-3700.000	-2820.020	5628.595	-63.563	816.417	103	103	96	96	57	486.084	455.520	-42.665	745.120	18.000	-1.000	0	0	0
30	8.923	Running	0	0	1	0	0	0	649	639	-5664.100	-10080.400	1440.400	184.000	289.990	1150.000	39.996	-94.000	0.000	0.000	18.000	1.000	1.100	0	11.200	0.000	0.000	0.000	-3700.000	-2820.020	5628.595	-63.563	816.417	103	103	96	96	57	486.084	456.506	-42.665	745.120	18.000	-1.000	0	0	0
31	9.213	Running	0	0	1	0	0	0	649	639	-5664.100	-10080.500	1440.500	185.200	289.990	1140.039	49.994	-95.200	0.141	14.113	18.000	1.000	1.200	0	11.300	0.100	9.961	0.000	-3700.000	-2820.020	5621.573	-63.563	816.417	103	103	96	96	57	479.303	457.218	-42.331	15.200	18.000	-1.000	0	0	0
32	9.485	Running	0	0	1	0	0	0	649	639	-5664.100	-10080.500	1440.500	185.200	289.990	1140.039	49.994	-95.200	0.000	0.000	18.000	1.000	1.200	0	11.300	0.000	0.000	0.000	-3700.000	-2820.020	5621.573	-63.563	816.417	103	103	96	96	57	479.303	457.888	-42.331	15.200	18.000	-1.000	0	0	0
33	9.760	Running	0	0	1	0	0	0	649	639	-5664.100	-10080.500	1440.500	185.200	289.990	1140.039	49.994	-95.200	0.000	0.000	18.000	1.000	1.200	0	11.300	0.000	0.000	0.000	-3700.000	-2820.020	5621.573	-63.563	816.417	103	103	96	96	57	479.303	458.518	-42.331	15.200	18.000	-1.000	0	0	0
34	10.039	Running	0	0	1	0	0	0	649	639	-5664.100	-10080.500	1440.500	185.200	289.990	1140.039	49.994	-95.200	0.000	0.000	18.000	1.000	1.200	0	11.300	0.000	0.000	0.000	-3700.000	-2820.020	5621.573	-63.563	816.417	103	103	96	96	57	479.303	459.111	-42.331	15.200	18.000	-1.000	0	0	0
35	10.315	Running	0	0	1	0	0	0	649	637	-5664.200	-10080.601	1440.500	186.800	279.980	1129.980	49.994	-96.800	0.142	14.190	18.000	1.000	1.400	0	11.500	0.200	14.190	0.000	-3700.000	-2820.020	5607.383	-73.573	806.408	103	103	96	96	56	479.270	459.671	-40.735	684.270	18.000	-1.000	0	0	0
36	10.599	Running	0	0	1	0	0	0	649	637	-5664.200	-10080.601	1440.500	186.800	279.980	1129.980	49.994	-96.800	0.000	0.000	18.000	1.000	1.400	0	11.500	0.000	0.000	0.000	-3700.000	-2820.020	5607.383	-73.573	806.408	103	103	96	96	56	479.270	460.201	-40.735	684.270	18.000	-1.000	0	0	0
37	10.907	Running	0	0	1	0	0	0	649	637	-5664.200	-10080.601	1440.500	186.800	279.980	1129.980	49.994	-96.800	0.000	0.000	18.000	1.000	1.400	0	11.500	0.000	0.000	0.000	-3700.000	-2820.020	5607.383	-73.573	806.408	103	103	96	96	56	479.270	460.703	-40.735	684.270	18.000	-1.000	0	0	0
38	11.234	Running	0	0	1	0	0	0	649	636	-5664.200	-10080.700	1440.500	188.400	279.980	1120.020	49.994	-98.400	0.100	9.961	18.000	1.000	1.600	0	11.600	0.100	9.961	0.000	-3700.000	-2820.020	5600.371	-73.573	806.408	103	102	96	96	55	472.602	461.008	-40.026	659.880	18.000	-1.000	0	0	0
39	11.545	Running	0	0	1	0	0	0	649	636	-5664.200	-10080.700	1440.500	188.400	279.980	1120.020	49.994	-98.400	0.000	0.000	18.000	1.000	1.600	0	11.600	0.000	0.000	0.000	-3700.000	-2820.020	5600.371	-73.573	806.408	103	102	96	96	55	472.602	461.298	-40.026	659.880	18.000	-1.000	0	0	0
40	11.951	Running	0	0	1	0	0	0	649	636	-5664.200	-10080.700	1440.500	188.400	279.980	1120.020	49.994	-98.400	0.000	0.000	18.000	1.000	1.600	0	11.600	0.000	0.000	0.000	-3700.000	-2820.020	5600.371	-73.573	806.408	103	102	96	96	55	472.602	461.573	-40.026	659.880	18.000	-1.000	0	0	0
41	12.252	Running	0	0	1	0	0	0	649	635	-5664.300	-10080.800	1440.500	189.800	269.971	1110.058	49.994	-99.800	0.141	14.122	18.000	1.000	1.700	0	11.700	0.100	14.122	0.000	-3700.000	-2820.020	5586.249	-83.583	796.398	103	102	96	96	56	472.634	461.837	-38.622	644.170	18.000	-1.000	0	0	0
42	12.545	Running	0	0	1	0	0	0	649	635	-5664.300	-10080.800	1440.500	189.800	269.971	1110.058	49.994	-99.800	0.000	0.000	18.000	1.000	1.700	0	11.700	0.000	0.000	0.000	-3700.000	-2820.020	5586.249	-83.583	796.398	103	102	96	96	56	472.634	462.088	-38.622	644.170	18.000	-1.000	0	0	0
43	12.830	Running	0	0	1	0	0	0	649	635	-5664.300	-10080.800	1440.500	189.800	269.971	1110.058	49.994	-99.800	0.000	0.000	18.000	1.000	1.700	0	11.700	0.000	0.000	0.000	-3700.000	-2820.020	5586.249	-83.583	796.398	103	102	96	96	56	472.634	462.328	-38.622	644.170	18.000	-1.000	0	0	0
44	13.172	Running	0	0	1	0	0	0	649	634	-5664.300	-10080.900	1440.500	191.700	269.971	1100.000	49.994	-101.700	0.101	10.059	18.000	1.000	1.800	0	11.900	0.200	10.059	0.000	-3700.000	-2820.020	5579.177	-83.583	796.398	103	102	96	96	55	466.020	462.410	-37.647	626.900	18.000	-1.000	0	0	0
45	13.526	Running	0	0	1	0	0	0	649	634	-5664.300	-10080.900	1440.500	191.700	269.971	1100.000	49.994	-101.700	0.000	0.000	18.000	1.000	1.800	0	11.900	0.000	0.000	0.000	-3700.000	-2820.020	5579.177	-83.583	796.398	103	102	96	96	55	466.020	462.488	-37.647	626.900	18.000	-1.000	0	0	0
46	13.832	Running	0	0	1	0	0	0	649	634	-5664.300	-10080.900	1440.500	191.700	269.971	1100.000	49.994	-101.700	0.000	0.000	18.000	1.000	1.800	0	11.900	0.000	0.000	0.000	-3700.000	-2820.020	5579.177	-83.583	796.398	103	102	96	96	55	466.020	462.563	-37.647	626.900	18.000	-1.000	0	0	0
47	14.119	Running	0	0	1	0	0	0	649	634	-5664.300	-10080.900	1440.500	191.700	269.971	1100.000	49.994	-101.700	0.000	0.000	18.000	1.000	1.800	0	11.900	0.000	0.000	0.000	-3700.000	-2820.020	5579.177	-83.583	796.398	103	102	96	96	55	466.020	462.635	-37.647	626.900	18.000	-1.000	0	0	0
48	14.406	Running	0	0	1	0	0	0	649	631	-5664.400	-10081.101	1440.500	193.700	260.010	1079.980	49.994	-103.700	0.224	22.361	18.000	1.000	1.900	0	12.000	0.100	22.361	0.000	-3700.000	-2820.020	5558.028	-93.544	786.437	103	102	96	96	53	459.530	462.572	-36.598	614.250	18.000	-1.000	0	0	0
49	14.695	Running	0	0	1	0	0	0	649	631	-5664.400	-10081.101	1440.500	193.700	260.010	1079.980	49.994	-103.700	0.000	0.000	18.000	1.000	1.900	0	12.000	0.000	0.000	0.000	-3700.000	-2820.020	5558.028	-93.544	786.437	103	102	96	96	53	459.530	462.511	-36.598	614.250	18.000	-1.000	0	0	0
50	14.986	Running	0	0	1	0	0	0	649	631	-5664.400	-10081.101	1440.500	193.700	260.010	1079.980	49.994	-103.700	0.000	0.000	18.000	1.000	1.900	0	12.000	0.000	0.000	0.000	-3700.000	-2820.020	5558.028	-93.544	786.437	103	102	96	96	53	459.530	462.453	-36.598	614.250	18.000	-1.000	0	0	0
51	15.272	Running	0	0	1	0	0	0	649	630	-5664.500	-10081.200	1440.500	196.000	250.000	1070.020	49.994	-106.000	0.141	14.121	18.000	1.000	2.100	0	12.200	0.200	14.121	0.000	-3700.000	-2820.020	5543.907	-103.553	776.427	103	101	95	95	54	459.561	462.397	-34.294	594.120	18.000	-0.980	0	0	0
52	15.556	Running	0	0	1	0	0	0	649	630	-5664.500	-10081.200	1440.500	196.000	250.000	1070.020	49.994	-106.000	0.000	0.000	18.000	0.980	2.100	0	12.200	0.000	0.000	0.000	-3700.000	-2820.020	5543.907	-103.553	776.427	103	101	95	95	54	459.561	462.344	-34.294	594.120	18.000	-0.980	0	0	0
53	15.852	Running	0	0	1	0	0	0	649	630	-5664.500	-10081.200	1440.500	196.000	250.000	1070.020	49.994	-106.000	0.000	0.000	18.000	0.980	2.100	0	12.200	0.000	0.000	0.000	-3700.000	-2820.020	5543.907	-103.553	776.427	103	101	95	95	54	459.561	462.292	-34.294	594.120	18.000	-0.980	0	0	0
54	16.134	Running	0	0	1	0	0	0	649	630	-5664.500	-10081.200	1440.500	196.000	250.000	1070.020	49.994	-106.000	0.000	0.000	18.000	0.980	2.100	0	12.200	0.000	0.000	0.000	-3700.000	-2820.020	5543.907	-103.553	776.427	103	101	95	95	54	459.561	462.242	-34.294	594.120	18.000	-0.980	0	0	0
55	16.413	Running	0	0	1	0	0	0	649	627	-5664.600	-10081.400	1440.500	198.700	239.990	1050.000	49.994	-108.700	0.224	22.383	18.000	0.980	2.300	0	12.400	0.200	22.383	0.000	-3700.000	-2820.020	5522.732	-113.563	766.417	102	101	95	95	53	453.232	462.081	-32.567	564.560	18.000	-0.930	0	0	0
56	16.692	Running	0	0	1	0	0	0	649	627	-5664.600	-10081.400	1440.500	198.700	239.990	1050.000	49.994	-108.700	0.000	0.000	18.000	0.930	2.300	0	12.400	0.000	0.000	0.000	-3700.000	-2820.020	5522.732	-113.563	766.417	102	101	95	95	53	453.232	461.926	-32.567	564.560	18.000	-0.930	0	0	0
57	16.983	Running	0	0	1	0	0	0	649	627	-5664.600	-10081.400	1440.500	198.700	239.990	1050.000	49.994	-108.700	0.000	0.000	18.000	0.930	2.300	0	12.400	0.000	0.000	0.000	-3700.000	-2820.020	5522.732	-113.563	766.417	102	101	95	95	53	453.232	461.776	-32.567	564.560	18.000	-0.930	0	0	0
58	17.273	Running	0	0	1	0	0	0	649	624	-5664.800	-10081.601	1440.500	201.200	219.971	1029.980	49.994	-111.200	0.283	28.312	18.000	0.930	2.400	0	12.700	0.300	28.312	0.000	-3700.000	-2820.020	5494.422	-133.583	746.398	102	101	95	95	53	453.232	461.631	-30.067	545.620	20.481	-0.859	0	0	0
59	17.561	Running	0	0	1	0	0	0	649	624	-5664.800	-10081.601	1440.500	201.200	219.971	1029.980	49.994	-111.200	0.000	0.000	20.481	0.859	2.400	0	12.700	0.000	0.000	0.000	-3700.000	-2820.020	5494.422	-133.583	746.398	102	101	95	95	53	453.232	461.491	-30.067	545.620	20.481	-0.859	0	0	0
60	17.842	Running	0	0	1	0	0	0	649	624	-5664.800	-10081.601	1440.500	201.200	219.971	1029.980	49.994	-111.200	0.000	0.000	20.481	0.859	2.400	0	12.700	0.000	0.000	0.000	-3700.000	-2820.020	5494.422	-133.583	746.398	102	101	95	95	53	453.232	461.356	-30.067	545.620	20.481	-0.859	0	0	0
61	18.150	Running	0	0	1	0	0	0	649	622	-5664.900	-10081.800	1440.500	203.500	210.010	1010.058	49.994	-113.500	0.223	22.273	20.481	0.859	2.600	0	12.900	0.200	22.273	0.000	-3700.000	-2820.020	5473.360	-143.544	736.437	102	100	95	95	52	447.067	461.126	-28.763	531.500	22.986	-0.822	0	0	0
62	18.480	Running	0	0	1	0	0	0	649	622	-5664.900	-10081.800	1440.500	203.500	210.010	1010.058	49.994	-113.500	0.000	0.000	22.986	0.822	2.600	0	12.900	0.000	0.000	0.000	-3700.000	-2820.020	5473.360	-143.544	736.437	102	100	95	95	52	447.067	460.902	-28.763	531.500	22.986	-0.822	0	0	0
