step_idx	elapsed_s	attempted	trigger	planner_rebuilt	previous_path_points	raw_path_points	follow_path_points	status
0	0.000	1	lidar	0	649	83	649	replanned
1	0.386	0	none	0	649	0	649	not_attempted
2	0.676	0	none	0	649	0	649	not_attempted
3	0.946	0	none	0	649	0	649	not_attempted
4	1.283	0	none	0	649	0	649	not_attempted
5	1.566	0	none	0	649	0	649	not_attempted
6	1.843	0	none	0	649	0	649	not_attempted
7	2.122	0	none	0	649	0	649	not_attempted
8	2.474	0	none	0	649	0	649	not_attempted
9	2.785	0	none	0	649	0	649	not_attempted
10	3.065	0	none	0	649	0	649	not_attempted
11	3.335	0	none	0	649	0	649	not_attempted
12	3.608	0	none	0	649	0	649	not_attempted
13	3.886	0	none	0	649	0	649	not_attempted
14	4.157	0	none	0	649	0	649	not_attempted
15	4.427	0	none	0	649	0	649	not_attempted
16	4.701	0	none	0	649	0	649	not_attempted
17	4.970	0	none	0	649	0	649	not_attempted
18	5.240	0	none	0	649	0	649	not_attempted
19	5.526	0	none	0	649	0	649	not_attempted
20	5.821	0	none	0	649	0	649	not_attempted
21	6.099	0	none	0	649	0	649	not_attempted
22	6.377	0	none	0	649	0	649	not_attempted
23	6.665	0	none	0	649	0	649	not_attempted
24	6.953	0	none	0	649	0	649	not_attempted
25	7.220	0	none	0	649	0	649	not_attempted
26	7.514	0	none	0	649	0	649	not_attempted
27	7.787	0	none	0	649	0	649	not_attempted
28	8.068	0	none	0	649	0	649	not_attempted
29	8.344	0	none	0	649	0	649	not_attempted
30	8.623	0	none	0	649	0	649	not_attempted
31	8.894	0	none	0	649	0	649	not_attempted
32	9.165	0	none	0	649	0	649	not_attempted
33	9.436	0	none	0	649	0	649	not_attempted
34	9.710	0	none	0	649	0	649	not_attempted
35	9.981	0	none	0	649	0	649	not_attempted
36	10.253	0	none	0	649	0	649	not_attempted
37	10.594	0	none	0	649	0	649	not_attempted
38	10.878	0	none	0	649	0	649	not_attempted
39	11.152	0	none	0	649	0	649	not_attempted
40	11.452	0	none	0	649	0	649	not_attempted
41	11.754	0	none	0	649	0	649	not_attempted
42	12.028	0	none	0	649	0	649	not_attempted
43	12.310	0	none	0	649	0	649	not_attempted
44	12.584	0	none	0	649	0	649	not_attempted
45	12.874	0	none	0	649	0	649	not_attempted
