step_idx	elapsed_s	status	reverse_active	path_reverse_active	stuck_detection_armed	planner_rebuilt	replan_attempted	raw_path_points	follow_path_points	active_path_points	raw_rover_x	raw_rover_y	raw_rover_z	raw_heading_deg	rover_x_cm	rover_y_cm	rover_z_cm	rover_heading_deg	raw_pose_delta	pose_delta_cm	telemetry_throttle	telemetry_steering	telemetry_speed	telemetry_brakes	telemetry_distance_traveled	distance_traveled_delta	moved_since_anchor_cm	stationary_elapsed_s	goal_x_cm	goal_y_cm	goal_dist_cm	target_x_cm	target_y_cm	rover_cell_x	rover_cell_y	target_cell_x	target_cell_y	waypoint_idx	waypoint_distance_cm	waypoint_distance_avg_cm	path_heading_error_deg	throttle_cmd	steering_cmd	new_lidar_obstacles	stuck_obstacles_added	obstacle_total
0	0.000	Running	0	0	0	0	0	0	649	649	-5664.000	-10080.101	1440.500	179.900	300.000	1179.980	49.994	-89.900	0.000	0.000	0.000	0.000	0.000	1	353.800	0.000	0.000	0.000	-3700.000	-2820.020	5656.854	-3.553	876.427	104	104	97	97	57	429.289	429.289	-45.100	18.000	-1.000	0	0	0
1	0.372	Running	0	0	0	0	0	0	649	649	-5664.000	-10080.101	1440.500	179.900	300.000	1179.980	49.994	-89.900	0.000	0.000	18.000	1.000	0.000	0	353.800	0.000	0.000	0.372	-3700.000	-2820.020	5656.854	-3.553	876.427	104	104	97	97	57	429.289	429.289	-45.100	18.000	-1.000	0	0	0
2	0.656	Running	0	0	0	0	0	0	649	649	-5664.000	-10080.101	1440.400	179.900	300.000	1179.980	39.996	-89.900	0.100	9.998	18.000	1.000	0.000	0	353.800	0.000	0.000	0.656	-3700.000	-2820.020	5656.854	-3.553	876.427	104	104	97	97	57	429.289	429.289	-45.100	18.000	-1.000	0	0	0
3	0.928	Running	0	0	0	0	0	0	649	649	-5664.000	-10080.101	1440.400	179.900	300.000	1179.980	39.996	-89.900	0.000	0.000	18.000	1.000	0.000	0	353.800	0.000	0.000	0.928	-3700.000	-2820.020	5656.854	-3.553	876.427	104	104	97	97	57	429.289	429.289	-45.100	18.000	-1.000	0	0	0
4	1.198	Running	0	0	0	0	0	0	649	649	-5664.000	-10080.101	1440.400	179.900	300.000	1179.980	39.996	-89.900	0.000	0.000	18.000	1.000	0.000	0	353.800	0.000	0.000	1.198	-3700.000	-2820.020	5656.854	-3.553	876.427	104	104	97	97	57	429.289	429.289	-45.100	18.000	-1.000	0	0	0
5	1.469	Running	0	0	0	0	0	0	649	649	-5664.000	-10080.101	1440.400	179.900	300.000	1179.980	39.996	-89.900	0.000	0.000	18.000	1.000	0.000	0	353.900	0.100	0.000	1.469	-3700.000	-2820.020	5656.854	-3.553	876.427	104	104	97	97	57	429.289	429.289	-45.100	18.000	-1.000	0	0	0
6	1.745	Running	0	0	0	0	0	0	649	649	-5664.000	-10080.101	1440.400	179.900	300.000	1179.980	39.996	-89.900	0.000	0.000	18.000	1.000	0.000	0	353.900	0.000	0.000	1.745	-3700.000	-2820.020	5656.854	-3.553	876.427	104	104	97	97	57	429.289	429.289	-45.100	18.000	-1.000	0	0	0
7	2.016	Running	0	0	0	0	0	0	649	649	-5664.000	-10080.101	1440.400	179.900	300.000	1179.980	39.996	-89.900	0.000	0.000	18.000	1.000	0.000	0	353.900	0.000	0.000	2.016	-3700.000	-2820.020	5656.854	-3.553	876.427	104	104	97	97	57	429.289	429.289	-45.100	18.000	-1.000	0	0	0
8	2.289	Running	0	0	0	0	0	0	649	649	-5664.000	-10080.101	1440.400	179.900	300.000	1179.980	39.996	-89.900	0.000	0.000	18.000	1.000	0.000	0	353.900	0.000	0.000	2.289	-3700.000	-2820.020	5656.854	-3.553	876.427	104	104	97	97	57	429.289	429.289	-45.100	18.000	-1.000	0	0	0
9	2.569	Running	0	0	1	0	0	0	649	649	-5664.000	-10080.101	1440.400	180.200	300.000	1179.980	39.996	-90.200	0.000	0.000	18.000	1.000	0.300	0	354.000	0.100	0.000	0.000	-3700.000	-2820.020	5656.854	-3.553	876.427	104	104	97	97	57	429.289	429.289	-44.800	18.000	-1.000	0	0	0
10	2.843	Running	0	0	1	0	0	0	649	649	-5664.000	-10080.101	1440.400	180.200	300.000	1179.980	39.996	-90.200	0.000	0.000	18.000	1.000	0.300	0	354.000	0.000	0.000	0.000	-3700.000	-2820.020	5656.854	-3.553	876.427	104	104	97	97	57	429.289	429.289	-44.800	18.000	-1.000	0	0	0
11	3.140	Running	0	0	1	0	0	0	649	649	-5664.000	-10080.101	1440.400	180.200	300.000	1179.980	39.996	-90.200	0.000	0.000	18.000	1.000	0.300	0	354.000	0.000	0.000	0.000	-3700.000	-2820.020	5656.854	-3.553	876.427	104	104	97	97	57	429.289	429.289	-44.800	18.000	-1.000	0	0	0
12	3.409	Running	0	0	1	0	0	0	649	649	-5664.000	-10080.101	1440.400	180.200	300.000	1179.980	39.996	-90.200	0.000	0.000	18.000	1.000	0.300	0	354.000	0.000	0.000	0.000	-3700.000	-2820.020	5656.854	-3.553	876.427	104	104	97	97	57	429.289	429.289	-44.800	18.000	-1.000	0	0	0
13	3.682	Running	0	0	1	0	0	0	649	649	-5664.000	-10080.101	1440.500	181.000	300.000	1179.980	49.994	-91.000	0.100	9.998	18.000	1.000	0.600	0	354.000	0.000	0.000	0.000	-3700.000	-2820.020	5656.854	-3.553	876.427	104	104	97	97	57	429.289	429.289	-44.000	18.000	-1.000	0	0	0
14	3.956	Running	0	0	1	0	0	0	649	649	-5664.000	-10080.101	1440.500	181.000	300.000	1179.980	49.994	-91.000	0.000	0.000	18.000	1.000	0.600	0	354.000	0.000	0.000	0.000	-3700.000	-2820.020	5656.854	-3.553	876.427	104	104	97	97	57	429.289	429.289	-44.000	18.000	-1.000	0	0	0
15	4.232	Running	0	0	1	0	0	0	649	649	-5664.000	-10080.101	1440.500	181.000	300.000	1179.980	49.994	-91.000	0.000	0.000	18.000	1.000	0.600	0	354.000	0.000	0.000	0.000	-3700.000	-2820.020	5656.854	-3.553	876.427	104	104	97	97	57	429.289	429.289	-44.000	18.000	-1.000	0	0	0
16	4.505	Running	0	0	1	0	0	0	649	642	-5664.000	-10080.200	1440.400	182.000	300.000	1170.020	39.996	-92.000	0.141	14.113	18.000	1.000	0.800	0	354.100	0.100	9.961	0.000	-3700.000	-2820.020	5649.815	-53.553	826.427	104	103	96	96	58	493.007	433.037	-46.568	18.000	-1.000	0	0	0
17	4.788	Running	0	0	1	0	0	0	649	642	-5664.000	-10080.200	1440.400	182.000	300.000	1170.020	39.996	-92.000	0.000	0.000	18.000	1.000	0.800	0	354.100	0.000	0.000	0.000	-3700.000	-2820.020	5649.815	-53.553	826.427	104	103	96	96	58	493.007	436.369	-46.568	18.000	-1.000	0	0	0
18	5.067	Running	0	0	1	0	0	0	649	642	-5664.000	-10080.200	1440.400	182.000	300.000	1170.020	39.996	-92.000	0.000	0.000	18.000	1.000	0.800	0	354.100	0.000	0.000	0.000	-3700.000	-2820.020	5649.815	-53.553	826.427	104	103	96	96	58	493.007	439.350	-46.568	18.000	-1.000	0	0	0
19	5.374	Running	0	0	1	0	0	0	649	640	-5664.100	-10080.300	1440.400	183.400	289.990	1160.058	39.996	-93.400	0.141	14.122	18.000	1.000	1.000	0	354.200	0.100	14.122	0.000	-3700.000	-2820.020	5635.694	-63.563	816.417	103	103	96	96	58	493.041	442.035	-45.150	18.000	-1.000	0	0	0
20	5.689	Running	0	0	1	0	0	0	649	640	-5664.100	-10080.300	1440.400	183.400	289.990	1160.058	39.996	-93.400	0.000	0.000	18.000	1.000	1.000	0	354.200	0.000	0.000	0.000	-3700.000	-2820.020	5635.694	-63.563	816.417	103	103	96	96	58	493.041	444.463	-45.150	18.000	-1.000	0	0	0
21	5.976	Running	0	0	1	0	0	0	649	640	-5664.100	-10080.300	1440.400	183.400	289.990	1160.058	39.996	-93.400	0.000	0.000	18.000	1.000	1.000	0	354.200	0.000	0.000	0.000	-3700.000	-2820.020	5635.694	-63.563	816.417	103	103	96	96	58	493.041	446.671	-45.150	18.000	-1.000	0	0	0
22	6.278	Running	0	0	1	0	0	0	649	640	-5664.100	-10080.300	1440.400	183.400	289.990	1160.058	39.996	-93.400	0.000	0.000	18.000	1.000	1.000	0	354.200	0.000	0.000	0.000	-3700.000	-2820.020	5635.694	-63.563	816.417	103	103	96	96	58	493.041	448.688	-45.150	18.000	-1.000	0	0	0
23	6.593	Running	0	0	1	0	0	0	649	639	-5664.100	-10080.500	1440.400	185.000	289.990	1140.039	39.996	-95.000	0.200	20.019	18.000	1.000	1.200	0	354.400	0.200	20.019	0.000	-3700.000	-2820.020	5621.573	-63.563	816.417	103	103	96	96	57	479.303	449.963	-52.087	18.000	-1.000	0	0	0
24	6.866	Running	0	0	1	0	0	0	649	639	-5664.100	-10080.500	1440.400	185.000	289.990	1140.039	39.996	-95.000	0.000	0.000	18.000	1.000	1.200	0	354.400	0.000	0.000	0.000	-3700.000	-2820.020	5621.573	-63.563	816.417	103	103	96	96	57	479.303	451.137	-52.087	18.000	-1.000	0	0	0
25	7.143	Running	0	0	1	0	0	0	649	639	-5664.100	-10080.500	1440.400	185.000	289.990	1140.039	39.996	-95.000	0.000	0.000	18.000	1.000	1.200	0	354.400	0.000	0.000	0.000	-3700.000	-2820.020	5621.573	-63.563	816.417	103	103	96	96	57	479.303	452.220	-52.087	18.000	-1.000	0	0	0
26	7.431	Running	0	0	1	0	0	0	649	637	-5664.200	-10080.601	1440.500	186.800	279.980	1129.980	49.994	-96.800	0.174	17.359	18.000	1.000	1.400	0	354.500	0.100	14.190	0.000	-3700.000	-2820.020	5607.383	-73.573	806.408	103	103	96	96	56	479.270	453.222	-50.310	18.000	-1.000	0	0	0
27	7.706	Running	0	0	1	0	0	0	649	637	-5664.200	-10080.601	1440.500	186.800	279.980	1129.980	49.994	-96.800	0.000	0.000	18.000	1.000	1.400	0	354.500	0.000	0.000	0.000	-3700.000	-2820.020	5607.383	-73.573	806.408	103	103	96	96	56	479.270	454.152	-50.310	18.000	-1.000	0	0	0
28	7.979	Running	0	0	1	0	0	0	649	637	-5664.200	-10080.601	1440.500	186.800	279.980	1129.980	49.994	-96.800	0.000	0.000	18.000	1.000	1.400	0	354.500	0.000	0.000	0.000	-3700.000	-2820.020	5607.383	-73.573	806.408	103	103	96	96	56	479.270	455.018	-50.310	18.000	-1.000	0	0	0
29	8.256	Running	0	0	1	0	0	0	649	637	-5664.200	-10080.601	1440.500	186.800	279.980	1129.980	49.994	-96.800	0.000	0.000	18.000	1.000	1.400	0	354.500	0.000	0.000	0.000	-3700.000	-2820.020	5607.383	-73.573	806.408	103	103	96	96	56	479.270	455.827	-50.310	18.000	-1.000	0	0	0
30	8.578	Running	0	0	1	0	0	0	649	636	-5664.200	-10080.700	1440.500	188.900	279.980	1120.020	49.994	-98.900	0.100	9.961	18.000	1.000	1.600	0	354.700	0.200	9.961	0.000	-3700.000	-2820.020	5600.371	-73.573	806.408	103	102	96	96	55	472.602	456.368	-53.208	18.000	-1.000	0	0	0
31	8.856	Running	0	0	1	0	0	0	649	636	-5664.200	-10080.700	1440.500	188.900	279.980	1120.020	49.994	-98.900	0.000	0.000	18.000	1.000	1.600	0	354.700	0.000	0.000	0.000	-3700.000	-2820.020	5600.371	-73.573	806.408	103	102	96	96	55	472.602	456.875	-53.208	18.000	-1.000	0	0	0
32	9.139	Running	0	0	1	0	0	0	649	636	-5664.200	-10080.700	1440.500	188.900	279.980	1120.020	49.994	-98.900	0.000	0.000	18.000	1.000	1.600	0	354.700	0.000	0.000	0.000	-3700.000	-2820.020	5600.371	-73.573	806.408	103	102	96	96	55	472.602	457.352	-53.208	18.000	-1.000	0	0	0
33	9.411	Running	0	0	1	0	0	0	649	634	-5664.300	-10080.900	1440.500	191.600	269.971	1100.000	49.994	-101.600	0.224	22.383	18.000	1.000	1.800	0	354.900	0.200	22.383	0.000	-3700.000	-2820.020	5579.177	-83.583	796.398	103	102	96	96	55	466.020	457.607	-56.042	18.000	-1.000	0	0	0
34	9.699	Running	0	0	1	0	0	0	649	634	-5664.300	-10080.900	1440.500	191.600	269.971	1100.000	49.994	-101.600	0.000	0.000	18.000	1.000	1.800	0	354.900	0.000	0.000	0.000	-3700.000	-2820.020	5579.177	-83.583	796.398	103	102	96	96	55	466.020	457.847	-56.042	18.000	-1.000	0	0	0
