timestep,x_cm,y_cm,z_cm,yaw_deg,basis_xx,basis_xy,basis_xz,basis_yx,basis_yy,basis_yz,basis_zx,basis_zy,basis_zz,teleport_flag
0,-2710.009800,-7959.961000,9.991600,-91.400009,-0.024432,0.999701,0.000000,-0.999701,-0.024432,0.000000,0.000000,0.000000,1.000000,0
1,-2710.009800,-7959.961000,9.991600,-91.400009,-0.024432,0.999701,0.000000,-0.999701,-0.024432,0.000000,0.000000,0.000000,1.000000,0
2,-2710.009800,-7959.961000,9.991600,-91.400009,-0.024432,0.999701,0.000000,-0.999701,-0.024432,0.000000,0.000000,0.000000,1.000000,0
3,-2710.009800,-7959.961000,9.991600,-91.400009,-0.024432,0.999701,0.000000,-0.999701,-0.024432,0.000000,0.000000,0.000000,1.000000,0
4,-2710.009800,-7959.961000,9.991600,-91.400009,-0.024432,0.999701,0.000000,-0.999701,-0.024432,0.000000,0.000000,0.000000,1.000000,0
5,-2710.009800,-7959.961000,9.991600,-91.400009,-0.024432,0.999701,0.000000,-0.999701,-0.024432,0.000000,0.000000,0.000000,1.000000,0
6,-2710.009800,-7959.961000,9.991600,-91.400009,-0.024432,0.999701,0.000000,-0.999701,-0.024432,0.000000,0.000000,0.000000,1.000000,0
7,-2710.009800,-7959.961000,9.991600,-91.400009,-0.024432,0.999701,0.000000,-0.999701,-0.024432,0.000000,0.000000,0.000000,1.000000,0
8,-2710.009800,-7959.961000,9.991600,-91.699997,-0.029666,0.999560,0.000000,-0.999560,-0.029666,0.000000,0.000000,0.000000,1.000000,0
9,-2710.009800,-7959.961000,9.991600,-91.699997,-0.029666,0.999560,0.000000,-0.999560,-0.029666,0.000000,0.000000,0.000000,1.000000,0
10,-2710.009800,-7959.961000,9.991600,-91.699997,-0.029666,0.999560,0.000000,-0.999560,-0.029666,0.000000,0.000000,0.000000,1.000000,0
11,-2710.009800,-7959.961000,9.991600,-92.199997,-0.038388,0.999263,0.000000,-0.999263,-0.038388,0.000000,0.000000,0.000000,1.000000,0
12,-2710.009800,-7959.961000,9.991600,-92.199997,-0.038388,0.999263,0.000000,-0.999263,-0.038388,0.000000,0.000000,0.000000,1.000000,0
13,-2710.009800,-7959.961000,9.991600,-92.199997,-0.038388,0.999263,0.000000,-0.999263,-0.038388,0.000000,0.000000,0.000000,1.000000,0
14,-2710.009800,-7959.961000,9.991600,-92.199997,-0.038388,0.999263,0.000000,-0.999263,-0.038388,0.000000,0.000000,0.000000,1.000000,0
15,-2710.009800,-7970.019600,9.991600,-93.100006,-0.054079,0.998537,0.000000,-0.998537,-0.054079,0.000000,0.000000,0.000000,1.000000,0
16,-2710.009800,-7970.019600,9.991600,-93.100006,-0.054079,0.998537,0.000000,-0.998537,-0.054079,0.000000,0.000000,0.000000,1.000000,0
17,-2710.009800,-7970.019600,9.991600,-93.100006,-0.054079,0.998537,0.000000,-0.998537,-0.054079,0.000000,0.000000,0.000000,1.000000,0
18,-2720.019500,-7979.980500,9.991600,-94.300003,-0.074979,0.997185,0.000000,-0.997185,-0.074979,0.000000,0.000000,0.000000,1.000000,0
19,-2720.019500,-7979.980500,9.991600,-94.300003,-0.074979,0.997185,0.000000,-0.997185,-0.074979,0.000000,0.000000,0.000000,1.000000,0
20,-2720.019500,-7979.980500,9.991600,-94.300003,-0.074979,0.997185,0.000000,-0.997185,-0.074979,0.000000,0.000000,0.000000,1.000000,0
21,-2720.019500,-7979.980500,9.991600,-94.300003,-0.074979,0.997185,0.000000,-0.997185,-0.074979,0.000000,0.000000,0.000000,1.000000,0
22,-2720.019500,-7989.941500,9.991600,-95.800003,-0.101056,0.994881,0.000000,-0.994881,-0.101056,0.000000,0.000000,0.000000,1.000000,0
23,-2720.019500,-7989.941500,9.991600,-95.800003,-0.101056,0.994881,0.000000,-0.994881,-0.101056,0.000000,0.000000,0.000000,1.000000,0
24,-2720.019500,-7989.941500,9.991600,-95.800003,-0.101056,0.994881,0.000000,-0.994881,-0.101056,0.000000,0.000000,0.000000,1.000000,0
25,-2730.029300,-8000.000100,9.991600,-97.500000,-0.130526,0.991445,0.000000,-0.991445,-0.130526,0.000000,0.000000,0.000000,1.000000,0
26,-2730.029300,-8000.000100,9.991600,-97.500000,-0.130526,0.991445,0.000000,-0.991445,-0.130526,0.000000,0.000000,0.000000,1.000000,0
27,-2730.029300,-8000.000100,9.991600,-97.500000,-0.130526,0.991445,0.000000,-0.991445,-0.130526,0.000000,0.000000,0.000000,1.000000,0
28,-2739.990200,-8020.019600,9.991600,-99.500000,-0.165048,0.986286,0.000000,-0.986286,-0.165048,0.000000,0.000000,0.000000,1.000000,0
29,-2739.990200,-8020.019600,9.991600,-99.500000,-0.165048,0.986286,0.000000,-0.986286,-0.165048,0.000000,0.000000,0.000000,1.000000,0
30,-2739.990200,-8020.019600,9.991600,-99.500000,-0.165048,0.986286,0.000000,-0.986286,-0.165048,0.000000,0.000000,0.000000,1.000000,0
31,-2739.990200,-8020.019600,9.991600,-99.500000,-0.165048,0.986286,0.000000,-0.986286,-0.165048,0.000000,0.000000,0.000000,1.000000,0
32,-2750.000000,-8039.941500,9.991600,-102.000000,-0.207912,0.978148,0.000000,-0.978148,-0.207912,0.000000,0.000000,0.000000,1.000000,0
33,-2750.000000,-8039.941500,9.991600,-102.000000,-0.207912,0.978148,0.000000,-0.978148,-0.207912,0.000000,0.000000,0.000000,1.000000,0
34,-2750.000000,-8039.941500,9.991600,-102.000000,-0.207912,0.978148,0.000000,-0.978148,-0.207912,0.000000,0.000000,0.000000,1.000000,0
35,-2760.009800,-8050.000100,9.991600,-104.500000,-0.250380,0.968148,0.000000,-0.968148,-0.250380,0.000000,0.000000,0.000000,1.000000,0
36,-2760.009800,-8050.000100,9.991600,-104.500000,-0.250380,0.968148,0.000000,-0.968148,-0.250380,0.000000,0.000000,0.000000,1.000000,0
37,-2760.009800,-8050.000100,9.991600,-104.500000,-0.250380,0.968148,0.000000,-0.968148,-0.250380,0.000000,0.000000,0.000000,1.000000,0
