step_idx	elapsed_s	sensor_idx	sensor_label	raw_cm	mask_hit	sensor_world_x_cm	sensor_world_y_cm	sensor_cell_x	sensor_cell_y	rover_x_cm	rover_y_cm	rover_heading_deg
7	2.344	0	front_left_wheel_hub_yaw_p30	0.000	0	-2472.534	-8217.119	108	98	-2710.010	-7959.961	-91.700
8	2.635	0	front_left_wheel_hub_yaw_p30	0.000	0	-2472.534	-8217.119	108	98	-2710.010	-7959.961	-91.700
9	2.919	0	front_left_wheel_hub_yaw_p30	0.000	0	-2472.534	-8217.119	108	98	-2710.010	-7959.961	-91.700
14	4.420	0	front_left_wheel_hub_yaw_p30	0.000	0	-2478.888	-8232.903	108	98	-2710.010	-7970.020	-93.100
15	4.696	0	front_left_wheel_hub_yaw_p30	0.000	0	-2478.888	-8232.903	108	98	-2710.010	-7970.020	-93.100
16	4.975	0	front_left_wheel_hub_yaw_p30	0.000	0	-2478.888	-8232.903	108	98	-2710.010	-7970.020	-93.100
17	5.253	0	front_left_wheel_hub_yaw_p30	0.000	0	-2494.454	-8247.647	108	98	-2720.020	-7979.980	-94.300
18	5.554	0	front_left_wheel_hub_yaw_p30	0.000	0	-2494.454	-8247.647	108	98	-2720.020	-7979.980	-94.300
19	5.841	0	front_left_wheel_hub_yaw_p30	0.000	0	-2494.454	-8247.647	108	98	-2720.020	-7979.980	-94.300
20	6.124	0	front_left_wheel_hub_yaw_p30	0.000	0	-2494.454	-8247.647	108	98	-2720.020	-7979.980	-94.300
27	8.149	0	front_left_wheel_hub_yaw_p30	0.000	1	-2539.612	-8307.028	107	97	-2739.990	-8020.020	-99.500
28	8.497	0	front_left_wheel_hub_yaw_p30	0.000	0	-2539.612	-8307.028	107	97	-2739.990	-8020.020	-99.500
29	8.780	0	front_left_wheel_hub_yaw_p30	0.000	0	-2539.612	-8307.028	107	97	-2739.990	-8020.020	-99.500
30	9.073	0	front_left_wheel_hub_yaw_p30	0.000	0	-2539.612	-8307.028	107	97	-2739.990	-8020.020	-99.500
37	11.210	0	front_left_wheel_hub_yaw_p30	0.000	0	-2610.447	-8381.567	105	95	-2770.020	-8070.020	-107.300
38	11.505	0	front_left_wheel_hub_yaw_p30	0.000	0	-2610.447	-8381.567	105	95	-2770.020	-8070.020	-107.300
39	11.800	0	front_left_wheel_hub_yaw_p30	0.000	0	-2610.447	-8381.567	105	95	-2770.020	-8070.020	-107.300
40	12.081	0	front_left_wheel_hub_yaw_p30	0.000	0	-2610.447	-8381.567	105	95	-2770.020	-8070.020	-107.300
41	12.399	0	front_left_wheel_hub_yaw_p30	0.000	0	-2619.913	-8411.268	105	94	-2780.029	-8100.000	-107.200
42	12.685	0	front_left_wheel_hub_yaw_p30	0.000	0	-2619.913	-8411.268	105	94	-2780.029	-8100.000	-107.200
43	12.972	0	front_left_wheel_hub_yaw_p30	0.000	0	-2619.913	-8411.268	105	94	-2780.029	-8100.000	-107.200
44	13.264	0	front_left_wheel_hub_yaw_p30	0.000	0	-2609.681	-8425.808	106	94	-2780.029	-8120.020	-105.300
45	13.580	0	front_left_wheel_hub_yaw_p30	0.000	0	-2609.681	-8425.808	106	94	-2780.029	-8120.020	-105.300
46	13.896	0	front_left_wheel_hub_yaw_p30	0.000	0	-2609.681	-8425.808	106	94	-2780.029	-8120.020	-105.300
47	14.210	0	front_left_wheel_hub_yaw_p30	0.000	0	-2599.113	-8429.637	106	94	-2780.029	-8129.980	-103.300
48	14.507	0	front_left_wheel_hub_yaw_p30	0.000	0	-2599.113	-8429.637	106	94	-2780.029	-8129.980	-103.300
49	14.789	0	front_left_wheel_hub_yaw_p30	0.000	0	-2599.113	-8429.637	106	94	-2780.029	-8129.980	-103.300
50	15.105	0	front_left_wheel_hub_yaw_p30	0.000	0	-2599.113	-8429.637	106	94	-2780.029	-8129.980	-103.300
51	15.409	0	front_left_wheel_hub_yaw_p30	0.000	0	-2592.361	-8435.417	106	94	-2780.029	-8139.942	-102.000
52	15.705	0	front_left_wheel_hub_yaw_p30	0.000	0	-2592.361	-8435.417	106	94	-2780.029	-8139.942	-102.000
53	15.988	0	front_left_wheel_hub_yaw_p30	0.000	0	-2592.361	-8435.417	106	94	-2780.029	-8139.942	-102.000
58	17.462	0	front_left_wheel_hub_yaw_p30	0.000	0	-2574.681	-8450.422	106	94	-2770.020	-8159.961	-100.500
59	17.775	0	front_left_wheel_hub_yaw_p30	0.000	1	-2574.681	-8450.422	106	94	-2770.020	-8159.961	-100.500
60	18.057	0	front_left_wheel_hub_yaw_p30	0.000	1	-2574.681	-8450.422	106	94	-2770.020	-8159.961	-100.500
61	18.407	0	front_left_wheel_hub_yaw_p30	0.000	1	-2573.668	-8449.739	106	94	-2770.020	-8159.961	-100.300
62	18.691	0	front_left_wheel_hub_yaw_p30	0.000	1	-2573.668	-8449.739	106	94	-2770.020	-8159.961	-100.300
63	18.987	0	front_left_wheel_hub_yaw_p30	0.000	1	-2573.668	-8449.739	106	94	-2770.020	-8159.961	-100.300
64	19.266	0	front_left_wheel_hub_yaw_p30	0.000	1	-2574.681	-8450.422	106	94	-2770.020	-8159.961	-100.500
65	19.599	0	front_left_wheel_hub_yaw_p30	0.000	1	-2574.681	-8450.422	106	94	-2770.020	-8159.961	-100.500
66	19.880	0	front_left_wheel_hub_yaw_p30	0.000	1	-2574.681	-8450.422	106	94	-2770.020	-8159.961	-100.500
71	21.362	0	front_left_wheel_hub_yaw_p30	0.000	0	-2591.846	-8445.147	106	94	-2780.029	-8150.000	-101.900
72	21.664	0	front_left_wheel_hub_yaw_p30	0.000	0	-2591.846	-8445.147	106	94	-2780.029	-8150.000	-101.900
73	21.990	0	front_left_wheel_hub_yaw_p30	0.000	0	-2591.846	-8445.147	106	94	-2780.029	-8150.000	-101.900
91	27.347	0	front_left_wheel_hub_yaw_p30	0.000	0	-2660.188	-8378.882	104	95	-2780.029	-8050.000	-114.400
92	27.676	0	front_left_wheel_hub_yaw_p30	0.000	0	-2660.188	-8378.882	104	95	-2780.029	-8050.000	-114.400
93	27.990	0	front_left_wheel_hub_yaw_p30	0.000	0	-2660.188	-8378.882	104	95	-2780.029	-8050.000	-114.400
94	28.289	0	front_left_wheel_hub_yaw_p30	0.000	0	-2660.188	-8378.882	104	95	-2780.029	-8050.000	-114.400
95	28.589	0	front_left_wheel_hub_yaw_p30	0.000	0	-2669.309	-8355.254	104	96	-2770.020	-8020.020	-117.700
96	28.916	0	front_left_wheel_hub_yaw_p30	0.000	0	-2669.309	-8355.254	104	96	-2770.020	-8020.020	-117.700
97	29.200	0	front_left_wheel_hub_yaw_p30	0.000	0	-2688.773	-8330.418	104	96	-2770.020	-7989.942	-121.000
98	29.691	0	front_left_wheel_hub_yaw_p30	0.000	0	-2688.773	-8330.418	104	96	-2770.020	-7989.942	-121.000
99	30.092	0	front_left_wheel_hub_yaw_p30	0.000	0	-2688.773	-8330.418	104	96	-2770.020	-7989.942	-121.000
100	30.454	0	front_left_wheel_hub_yaw_p30	0.000	0	-2701.507	-8305.073	104	97	-2760.010	-7959.961	-124.800
101	30.754	0	front_left_wheel_hub_yaw_p30	0.000	0	-2701.507	-8305.073	104	97	-2760.010	-7959.961	-124.800
102	31.116	0	front_left_wheel_hub_yaw_p30	0.000	0	-2701.507	-8305.073	104	97	-2760.010	-7959.961	-124.800
103	31.519	0	front_left_wheel_hub_yaw_p30	0.000	0	-2710.246	-8277.751	103	97	-2750.000	-7929.980	-127.900
104	31.891	0	front_left_wheel_hub_yaw_p30	0.000	0	-2710.246	-8277.751	103	97	-2750.000	-7929.980	-127.900
105	32.314	0	front_left_wheel_hub_yaw_p30	0.000	0	-2681.790	-8256.657	104	98	-2730.029	-7909.961	-126.500
106	32.656	0	front_left_wheel_hub_yaw_p30	0.000	0	-2681.790	-8256.657	104	98	-2730.029	-7909.961	-126.500
107	33.071	0	front_left_wheel_hub_yaw_p30	0.000	0	-2681.790	-8256.657	104	98	-2730.029	-7909.961	-126.500
108	33.407	0	front_left_wheel_hub_yaw_p30	0.000	0	-2645.493	-8244.039	105	98	-2710.010	-7900.000	-123.800
109	33.774	0	front_left_wheel_hub_yaw_p30	0.000	0	-2645.493	-8244.039	105	98	-2710.010	-7900.000	-123.800
110	34.066	0	front_left_wheel_hub_yaw_p30	0.000	0	-2645.493	-8244.039	105	98	-2710.010	-7900.000	-123.800
111	34.449	0	front_left_wheel_hub_yaw_p30	0.000	0	-2622.323	-8231.250	105	98	-2700.000	-7889.942	-121.600
112	34.811	0	front_left_wheel_hub_yaw_p30	0.000	0	-2622.323	-8231.250	105	98	-2700.000	-7889.942	-121.600
113	35.095	0	front_left_wheel_hub_yaw_p30	0.000	0	-2622.323	-8231.250	105	98	-2700.000	-7889.942	-121.600
114	35.384	0	front_left_wheel_hub_yaw_p30	0.000	0	-2601.040	-8218.526	106	98	-2689.990	-7879.980	-119.700
115	35.662	0	front_left_wheel_hub_yaw_p30	0.000	0	-2601.040	-8218.526	106	98	-2689.990	-7879.980	-119.700
116	36.015	0	front_left_wheel_hub_yaw_p30	0.000	0	-2601.040	-8218.526	106	98	-2689.990	-7879.980	-119.700
117	36.447	0	front_left_wheel_hub_yaw_p30	0.000	0	-2582.834	-8206.291	106	99	-2680.029	-7870.020	-118.300
118	36.847	0	front_left_wheel_hub_yaw_p30	0.000	0	-2582.834	-8206.291	106	99	-2680.029	-7870.020	-118.300
119	37.155	0	front_left_wheel_hub_yaw_p30	0.000	0	-2582.834	-8206.291	106	99	-2680.029	-7870.020	-118.300
120	37.453	0	front_left_wheel_hub_yaw_p30	0.000	0	-2565.804	-8194.123	106	99	-2670.020	-7859.961	-117.100
121	37.820	0	front_left_wheel_hub_yaw_p30	0.000	0	-2565.804	-8194.123	106	99	-2670.020	-7859.961	-117.100
122	38.214	0	front_left_wheel_hub_yaw_p30	0.000	0	-2565.804	-8194.123	106	99	-2670.020	-7859.961	-117.100
123	38.586	0	front_left_wheel_hub_yaw_p30	0.000	0	-2562.892	-8193.201	106	99	-2670.020	-7859.961	-116.600
124	38.967	0	front_left_wheel_hub_yaw_p30	0.000	0	-2562.892	-8193.201	106	99	-2670.020	-7859.961	-116.600
125	39.324	0	front_left_wheel_hub_yaw_p30	0.000	0	-2551.719	-8192.825	107	99	-2660.010	-7859.961	-116.400
126	39.691	0	front_left_wheel_hub_yaw_p30	0.000	0	-2551.719	-8192.825	107	99	-2660.010	-7859.961	-116.400
127	40.103	0	front_left_wheel_hub_yaw_p30	0.000	0	-2551.719	-8192.825	107	99	-2660.010	-7859.961	-116.400
128	40.437	0	front_left_wheel_hub_yaw_p30	0.000	0	-2562.892	-8193.201	106	99	-2670.020	-7859.961	-116.600
129	40.743	0	front_left_wheel_hub_yaw_p30	0.000	0	-2562.892	-8193.201	106	99	-2670.020	-7859.961	-116.600
130	41.027	0	front_left_wheel_hub_yaw_p30	0.000	0	-2562.892	-8193.201	106	99	-2670.020	-7859.961	-116.600
131	41.369	0	front_left_wheel_hub_yaw_p30	0.000	0	-2566.387	-8194.304	106	99	-2670.020	-7859.961	-117.200
132	41.755	0	front_left_wheel_hub_yaw_p30	0.000	0	-2566.387	-8194.304	106	99	-2670.020	-7859.961	-117.200
133	42.074	0	front_left_wheel_hub_yaw_p30	0.000	0	-2566.387	-8194.304	106	99	-2670.020	-7859.961	-117.200
134	42.360	0	front_left_wheel_hub_yaw_p30	0.000	0	-2572.238	-8206.120	106	99	-2670.020	-7870.020	-118.200
135	42.727	0	front_left_wheel_hub_yaw_p30	0.000	0	-2572.238	-8206.120	106	99	-2670.020	-7870.020	-118.200
136	43.101	0	front_left_wheel_hub_yaw_p30	0.000	0	-2572.238	-8206.120	106	99	-2670.020	-7870.020	-118.200
137	43.398	0	front_left_wheel_hub_yaw_p30	0.000	0	-2590.489	-8208.409	106	99	-2680.029	-7870.020	-119.600
138	43.767	0	front_left_wheel_hub_yaw_p30	0.000	0	-2590.489	-8208.409	106	99	-2680.029	-7870.020	-119.600
139	44.085	0	front_left_wheel_hub_yaw_p30	0.000	0	-2590.489	-8208.409	106	99	-2680.029	-7870.020	-119.600
140	44.424	0	front_left_wheel_hub_yaw_p30	0.000	0	-2611.123	-8221.016	105	98	-2689.990	-7879.980	-121.400
141	44.748	0	front_left_wheel_hub_yaw_p30	0.000	0	-2611.123	-8221.016	105	98	-2689.990	-7879.980	-121.400
142	45.047	0	front_left_wheel_hub_yaw_p30	0.000	0	-2611.123	-8221.016	105	98	-2689.990	-7879.980	-121.400
143	45.367	0	front_left_wheel_hub_yaw_p30	0.000	0	-2642.493	-8233.404	105	98	-2710.010	-7889.942	-123.300
144	45.658	0	front_left_wheel_hub_yaw_p30	0.000	0	-2642.493	-8233.404	105	98	-2710.010	-7889.942	-123.300
145	45.950	0	front_left_wheel_hub_yaw_p30	0.000	0	-2642.493	-8233.404	105	98	-2710.010	-7889.942	-123.300
146	46.305	0	front_left_wheel_hub_yaw_p30	0.000	0	-2666.341	-8255.856	104	98	-2720.020	-7909.961	-125.600
147	46.681	0	front_left_wheel_hub_yaw_p30	0.000	0	-2666.341	-8255.856	104	98	-2720.020	-7909.961	-125.600
148	47.041	0	front_left_wheel_hub_yaw_p30	0.000	0	-2666.341	-8255.856	104	98	-2720.020	-7909.961	-125.600
149	47.340	0	front_left_wheel_hub_yaw_p30	0.000	0	-2701.450	-8267.927	104	97	-2739.990	-7920.020	-128.100
150	47.703	0	front_left_wheel_hub_yaw_p30	0.000	0	-2701.450	-8267.927	104	97	-2739.990	-7920.020	-128.100
151	48.066	0	front_left_wheel_hub_yaw_p30	0.000	0	-2701.450	-8267.927	104	97	-2739.990	-7920.020	-128.100
152	48.357	0	front_left_wheel_hub_yaw_p30	0.000	0	-2739.121	-8279.392	103	97	-2760.010	-7929.980	-131.000
153	48.714	0	front_left_wheel_hub_yaw_p30	0.000	0	-2739.121	-8279.392	103	97	-2760.010	-7929.980	-131.000
154	49.084	0	front_left_wheel_hub_yaw_p30	0.000	0	-2739.121	-8279.392	103	97	-2760.010	-7929.980	-131.000
155	49.448	0	front_left_wheel_hub_yaw_p30	0.000	0	-2777.456	-8289.968	102	97	-2780.029	-7939.942	-134.000
156	49.798	0	front_left_wheel_hub_yaw_p30	0.000	0	-2777.456	-8289.968	102	97	-2780.029	-7939.942	-134.000
157	50.090	0	front_left_wheel_hub_yaw_p30	0.000	0	-2777.456	-8289.968	102	97	-2780.029	-7939.942	-134.000
158	50.375	0	front_left_wheel_hub_yaw_p30	0.000	0	-2818.190	-8309.524	101	97	-2800.000	-7959.961	-137.400
159	50.758	0	front_left_wheel_hub_yaw_p30	0.000	0	-2818.190	-8309.524	101	97	-2800.000	-7959.961	-137.400
160	51.127	0	front_left_wheel_hub_yaw_p30	0.000	0	-2867.704	-8318.022	100	96	-2830.029	-7970.020	-140.600
161	51.518	0	front_left_wheel_hub_yaw_p30	0.000	0	-2867.704	-8318.022	100	96	-2830.029	-7970.020	-140.600
162	51.886	0	front_left_wheel_hub_yaw_p30	0.000	0	-2867.704	-8318.022	100	96	-2830.029	-7970.020	-140.600
163	52.246	0	front_left_wheel_hub_yaw_p30	0.000	0	-2894.954	-8327.118	100	96	-2850.000	-7979.980	-141.800
164	52.601	0	front_left_wheel_hub_yaw_p30	0.000	0	-2894.954	-8327.118	100	96	-2850.000	-7979.980	-141.800
165	52.964	0	front_left_wheel_hub_yaw_p30	0.000	0	-2894.954	-8327.118	100	96	-2850.000	-7979.980	-141.800
166	53.331	0	front_left_wheel_hub_yaw_p30	0.000	0	-2904.048	-8348.378	100	96	-2870.020	-8000.000	-140.000
167	53.739	0	front_left_wheel_hub_yaw_p30	0.000	0	-2904.048	-8348.378	100	96	-2870.020	-8000.000	-140.000
168	54.201	0	front_left_wheel_hub_yaw_p30	0.000	0	-2904.048	-8348.378	100	96	-2870.020	-8000.000	-140.000
169	54.498	0	front_left_wheel_hub_yaw_p30	0.000	0	-2900.049	-8359.424	100	96	-2880.029	-8009.961	-137.700
170	54.781	0	front_left_wheel_hub_yaw_p30	0.000	0	-2900.049	-8359.424	100	96	-2880.029	-8009.961	-137.700
171	55.119	0	front_left_wheel_hub_yaw_p30	0.000	0	-2900.049	-8359.424	100	96	-2880.029	-8009.961	-137.700
172	55.439	0	front_left_wheel_hub_yaw_p30	0.000	1	-2887.841	-8379.929	100	95	-2880.029	-8029.980	-135.700
173	55.807	0	front_left_wheel_hub_yaw_p30	0.000	1	-2887.841	-8379.929	100	95	-2880.029	-8029.980	-135.700
174	56.166	0	front_left_wheel_hub_yaw_p30	0.000	1	-2887.841	-8379.929	100	95	-2880.029	-8029.980	-135.700
175	56.492	0	front_left_wheel_hub_yaw_p30	0.000	1	-2888.027	-8389.972	100	95	-2889.990	-8039.942	-134.100
176	56.867	0	front_left_wheel_hub_yaw_p30	0.000	1	-2888.027	-8389.972	100	95	-2889.990	-8039.942	-134.100
177	57.167	0	front_left_wheel_hub_yaw_p30	0.000	1	-2888.027	-8389.972	100	95	-2889.990	-8039.942	-134.100
178	57.459	0	front_left_wheel_hub_yaw_p30	0.000	1	-2890.097	-8399.896	100	95	-2900.000	-8050.000	-132.800
179	57.829	0	front_left_wheel_hub_yaw_p30	0.000	1	-2890.097	-8399.896	100	95	-2900.000	-8050.000	-132.800
180	58.161	0	front_left_wheel_hub_yaw_p30	0.000	1	-2883.381	-8409.602	100	95	-2900.000	-8059.961	-131.700
181	58.681	0	front_left_wheel_hub_yaw_p30	0.000	1	-2883.381	-8409.602	100	95	-2900.000	-8059.961	-131.700
182	59.048	0	front_left_wheel_hub_yaw_p30	0.000	1	-2883.381	-8409.602	100	95	-2900.000	-8059.961	-131.700
183	59.469	0	front_left_wheel_hub_yaw_p30	0.000	1	-2879.721	-8409.409	100	95	-2900.000	-8059.961	-131.100
184	59.836	0	front_left_wheel_hub_yaw_p30	0.000	1	-2879.721	-8409.409	100	95	-2900.000	-8059.961	-131.100
185	60.198	0	front_left_wheel_hub_yaw_p30	0.000	1	-2878.501	-8419.394	100	94	-2900.000	-8070.020	-130.900
186	60.566	0	front_left_wheel_hub_yaw_p30	0.000	1	-2878.501	-8419.394	100	94	-2900.000	-8070.020	-130.900
187	60.857	0	front_left_wheel_hub_yaw_p30	0.000	1	-2878.501	-8419.394	100	94	-2900.000	-8070.020	-130.900
188	61.140	0	front_left_wheel_hub_yaw_p30	0.000	1	-2878.501	-8419.394	100	94	-2900.000	-8070.020	-130.900
189	61.434	0	front_left_wheel_hub_yaw_p30	0.000	1	-2880.331	-8409.444	100	95	-2900.000	-8059.961	-131.200
190	61.714	0	front_left_wheel_hub_yaw_p30	0.000	1	-2880.331	-8409.444	100	95	-2900.000	-8059.961	-131.200
191	62.002	0	front_left_wheel_hub_yaw_p30	0.000	1	-2880.331	-8409.444	100	95	-2900.000	-8059.961	-131.200
192	62.298	0	front_left_wheel_hub_yaw_p30	0.000	1	-2883.381	-8409.602	100	95	-2900.000	-8059.961	-131.700
193	62.682	0	front_left_wheel_hub_yaw_p30	0.000	1	-2883.381	-8409.602	100	95	-2900.000	-8059.961	-131.700
194	62.989	0	front_left_wheel_hub_yaw_p30	0.000	1	-2883.381	-8409.602	100	95	-2900.000	-8059.961	-131.700
195	63.278	0	front_left_wheel_hub_yaw_p30	0.000	1	-2888.875	-8399.859	100	95	-2900.000	-8050.000	-132.600
196	63.725	0	front_left_wheel_hub_yaw_p30	0.000	1	-2888.875	-8399.859	100	95	-2900.000	-8050.000	-132.600
197	64.078	0	front_left_wheel_hub_yaw_p30	0.000	1	-2888.875	-8399.859	100	95	-2900.000	-8050.000	-132.600
198	64.440	0	front_left_wheel_hub_yaw_p30	0.000	1	-2885.584	-8400.008	100	95	-2889.990	-8050.000	-133.700
199	64.797	0	front_left_wheel_hub_yaw_p30	0.000	1	-2885.584	-8400.008	100	95	-2889.990	-8050.000	-133.700
200	65.102	0	front_left_wheel_hub_yaw_p30	0.000	1	-2885.584	-8400.008	100	95	-2889.990	-8050.000	-133.700
201	65.480	0	front_left_wheel_hub_yaw_p30	0.000	1	-2894.137	-8389.953	100	95	-2889.990	-8039.942	-135.100
202	65.846	0	front_left_wheel_hub_yaw_p30	0.000	1	-2894.137	-8389.953	100	95	-2889.990	-8039.942	-135.100
203	66.232	0	front_left_wheel_hub_yaw_p30	0.000	1	-2893.947	-8369.779	100	95	-2880.029	-8020.020	-136.700
204	66.529	0	front_left_wheel_hub_yaw_p30	0.000	1	-2893.947	-8369.779	100	95	-2880.029	-8020.020	-136.700
205	66.932	0	front_left_wheel_hub_yaw_p30	0.000	1	-2893.947	-8369.779	100	95	-2880.029	-8020.020	-136.700
206	67.237	0	front_left_wheel_hub_yaw_p30	0.000	1	-2893.947	-8369.779	100	95	-2880.029	-8020.020	-136.700
207	67.530	0	front_left_wheel_hub_yaw_p30	0.000	1	-2896.744	-8358.975	100	96	-2870.020	-8009.961	-138.800
208	67.894	0	front_left_wheel_hub_yaw_p30	0.000	1	-2896.744	-8358.975	100	96	-2870.020	-8009.961	-138.800
209	68.302	0	front_left_wheel_hub_yaw_p30	0.000	0	-2908.908	-8347.869	100	96	-2870.020	-8000.000	-140.800
210	68.604	0	front_left_wheel_hub_yaw_p30	0.000	0	-2908.908	-8347.869	100	96	-2870.020	-8000.000	-140.800
211	68.992	0	front_left_wheel_hub_yaw_p30	0.000	0	-2908.908	-8347.869	100	96	-2870.020	-8000.000	-140.800
212	69.275	0	front_left_wheel_hub_yaw_p30	0.000	0	-2912.828	-8326.008	99	96	-2860.010	-7979.980	-143.100
213	69.601	0	front_left_wheel_hub_yaw_p30	0.000	0	-2912.828	-8326.008	99	96	-2860.010	-7979.980	-143.100
214	69.959	0	front_left_wheel_hub_yaw_p30	0.000	0	-2912.828	-8326.008	99	96	-2860.010	-7979.980	-143.100
215	70.398	0	front_left_wheel_hub_yaw_p30	0.000	0	-2908.451	-8303.237	100	97	-2839.990	-7959.961	-145.700
216	70.751	0	front_left_wheel_hub_yaw_p30	0.000	0	-2908.451	-8303.237	100	97	-2839.990	-7959.961	-145.700
217	71.043	0	front_left_wheel_hub_yaw_p30	0.000	0	-2908.451	-8303.237	100	97	-2839.990	-7959.961	-145.700
218	71.434	0	front_left_wheel_hub_yaw_p30	0.000	0	-2916.362	-8279.164	99	97	-2830.029	-7939.942	-148.700
219	71.791	0	front_left_wheel_hub_yaw_p30	0.000	0	-2916.362	-8279.164	99	97	-2830.029	-7939.942	-148.700
220	72.097	0	front_left_wheel_hub_yaw_p30	0.000	0	-2916.362	-8279.164	99	97	-2830.029	-7939.942	-148.700
221	72.383	0	front_left_wheel_hub_yaw_p30	0.000	0	-2911.642	-8264.937	99	97	-2810.010	-7929.980	-151.300
222	72.782	0	front_left_wheel_hub_yaw_p30	0.000	0	-2911.642	-8264.937	99	97	-2810.010	-7929.980	-151.300
223	73.150	0	front_left_wheel_hub_yaw_p30	0.000	0	-2912.454	-8237.875	99	98	-2789.990	-7909.961	-154.900
224	73.534	0	front_left_wheel_hub_yaw_p30	0.000	0	-2912.454	-8237.875	99	98	-2789.990	-7909.961	-154.900
225	73.820	0	front_left_wheel_hub_yaw_p30	0.000	0	-2912.454	-8237.875	99	98	-2789.990	-7909.961	-154.900
226	74.138	0	front_left_wheel_hub_yaw_p30	0.000	0	-2912.454	-8237.875	99	98	-2789.990	-7909.961	-154.900
227	74.504	0	front_left_wheel_hub_yaw_p30	0.000	0	-2912.273	-8209.768	99	99	-2770.020	-7889.942	-158.400
228	74.815	0	front_left_wheel_hub_yaw_p30	0.000	0	-2912.273	-8209.768	99	99	-2770.020	-7889.942	-158.400
229	75.120	0	front_left_wheel_hub_yaw_p30	0.000	0	-2912.273	-8209.768	99	99	-2770.020	-7889.942	-158.400
230	75.447	0	front_left_wheel_hub_yaw_p30	0.000	0	-2912.055	-8180.283	99	99	-2750.000	-7870.020	-162.000
231	75.733	0	front_left_wheel_hub_yaw_p30	0.000	0	-2912.055	-8180.283	99	99	-2750.000	-7870.020	-162.000
232	76.094	0	front_left_wheel_hub_yaw_p30	0.000	0	-2912.055	-8180.283	99	99	-2750.000	-7870.020	-162.000
233	76.434	0	front_left_wheel_hub_yaw_p30	0.000	0	-2911.768	-8149.159	99	100	-2730.029	-7850.000	-165.700
234	76.795	0	front_left_wheel_hub_yaw_p30	0.000	0	-2911.768	-8149.159	99	100	-2730.029	-7850.000	-165.700
235	77.158	0	front_left_wheel_hub_yaw_p30	0.000	0	-2911.768	-8149.159	99	100	-2730.029	-7850.000	-165.700
236	77.470	0	front_left_wheel_hub_yaw_p30	0.000	0	-2895.631	-8113.242	100	100	-2689.990	-7829.980	-170.400
237	77.847	0	front_left_wheel_hub_yaw_p30	0.000	0	-2895.631	-8113.242	100	100	-2689.990	-7829.980	-170.400
238	78.181	0	front_left_wheel_hub_yaw_p30	0.000	0	-2895.631	-8113.242	100	100	-2689.990	-7829.980	-170.400
239	78.472	0	front_left_wheel_hub_yaw_p30	0.000	1	-2887.705	-8085.876	100	101	-2660.010	-7820.020	-175.000
240	78.771	0	front_left_wheel_hub_yaw_p30	0.000	1	-2887.705	-8085.876	100	101	-2660.010	-7820.020	-175.000
241	79.125	0	front_left_wheel_hub_yaw_p30	0.000	1	-2887.705	-8085.876	100	101	-2660.010	-7820.020	-175.000
242	79.481	0	front_left_wheel_hub_yaw_p30	0.000	0	-2865.059	-8069.356	100	101	-2630.029	-7809.961	-176.600
