step_idx	elapsed_s	attempted	trigger	planner_rebuilt	previous_path_points	raw_path_points	follow_path_points	status
0	0.000	0	none	0	649	0	649	not_attempted
1	0.671	0	none	0	649	0	649	not_attempted
2	1.002	0	none	0	649	0	649	not_attempted
3	1.274	0	none	0	649	0	649	not_attempted
4	1.542	0	none	0	649	0	649	not_attempted
5	1.850	0	none	0	649	0	649	not_attempted
6	2.148	0	none	0	649	0	649	not_attempted
7	2.425	0	none	0	649	0	649	not_attempted
8	2.702	0	none	0	649	0	649	not_attempted
9	2.972	0	none	0	649	0	649	not_attempted
10	3.289	0	none	0	649	0	649	not_attempted
11	3.580	0	none	0	649	0	649	not_attempted
12	3.850	0	none	0	649	0	649	not_attempted
13	4.120	0	none	0	649	0	649	not_attempted
14	4.392	0	none	0	649	0	649	not_attempted
15	4.679	0	none	0	649	0	649	not_attempted
16	4.946	0	none	0	649	0	649	not_attempted
17	5.222	0	none	0	649	0	649	not_attempted
18	5.491	0	none	0	649	0	649	not_attempted
19	5.765	0	none	0	649	0	649	not_attempted
20	6.049	0	none	0	649	0	649	not_attempted
21	6.355	0	none	0	649	0	649	not_attempted
22	6.634	0	none	0	649	0	649	not_attempted
23	6.903	0	none	0	649	0	649	not_attempted
24	7.178	0	none	0	649	0	649	not_attempted
25	7.456	0	none	0	649	0	649	not_attempted
26	7.726	0	none	0	649	0	649	not_attempted
27	7.999	0	none	0	649	0	649	not_attempted
28	8.284	0	none	0	649	0	649	not_attempted
29	8.610	0	none	0	649	0	649	not_attempted
30	8.928	0	none	0	649	0	649	not_attempted
31	9.200	0	none	0	649	0	649	not_attempted
32	9.476	0	none	0	649	0	649	not_attempted
33	9.748	0	none	0	649	0	649	not_attempted
34	10.020	0	none	0	649	0	649	not_attempted
35	10.299	0	none	0	649	0	649	not_attempted
36	10.569	0	none	0	649	0	649	not_attempted
37	10.843	0	none	0	649	0	649	not_attempted
38	11.112	0	none	0	649	0	649	not_attempted
39	11.385	0	none	0	649	0	649	not_attempted
40	11.686	0	none	0	649	0	649	not_attempted
41	11.959	0	none	0	649	0	649	not_attempted
42	12.227	0	none	0	649	0	649	not_attempted
43	12.532	0	none	0	649	0	649	not_attempted
44	12.818	0	none	0	649	0	649	not_attempted
45	13.086	0	none	0	649	0	649	not_attempted
46	13.359	0	none	0	649	0	649	not_attempted
47	13.635	0	none	0	649	0	649	not_attempted
48	13.907	0	none	0	649	0	649	not_attempted
49	14.177	0	none	0	649	0	649	not_attempted
50	14.450	0	none	0	649	0	649	not_attempted
51	14.729	0	none	0	649	0	649	not_attempted
52	14.999	0	none	0	649	0	649	not_attempted
53	15.270	0	none	0	649	0	649	not_attempted
54	15.555	0	none	0	649	0	649	not_attempted
55	15.827	0	none	0	649	0	649	not_attempted
56	16.099	0	none	0	649	0	649	not_attempted
57	16.374	0	none	0	649	0	649	not_attempted
58	16.652	0	none	0	649	0	649	not_attempted
59	16.924	0	none	0	649	0	649	not_attempted
60	17.203	0	none	0	649	0	649	not_attempted
61	17.474	0	none	0	649	0	649	not_attempted
62	17.740	0	none	0	649	0	649	not_attempted
63	18.012	0	none	0	649	0	649	not_attempted
64	18.289	0	none	0	649	0	649	not_attempted
65	18.565	0	none	0	649	0	649	not_attempted
66	18.841	0	none	0	649	0	649	not_attempted
67	19.113	0	none	0	649	0	649	not_attempted
68	19.386	0	none	0	649	0	649	not_attempted
69	19.669	1	lidar	0	649	90	626	replanned
70	19.980	0	none	0	626	0	626	not_attempted
71	20.268	0	none	0	626	0	626	not_attempted
72	20.540	1	lidar	0	626	101	677	replanned
73	20.911	0	none	0	677	0	677	not_attempted
74	21.257	1	lidar	0	677	100	679	replanned
75	21.622	0	none	0	679	0	679	not_attempted
76	21.970	0	none	0	679	0	679	not_attempted
77	22.257	0	none	0	679	0	679	not_attempted
78	22.527	1	lidar	0	679	100	678	replanned
79	22.871	0	none	0	678	0	678	not_attempted
80	23.212	0	none	0	678	0	678	not_attempted
81	23.500	1	lidar	0	678	100	677	replanned
82	23.862	0	none	0	677	0	677	not_attempted
83	24.181	0	none	0	677	0	677	not_attempted
84	24.471	1	lidar	0	677	101	678	replanned
85	24.943	0	none	0	678	0	678	not_attempted
86	25.217	1	lidar	0	678	101	676	replanned
