timestep,x_cm,y_cm,z_cm,yaw_deg,basis_xx,basis_xy,basis_xz,basis_yx,basis_yy,basis_yz,basis_zx,basis_zy,basis_zz,teleport_flag
0,300.000000,1179.980400,39.996400,-90.000000,0.000000,1.000000,0.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0
1,300.000000,1179.980400,39.996400,-90.000000,0.000000,1.000000,0.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0
2,300.000000,1179.980400,39.996400,-90.000000,0.000000,1.000000,0.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0
3,300.000000,1179.980400,39.996400,-90.000000,0.000000,1.000000,0.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0
4,300.000000,1179.980400,39.996400,-90.000000,0.000000,1.000000,0.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0
5,300.000000,1179.980400,39.996400,-90.000000,0.000000,1.000000,0.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0
6,300.000000,1179.980400,39.996400,-90.000000,0.000000,1.000000,0.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0
7,300.000000,1179.980400,39.996400,-90.000000,0.000000,1.000000,0.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0
8,300.000000,1179.980400,39.996400,-90.199997,-0.003491,0.999994,0.000000,-0.999994,-0.003491,0.000000,0.000000,0.000000,1.000000,0
9,300.000000,1179.980400,39.996400,-90.199997,-0.003491,0.999994,0.000000,-0.999994,-0.003491,0.000000,0.000000,0.000000,1.000000,0
10,300.000000,1179.980400,39.996400,-90.199997,-0.003491,0.999994,0.000000,-0.999994,-0.003491,0.000000,0.000000,0.000000,1.000000,0
11,300.000000,1179.980400,39.996400,-90.900009,-0.015707,0.999877,0.000000,-0.999877,-0.015707,0.000000,0.000000,0.000000,1.000000,0
12,300.000000,1179.980400,39.996400,-90.900009,-0.015707,0.999877,0.000000,-0.999877,-0.015707,0.000000,0.000000,0.000000,1.000000,0
13,300.000000,1179.980400,39.996400,-90.900009,-0.015707,0.999877,0.000000,-0.999877,-0.015707,0.000000,0.000000,0.000000,1.000000,0
14,300.000000,1179.980400,39.996400,-90.900009,-0.015707,0.999877,0.000000,-0.999877,-0.015707,0.000000,0.000000,0.000000,1.000000,0
15,300.000000,1170.019500,39.996400,-91.900009,-0.033155,0.999450,0.000000,-0.999450,-0.033155,0.000000,0.000000,0.000000,1.000000,0
16,300.000000,1170.019500,39.996400,-91.900009,-0.033155,0.999450,0.000000,-0.999450,-0.033155,0.000000,0.000000,0.000000,1.000000,0
17,300.000000,1170.019500,39.996400,-91.900009,-0.033155,0.999450,0.000000,-0.999450,-0.033155,0.000000,0.000000,0.000000,1.000000,0
18,300.000000,1170.019500,39.996400,-91.900009,-0.033155,0.999450,0.000000,-0.999450,-0.033155,0.000000,0.000000,0.000000,1.000000,0
19,289.990200,1160.058500,39.996400,-93.400009,-0.059307,0.998240,0.000000,-0.998240,-0.059307,0.000000,0.000000,0.000000,1.000000,0
20,289.990200,1160.058500,39.996400,-93.400009,-0.059307,0.998240,0.000000,-0.998240,-0.059307,0.000000,0.000000,0.000000,1.000000,0
21,289.990200,1160.058500,39.996400,-93.400009,-0.059307,0.998240,0.000000,-0.998240,-0.059307,0.000000,0.000000,0.000000,1.000000,0
22,289.990200,1160.058500,39.996400,-93.400009,-0.059307,0.998240,0.000000,-0.998240,-0.059307,0.000000,0.000000,0.000000,1.000000,0
23,289.990200,1140.039000,39.996400,-95.100006,-0.088894,0.996041,0.000000,-0.996041,-0.088894,0.000000,0.000000,0.000000,1.000000,0
24,289.990200,1140.039000,39.996400,-95.100006,-0.088894,0.996041,0.000000,-0.996041,-0.088894,0.000000,0.000000,0.000000,1.000000,0
25,289.990200,1140.039000,39.996400,-95.100006,-0.088894,0.996041,0.000000,-0.996041,-0.088894,0.000000,0.000000,0.000000,1.000000,0
26,279.980500,1129.980400,49.994000,-97.300003,-0.127065,0.991894,0.000000,-0.991894,-0.127065,0.000000,0.000000,0.000000,1.000000,0
27,279.980500,1129.980400,49.994000,-97.300003,-0.127065,0.991894,0.000000,-0.991894,-0.127065,0.000000,0.000000,0.000000,1.000000,0
28,279.980500,1129.980400,49.994000,-97.300003,-0.127065,0.991894,0.000000,-0.991894,-0.127065,0.000000,0.000000,0.000000,1.000000,0
29,269.970700,1110.058500,49.994000,-99.699997,-0.168489,0.985703,0.000000,-0.985703,-0.168489,0.000000,0.000000,0.000000,1.000000,0
30,269.970700,1110.058500,49.994000,-99.699997,-0.168489,0.985703,0.000000,-0.985703,-0.168489,0.000000,0.000000,0.000000,1.000000,0
31,269.970700,1110.058500,49.994000,-99.699997,-0.168489,0.985703,0.000000,-0.985703,-0.168489,0.000000,0.000000,0.000000,1.000000,0
32,269.970700,1110.058500,49.994000,-99.699997,-0.168489,0.985703,0.000000,-0.985703,-0.168489,0.000000,0.000000,0.000000,1.000000,0
33,260.009800,1090.039000,49.994000,-102.600006,-0.218143,0.975917,0.000000,-0.975917,-0.218143,0.000000,0.000000,0.000000,1.000000,0
34,260.009800,1090.039000,49.994000,-102.600006,-0.218143,0.975917,0.000000,-0.975917,-0.218143,0.000000,0.000000,0.000000,1.000000,0
35,260.009800,1090.039000,49.994000,-102.600006,-0.218143,0.975917,0.000000,-0.975917,-0.218143,0.000000,0.000000,0.000000,1.000000,0
36,260.009800,1090.039000,49.994000,-102.600006,-0.218143,0.975917,0.000000,-0.975917,-0.218143,0.000000,0.000000,0.000000,1.000000,0
37,250.000000,1070.019500,49.994000,-106.000000,-0.275637,0.961262,0.000000,-0.961262,-0.275637,0.000000,0.000000,0.000000,1.000000,0
38,250.000000,1070.019500,49.994000,-106.000000,-0.275637,0.961262,0.000000,-0.961262,-0.275637,0.000000,0.000000,0.000000,1.000000,0
39,250.000000,1070.019500,49.994000,-106.000000,-0.275637,0.961262,0.000000,-0.961262,-0.275637,0.000000,0.000000,0.000000,1.000000,0
40,229.980500,1040.039000,49.994000,-109.699997,-0.337095,0.941471,0.000000,-0.941471,-0.337095,0.000000,0.000000,0.000000,1.000000,0
41,229.980500,1040.039000,49.994000,-109.699997,-0.337095,0.941471,0.000000,-0.941471,-0.337095,0.000000,0.000000,0.000000,1.000000,0
42,229.980500,1040.039000,49.994000,-109.699997,-0.337095,0.941471,0.000000,-0.941471,-0.337095,0.000000,0.000000,0.000000,1.000000,0
