step_idx	elapsed_s	sensor_idx	sensor_label	raw_cm	mask_hit	sensor_world_x_cm	sensor_world_y_cm	sensor_cell_x	sensor_cell_y	rover_x_cm	rover_y_cm	rover_heading_deg
3	1.274	0	front_left_wheel_hub_yaw_p30	0.000	0	545.000	929.980	108	99	300.000	1179.980	-90.000
4	1.542	0	front_left_wheel_hub_yaw_p30	0.000	0	545.000	929.980	108	99	300.000	1179.980	-90.000
5	1.850	0	front_left_wheel_hub_yaw_p30	0.000	0	545.000	929.980	108	99	300.000	1179.980	-90.000
6	2.148	0	front_left_wheel_hub_yaw_p30	0.000	0	545.000	929.980	108	99	300.000	1179.980	-90.000
10	3.289	0	front_left_wheel_hub_yaw_p30	0.000	0	541.043	926.163	108	98	300.000	1179.980	-90.900
11	3.580	0	front_left_wheel_hub_yaw_p30	0.000	0	541.043	926.163	108	98	300.000	1179.980	-90.900
12	3.850	0	front_left_wheel_hub_yaw_p30	0.000	0	541.043	926.163	108	98	300.000	1179.980	-90.900
13	4.120	0	front_left_wheel_hub_yaw_p30	0.000	0	541.043	926.163	108	98	300.000	1179.980	-90.900
14	4.392	0	front_left_wheel_hub_yaw_p30	0.000	0	536.576	912.034	108	98	300.000	1170.020	-91.900
15	4.679	0	front_left_wheel_hub_yaw_p30	0.000	0	536.576	912.034	108	98	300.000	1170.020	-91.900
16	4.946	0	front_left_wheel_hub_yaw_p30	0.000	0	536.576	912.034	108	98	300.000	1170.020	-91.900
17	5.222	0	front_left_wheel_hub_yaw_p30	0.000	0	536.576	912.034	108	98	300.000	1170.020	-91.900
28	8.284	0	front_left_wheel_hub_yaw_p30	0.000	0	469.346	822.353	107	96	269.971	1110.058	-99.700
29	8.610	0	front_left_wheel_hub_yaw_p30	0.000	0	469.346	822.353	107	96	269.971	1110.058	-99.700
30	8.928	0	front_left_wheel_hub_yaw_p30	0.000	0	469.346	822.353	107	96	269.971	1110.058	-99.700
31	9.200	0	front_left_wheel_hub_yaw_p30	0.000	0	469.346	822.353	107	96	269.971	1110.058	-99.700
32	9.476	0	front_left_wheel_hub_yaw_p30	0.000	0	444.574	792.615	106	96	260.010	1090.039	-102.600
33	9.748	0	front_left_wheel_hub_yaw_p30	0.000	0	444.574	792.615	106	96	260.010	1090.039	-102.600
34	10.020	0	front_left_wheel_hub_yaw_p30	0.000	0	444.574	792.615	106	96	260.010	1090.039	-102.600
35	10.299	0	front_left_wheel_hub_yaw_p30	0.000	0	444.574	792.615	106	96	260.010	1090.039	-102.600
36	10.569	0	front_left_wheel_hub_yaw_p30	0.000	0	416.600	762.173	106	95	250.000	1070.020	-106.000
37	10.843	0	front_left_wheel_hub_yaw_p30	0.000	0	416.600	762.173	106	95	250.000	1070.020	-106.000
38	11.112	0	front_left_wheel_hub_yaw_p30	0.000	0	416.600	762.173	106	95	250.000	1070.020	-106.000
42	12.227	0	front_left_wheel_hub_yaw_p30	0.000	0	335.573	693.280	104	94	210.010	1020.020	-113.400
43	12.532	0	front_left_wheel_hub_yaw_p30	0.000	0	335.573	693.280	104	94	210.010	1020.020	-113.400
44	12.818	0	front_left_wheel_hub_yaw_p30	0.000	0	335.573	693.280	104	94	210.010	1020.020	-113.400
45	13.086	0	front_left_wheel_hub_yaw_p30	0.000	0	335.573	693.280	104	94	210.010	1020.020	-113.400
54	15.555	0	front_left_wheel_hub_yaw_p30	0.000	0	215.879	578.309	102	91	139.990	920.020	-121.900
55	15.827	0	front_left_wheel_hub_yaw_p30	0.000	0	215.879	578.309	102	91	139.990	920.020	-121.900
56	16.099	0	front_left_wheel_hub_yaw_p30	0.000	0	215.879	578.309	102	91	139.990	920.020	-121.900
72	20.540	0	front_left_wheel_hub_yaw_p30	0.000	0	-65.378	370.025	96	87	-60.010	720.020	-135.300
73	20.911	0	front_left_wheel_hub_yaw_p30	0.000	0	-65.378	370.025	96	87	-60.010	720.020	-135.300
74	21.257	0	front_left_wheel_hub_yaw_p30	0.000	0	-40.097	380.085	97	88	-50.000	729.980	-132.800
75	21.622	0	front_left_wheel_hub_yaw_p30	0.000	0	-40.097	380.085	97	88	-50.000	729.980	-132.800
76	21.970	0	front_left_wheel_hub_yaw_p30	0.000	0	-40.097	380.085	97	88	-50.000	729.980	-132.800
77	22.257	0	front_left_wheel_hub_yaw_p30	0.000	0	-40.097	380.085	97	88	-50.000	729.980	-132.800
78	22.527	0	front_left_wheel_hub_yaw_p30	0.000	0	-23.371	380.339	97	88	-39.990	729.980	-131.700
79	22.871	0	front_left_wheel_hub_yaw_p30	0.000	0	-23.371	380.339	97	88	-39.990	729.980	-131.700
80	23.212	0	front_left_wheel_hub_yaw_p30	0.000	0	-23.371	380.339	97	88	-39.990	729.980	-131.700
86	25.217	0	front_left_wheel_hub_yaw_p30	0.000	0	-24.777	420.016	97	88	-20.020	770.020	-135.200
87	25.620	0	front_left_wheel_hub_yaw_p30	0.000	0	-24.777	420.016	97	88	-20.020	770.020	-135.200
88	25.984	0	front_left_wheel_hub_yaw_p30	0.000	0	-24.777	420.016	97	88	-20.020	770.020	-135.200
93	27.484	0	front_left_wheel_hub_yaw_p30	0.000	0	-40.710	462.398	97	89	0.000	810.058	-141.100
94	27.847	0	front_left_wheel_hub_yaw_p30	0.000	0	-40.710	462.398	97	89	0.000	810.058	-141.100
95	28.152	0	front_left_wheel_hub_yaw_p30	0.000	0	-40.710	462.398	97	89	0.000	810.058	-141.100
96	28.452	0	front_left_wheel_hub_yaw_p30	0.000	0	-38.879	484.927	97	90	19.971	829.980	-144.100
97	28.794	0	front_left_wheel_hub_yaw_p30	0.000	0	-38.879	484.927	97	90	19.971	829.980	-144.100
98	29.141	0	front_left_wheel_hub_yaw_p30	0.000	0	-38.879	484.927	97	90	19.971	829.980	-144.100
99	29.413	0	front_left_wheel_hub_yaw_p30	0.000	0	-41.003	519.522	97	90	39.990	860.058	-147.800
100	29.688	0	front_left_wheel_hub_yaw_p30	0.000	0	-41.003	519.522	97	90	39.990	860.058	-147.800
101	29.961	0	front_left_wheel_hub_yaw_p30	0.000	0	-41.003	519.522	97	90	39.990	860.058	-147.800
102	30.232	0	front_left_wheel_hub_yaw_p30	0.000	0	-23.359	530.057	97	91	60.010	870.020	-148.200
103	30.513	0	front_left_wheel_hub_yaw_p30	0.000	0	-23.359	530.057	97	91	60.010	870.020	-148.200
104	30.793	0	front_left_wheel_hub_yaw_p30	0.000	0	-23.359	530.057	97	91	60.010	870.020	-148.200
105	31.068	0	front_left_wheel_hub_yaw_p30	0.000	0	-23.359	530.057	97	91	60.010	870.020	-148.200
106	31.343	0	front_left_wheel_hub_yaw_p30	0.000	0	27.531	535.562	98	91	89.990	879.980	-144.700
107	31.614	0	front_left_wheel_hub_yaw_p30	0.000	0	27.531	535.562	98	91	89.990	879.980	-144.700
108	31.888	0	front_left_wheel_hub_yaw_p30	0.000	0	27.531	535.562	98	91	89.990	879.980	-144.700
109	32.164	0	front_left_wheel_hub_yaw_p30	0.000	0	27.531	535.562	98	91	89.990	879.980	-144.700
110	32.436	0	front_left_wheel_hub_yaw_p30	0.000	0	66.549	554.065	99	91	119.971	900.000	-143.200
111	32.725	0	front_left_wheel_hub_yaw_p30	0.000	0	66.549	554.065	99	91	119.971	900.000	-143.200
112	33.001	0	front_left_wheel_hub_yaw_p30	0.000	0	66.549	554.065	99	91	119.971	900.000	-143.200
113	33.272	0	front_left_wheel_hub_yaw_p30	0.000	0	72.728	576.507	99	91	139.990	920.020	-145.500
114	33.561	0	front_left_wheel_hub_yaw_p30	0.000	0	72.728	576.507	99	91	139.990	920.020	-145.500
115	33.835	0	front_left_wheel_hub_yaw_p30	0.000	0	72.728	576.507	99	91	139.990	920.020	-145.500
116	34.104	0	front_left_wheel_hub_yaw_p30	0.000	0	72.728	576.507	99	91	139.990	920.020	-145.500
117	34.374	0	front_left_wheel_hub_yaw_p30	0.000	0	67.224	599.931	99	92	150.000	940.039	-148.100
118	34.671	0	front_left_wheel_hub_yaw_p30	0.000	0	67.224	599.931	99	92	150.000	940.039	-148.100
119	34.947	0	front_left_wheel_hub_yaw_p30	0.000	0	67.224	599.931	99	92	150.000	940.039	-148.100
120	35.218	0	front_left_wheel_hub_yaw_p30	0.000	0	74.200	613.321	99	92	169.971	950.000	-150.300
121	35.512	0	front_left_wheel_hub_yaw_p30	0.000	0	74.200	613.321	99	92	169.971	950.000	-150.300
122	35.781	0	front_left_wheel_hub_yaw_p30	0.000	0	74.200	613.321	99	92	169.971	950.000	-150.300
123	36.057	0	front_left_wheel_hub_yaw_p30	0.000	0	74.200	613.321	99	92	169.971	950.000	-150.300
124	36.326	0	front_left_wheel_hub_yaw_p30	0.000	0	74.200	613.321	99	92	169.971	950.000	-150.300
125	36.601	0	front_left_wheel_hub_yaw_p30	0.000	0	73.682	626.553	99	92	179.980	960.058	-152.100
126	36.873	0	front_left_wheel_hub_yaw_p30	0.000	0	73.682	626.553	99	92	179.980	960.058	-152.100
127	37.153	0	front_left_wheel_hub_yaw_p30	0.000	0	73.682	626.553	99	92	179.980	960.058	-152.100
128	37.430	0	front_left_wheel_hub_yaw_p30	0.000	0	66.143	639.012	99	93	179.980	970.020	-153.400
129	37.712	0	front_left_wheel_hub_yaw_p30	0.000	0	66.143	639.012	99	93	179.980	970.020	-153.400
130	37.993	0	front_left_wheel_hub_yaw_p30	0.000	0	66.143	639.012	99	93	179.980	970.020	-153.400
131	38.283	0	front_left_wheel_hub_yaw_p30	0.000	0	66.143	639.012	99	93	179.980	970.020	-153.400
132	38.593	0	front_left_wheel_hub_yaw_p30	0.000	0	69.819	651.219	99	93	189.990	979.980	-154.500
133	38.870	0	front_left_wheel_hub_yaw_p30	0.000	0	69.819	651.219	99	93	189.990	979.980	-154.500
134	39.148	0	front_left_wheel_hub_yaw_p30	0.000	0	69.819	651.219	99	93	189.990	979.980	-154.500
135	39.425	0	front_left_wheel_hub_yaw_p30	0.000	0	66.955	652.280	99	93	189.990	979.980	-155.000
136	39.703	0	front_left_wheel_hub_yaw_p30	0.000	0	66.955	652.280	99	93	189.990	979.980	-155.000
137	39.977	0	front_left_wheel_hub_yaw_p30	0.000	0	66.955	652.280	99	93	189.990	979.980	-155.000
138	40.254	0	front_left_wheel_hub_yaw_p30	0.000	0	65.812	652.712	99	93	189.990	979.980	-155.200
139	40.580	0	front_left_wheel_hub_yaw_p30	0.000	0	65.812	652.712	99	93	189.990	979.980	-155.200
140	40.858	0	front_left_wheel_hub_yaw_p30	0.000	0	65.812	652.712	99	93	189.990	979.980	-155.200
141	41.146	0	front_left_wheel_hub_yaw_p30	0.000	0	65.812	652.712	99	93	189.990	979.980	-155.200
142	41.456	0	front_left_wheel_hub_yaw_p30	0.000	0	67.527	652.066	99	93	189.990	979.980	-154.900
143	41.748	0	front_left_wheel_hub_yaw_p30	0.000	0	67.527	652.066	99	93	189.990	979.980	-154.900
144	42.029	0	front_left_wheel_hub_yaw_p30	0.000	0	67.527	652.066	99	93	189.990	979.980	-154.900
145	42.310	0	front_left_wheel_hub_yaw_p30	0.000	0	71.542	640.634	99	93	189.990	970.020	-154.200
146	42.585	0	front_left_wheel_hub_yaw_p30	0.000	0	71.542	640.634	99	93	189.990	970.020	-154.200
147	42.859	0	front_left_wheel_hub_yaw_p30	0.000	0	71.542	640.634	99	93	189.990	970.020	-154.200
148	43.132	0	front_left_wheel_hub_yaw_p30	0.000	0	71.542	640.634	99	93	189.990	970.020	-154.200
149	43.512	0	front_left_wheel_hub_yaw_p30	0.000	0	67.878	638.420	99	93	179.980	970.020	-153.100
150	43.831	0	front_left_wheel_hub_yaw_p30	0.000	0	67.878	638.420	99	93	179.980	970.020	-153.100
151	44.129	0	front_left_wheel_hub_yaw_p30	0.000	0	67.878	638.420	99	93	179.980	970.020	-153.100
152	44.410	0	front_left_wheel_hub_yaw_p30	0.000	0	66.003	625.819	99	92	169.971	960.058	-151.700
153	44.697	0	front_left_wheel_hub_yaw_p30	0.000	0	66.003	625.819	99	92	169.971	960.058	-151.700
154	44.984	0	front_left_wheel_hub_yaw_p30	0.000	0	66.003	625.819	99	92	169.971	960.058	-151.700
155	45.259	0	front_left_wheel_hub_yaw_p30	0.000	0	74.788	613.154	99	92	169.971	950.000	-150.200
156	45.548	0	front_left_wheel_hub_yaw_p30	0.000	0	74.788	613.154	99	92	169.971	950.000	-150.200
157	45.824	0	front_left_wheel_hub_yaw_p30	0.000	0	74.788	613.154	99	92	169.971	950.000	-150.200
158	46.114	0	front_left_wheel_hub_yaw_p30	0.000	0	74.788	613.154	99	92	169.971	950.000	-150.200
159	46.392	0	front_left_wheel_hub_yaw_p30	0.000	0	76.641	600.076	99	92	160.010	940.039	-148.200
160	46.708	0	front_left_wheel_hub_yaw_p30	0.000	0	76.641	600.076	99	92	160.010	940.039	-148.200
161	46.987	0	front_left_wheel_hub_yaw_p30	0.000	0	76.641	600.076	99	92	160.010	940.039	-148.200
162	47.271	0	front_left_wheel_hub_yaw_p30	0.000	0	76.641	600.076	99	92	160.010	940.039	-148.200
163	47.551	0	front_left_wheel_hub_yaw_p30	0.000	0	70.332	586.946	99	92	139.990	929.980	-145.900
164	47.844	0	front_left_wheel_hub_yaw_p30	0.000	0	70.332	586.946	99	92	139.990	929.980	-145.900
165	48.120	0	front_left_wheel_hub_yaw_p30	0.000	0	70.332	586.946	99	92	139.990	929.980	-145.900
166	48.398	0	front_left_wheel_hub_yaw_p30	0.000	0	77.766	563.939	99	91	129.980	910.058	-143.000
167	48.685	0	front_left_wheel_hub_yaw_p30	0.000	0	77.766	563.939	99	91	129.980	910.058	-143.000
168	48.967	0	front_left_wheel_hub_yaw_p30	0.000	0	77.766	563.939	99	91	129.980	910.058	-143.000
169	49.241	0	front_left_wheel_hub_yaw_p30	0.000	0	85.335	541.721	99	91	119.971	890.039	-140.100
170	49.513	0	front_left_wheel_hub_yaw_p30	0.000	0	85.335	541.721	99	91	119.971	890.039	-140.100
171	49.790	0	front_left_wheel_hub_yaw_p30	0.000	0	85.335	541.721	99	91	119.971	890.039	-140.100
172	50.066	0	front_left_wheel_hub_yaw_p30	0.000	0	85.335	541.721	99	91	119.971	890.039	-140.100
